Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
καιροὶ,καιρός,—,—,—,—,masculine,nominative,plural,noun,Luke 21:24,"τὰ ἔθνη πάντα, καὶ Ἰερουσαλὴμ ἔσται πατουμένη ὑπὸ ἐθνῶν, ἄχρι οὗ πληρωθῶσιν",ἐθνῶν.
καιροὶ,καιρός,—,—,—,—,masculine,nominative,plural,noun,Acts 3:20,ὅπως ἂν ἔλθωσιν,"ἀναψύξεως ἀπὸ προσώπου τοῦ κυρίου καὶ ἀποστείλῃ τὸν προκεχειρισμένον ὑμῖν χριστὸν Ἰησοῦν,"
καιροὶ,καιρός,—,—,—,—,masculine,nominative,plural,noun,2 Timothy 3:1,"Τοῦτο δὲ γίνωσκε, ὅτι ἐν ἐσχάταις ἡμέραις ἐνστήσονται",χαλεποί·
καιροὺς,καιρός,—,—,—,—,masculine,accusative,plural,noun,Acts 1:7,εἶπεν δὲ πρὸς αὐτούς· οὐχ ὑμῶν ἐστιν γνῶναι χρόνους ἢ,"οὓς ὁ πατὴρ ἔθετο ἐν τῇ ἰδίᾳ ἐξουσίᾳ,"
καιροὺς,καιρός,—,—,—,—,masculine,accusative,plural,noun,Acts 14:17,"καίτοι οὐκ ἀμάρτυρον αὐτὸν ἀφῆκεν ἀγαθουργῶν, οὐρανόθεν ὑμῖν ὑετοὺς διδοὺς καὶ","καρποφόρους, ἐμπιπλῶν τροφῆς καὶ εὐφροσύνης τὰς καρδίας ὑμῶν."
καιροὺς,καιρός,—,—,—,—,masculine,accusative,plural,noun,Acts 17:26,"ἐποίησέν τε ἐξ ἑνὸς  πᾶν ἔθνος ἀνθρώπων κατοικεῖν ἐπὶ παντὸς προσώπου τῆς γῆς, ὁρίσας προστεταγμένους",καὶ τὰς ὁροθεσίας τῆς κατοικίας αὐτῶν
καιροὺς,καιρός,—,—,—,—,masculine,accusative,plural,noun,Galatians 4:10,ἡμέρας παρατηρεῖσθε καὶ μῆνας καὶ,"καὶ ἐνιαυτούς,"
καιροὺς,καιρός,—,—,—,—,masculine,accusative,plural,noun,Revelation 12:14,"εἰς τὴν ἔρημον εἰς τὸν τόπον αὐτῆς, ὅπου τρέφεται ἐκεῖ καιρὸν καὶ",καὶ ἥμισυ καιροῦ ἀπὸ προσώπου τοῦ ὄφεως.
καιροῖς,καιρός,—,—,—,—,masculine,dative,plural,noun,Matthew 21:41,"τὸν ἀμπελῶνα ἐκδώσεται ἄλλοις γεωργοῖς, οἵτινες ἀποδώσουσιν αὐτῷ τοὺς καρποὺς ἐν τοῖς",αὐτῶν.
καιροῖς,καιρός,—,—,—,—,masculine,dative,plural,noun,1 Timothy 2:6,"ὁ δοὺς ἑαυτὸν ἀντίλυτρον ὑπὲρ πάντων,        τὸ μαρτύριον",ἰδίοις.
καιροῖς,καιρός,—,—,—,—,masculine,dative,plural,noun,1 Timothy 4:1,Τὸ δὲ πνεῦμα ῥητῶς λέγει ὅτι ἐν ὑστέροις,"ἀποστήσονταί τινες τῆς πίστεως προσέχοντες πνεύμασιν πλάνοις καὶ διδασκαλίαις δαιμονίων,"
καιροῖς,καιρός,—,—,—,—,masculine,dative,plural,noun,1 Timothy 6:15,ἣν,"ἰδίοις δείξει      ὁ μακάριος καὶ μόνος δυνάστης,      ὁ βασιλεὺς τῶν βασιλευόντων      καὶ κύριος τῶν κυριευόντων,"
καιροῖς,καιρός,—,—,—,—,masculine,dative,plural,noun,Titus 1:3,ἐφανέρωσεν δὲ,"ἰδίοις τὸν λόγον αὐτοῦ ἐν κηρύγματι, ὃ ἐπιστεύθην ἐγὼ κατʼ ἐπιταγὴν τοῦ σωτῆρος ἡμῶν θεοῦ,"
καιροῦ,καιρός,—,—,—,—,masculine,genitive,singular,noun,Matthew 8:29,"καὶ ἰδοὺ ἔκραξαν λέγοντες· τί ἡμῖν καὶ σοί,  υἱὲ τοῦ θεοῦ; ἦλθες ὧδε πρὸ",βασανίσαι ἡμᾶς;
καιροῦ,καιρός,—,—,—,—,masculine,genitive,singular,noun,Luke 4:13,Καὶ συντελέσας πάντα πειρασμὸν ὁ διάβολος ἀπέστη ἀπʼ αὐτοῦ ἄχρι,.
καιροῦ,καιρός,—,—,—,—,masculine,genitive,singular,noun,Acts 13:11,καὶ νῦν ἰδοὺ χεὶρ κυρίου ἐπὶ σὲ καὶ ἔσῃ τυφλὸς μὴ βλέπων τὸν ἥλιον ἄχρι,. παραχρῆμά τε ἔπεσεν ἐπʼ αὐτὸν ἀχλὺς καὶ σκότος καὶ περιάγων ἐζήτει χειραγωγούς.
καιροῦ,καιρός,—,—,—,—,masculine,genitive,singular,noun,Romans 8:18,Λογίζομαι γὰρ ὅτι οὐκ ἄξια τὰ παθήματα τοῦ νῦν,πρὸς τὴν μέλλουσαν δόξαν ἀποκαλυφθῆναι εἰς ἡμᾶς.
καιροῦ,καιρός,—,—,—,—,masculine,genitive,singular,noun,1 Corinthians 4:5,ὥστε μὴ πρὸ,"τι κρίνετε ἕως ἂν ἔλθῃ ὁ κύριος, ὃς καὶ φωτίσει τὰ κρυπτὰ τοῦ"
καιροῦ,καιρός,—,—,—,—,masculine,genitive,singular,noun,Hebrews 9:10,"μόνον ἐπὶ βρώμασιν καὶ πόμασιν καὶ διαφόροις βαπτισμοῖς, δικαιώματα σαρκὸς μέχρι",διορθώσεως ἐπικείμενα.
καιροῦ,καιρός,—,—,—,—,masculine,genitive,singular,noun,Revelation 12:14,"εἰς τὸν τόπον αὐτῆς, ὅπου τρέφεται ἐκεῖ καιρὸν καὶ καιροὺς καὶ ἥμισυ",ἀπὸ προσώπου τοῦ ὄφεως.
καιρόν,καιρός,—,—,—,—,masculine,accusative,singular,noun,Romans 13:11,Καὶ τοῦτο εἰδότες τὸν,", ὅτι ὥρα ἤδη ὑμᾶς ἐξ ὕπνου ἐγερθῆναι, νῦν γὰρ ἐγγύτερον ἡμῶν ἡ σωτηρία ἢ ὅτε ἐπιστεύσαμεν."
καιρόν,καιρός,—,—,—,—,masculine,accusative,singular,noun,1 Corinthians 7:5,"μὴ ἀποστερεῖτε ἀλλήλους, εἰ μήτι ἂν ἐκ συμφώνου πρὸς",", ἵνα σχολάσητε τῇ  προσευχῇ καὶ πάλιν ἐπὶ τὸ αὐτὸ ἦτε, ἵνα μὴ πειράζῃ"
καιρόν,καιρός,—,—,—,—,masculine,accusative,singular,noun,Ephesians 5:16,ἐξαγοραζόμενοι τὸν,", ὅτι αἱ ἡμέραι πονηραί εἰσιν."
καιρός,καιρός,—,—,—,—,masculine,nominative,singular,noun,Matthew 26:18,ὁ δὲ εἶπεν· ὑπάγετε εἰς τὴν πόλιν πρὸς τὸν δεῖνα καὶ εἴπατε αὐτῷ· ὁ διδάσκαλος λέγει· ὁ,"μου ἐγγύς ἐστιν, πρὸς σὲ ποιῶ τὸ πάσχα μετὰ τῶν μαθητῶν μου."
καιρός,καιρός,—,—,—,—,masculine,nominative,singular,noun,Mark 13:33,"Βλέπετε, ἀγρυπνεῖτε· οὐκ οἴδατε γὰρ πότε ὁ",ἐστιν.
καιρὸν,καιρός,—,—,—,—,masculine,accusative,singular,noun,Luke 1:20,"ταῦτα, ἀνθʼ ὧν οὐκ ἐπίστευσας τοῖς λόγοις μου, οἵτινες πληρωθήσονται εἰς τὸν",αὐτῶν.
καιρὸν,καιρός,—,—,—,—,masculine,accusative,singular,noun,Luke 8:13,"μετὰ χαρᾶς δέχονται τὸν λόγον, καὶ οὗτοι ῥίζαν οὐκ ἔχουσιν, οἳ πρὸς",πιστεύουσιν καὶ ἐν καιρῷ πειρασμοῦ ἀφίστανται.
καιρὸν,καιρός,—,—,—,—,masculine,accusative,singular,noun,Luke 12:56,"ὑποκριταί, τὸ πρόσωπον τῆς γῆς καὶ τοῦ οὐρανοῦ οἴδατε δοκιμάζειν, τὸν",δὲ τοῦτον πῶς οὐκ οἴδατε δοκιμάζειν;
καιρὸν,καιρός,—,—,—,—,masculine,accusative,singular,noun,Luke 19:44,"οὐκ ἀφήσουσιν λίθον ἐπὶ λίθον ἐν σοί, ἀνθʼ ὧν οὐκ ἔγνως τὸν",τῆς ἐπισκοπῆς σου.
καιρὸν,καιρός,—,—,—,—,masculine,accusative,singular,noun,Acts 12:1,Κατʼ ἐκεῖνον δὲ τὸν,ἐπέβαλεν Ἡρῴδης ὁ βασιλεὺς τὰς χεῖρας κακῶσαί τινας τῶν ἀπὸ τῆς ἐκκλησίας.
