Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Καταβάντος,καταβαίνω,aorist,active,participle,—,masculine,genitive,singular,verb,Matthew 8:1,—,δὲ αὐτοῦ ἀπὸ τοῦ ὄρους ἠκολούθησαν αὐτῷ ὄχλοι πολλοί.
κατάβηθι,καταβαίνω,aorist,active,imperative,second person,—,—,singular,verb,Matthew 27:40,"ἐν τρισὶν ἡμέραις οἰκοδομῶν, σῶσον σεαυτόν, εἰ υἱὸς εἶ τοῦ θεοῦ, [καὶ]",ἀπὸ τοῦ σταυροῦ.
κατάβηθι,καταβαίνω,aorist,active,imperative,second person,—,—,singular,verb,Luke 19:5,"καὶ ὡς ἦλθεν ἐπὶ τὸν τόπον, ἀναβλέψας ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· Ζακχαῖε, σπεύσας",", σήμερον γὰρ ἐν τῷ οἴκῳ σου δεῖ με μεῖναι."
κατάβηθι,καταβαίνω,aorist,active,imperative,second person,—,—,singular,verb,John 4:49,"λέγει πρὸς αὐτὸν ὁ βασιλικός· κύριε,",πρὶν ἀποθανεῖν τὸ παιδίον μου.
κατάβηθι,καταβαίνω,aorist,active,imperative,second person,—,—,singular,verb,Acts 10:20,ἀλλʼ ἀναστὰς,καὶ πορεύου σὺν αὐτοῖς μηδὲν διακρινόμενος ὅτι ἐγὼ ἀπέσταλκα αὐτούς.
κατέβαινεν,καταβαίνω,imperfect,active,indicative,third person,—,—,singular,verb,Luke 10:30,Ὑπολαβὼν  ὁ Ἰησοῦς εἶπεν· ἄνθρωπός τις,"ἀπὸ Ἰερουσαλὴμ εἰς Ἰεριχὼ καὶ λῃσταῖς περιέπεσεν, οἳ καὶ ἐκδύσαντες αὐτὸν καὶ πληγὰς ἐπιθέντες ἀπῆλθον ἀφέντες ἡμιθανῆ."
κατέβαινεν,καταβαίνω,imperfect,active,indicative,third person,—,—,singular,verb,Luke 10:31,κατὰ συγκυρίαν δὲ ἱερεύς τις,ἐν τῇ ὁδῷ ἐκείνῃ καὶ ἰδὼν αὐτὸν ἀντιπαρῆλθεν·
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Matthew 7:25,καὶ,ἡ βροχὴ καὶ ἦλθον οἱ ποταμοὶ καὶ ἔπνευσαν οἱ ἄνεμοι καὶ προσέπεσαν τῇ
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Matthew 7:27,καὶ,ἡ βροχὴ καὶ ἦλθον οἱ ποταμοὶ καὶ ἔπνευσαν οἱ ἄνεμοι καὶ προσέκοψαν τῇ
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Luke 2:51,καὶ,μετʼ αὐτῶν καὶ ἦλθεν εἰς Ναζαρὲθ καὶ ἦν ὑποτασσόμενος αὐτοῖς. καὶ ἡ μήτηρ
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Luke 8:23,πλεόντων δὲ αὐτῶν ἀφύπνωσεν. καὶ,λαῖλαψ ἀνέμου εἰς τὴν λίμνην καὶ συνεπληροῦντο καὶ ἐκινδύνευον.
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Luke 18:14,"λέγω ὑμῖν,",οὗτος δεδικαιωμένος εἰς τὸν οἶκον αὐτοῦ παρʼ ἐκεῖνον· ὅτι πᾶς ὁ ὑψῶν ἑαυτὸν
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Luke 19:6,καὶ σπεύσας,καὶ ὑπεδέξατο αὐτὸν χαίρων.
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,John 2:12,Μετὰ τοῦτο,εἰς Καφαρναοὺμ αὐτὸς καὶ ἡ μήτηρ αὐτοῦ καὶ οἱ ἀδελφοὶ [αὐτοῦ] καὶ οἱ
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Acts 7:15,καὶ,"Ἰακὼβ εἰς Αἴγυπτον καὶ ἐτελεύτησεν αὐτὸς καὶ οἱ πατέρες ἡμῶν,"
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Acts 18:22,"καὶ κατελθὼν εἰς Καισάρειαν, ἀναβὰς καὶ ἀσπασάμενος τὴν ἐκκλησίαν",εἰς Ἀντιόχειαν.
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Acts 24:1,Μετὰ δὲ πέντε ἡμέρας,"ὁ ἀρχιερεὺς Ἁνανίας μετὰ πρεσβυτέρων τινῶν καὶ ῥήτορος Τερτύλλου τινός, οἵτινες ἐνεφάνισαν τῷ ἡγεμόνι κατὰ τοῦ Παύλου."
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Ephesians 4:9,"τὸ δὲ ἀνέβη τί ἐστιν, εἰ μὴ ὅτι καὶ",εἰς τὰ κατώτερα [μέρη] τῆς γῆς;
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Revelation 12:12,"διὰ τοῦτο εὐφραίνεσθε, [οἱ] οὐρανοὶ        καὶ οἱ ἐν αὐτοῖς σκηνοῦντες.      οὐαὶ τὴν γῆν καὶ τὴν θάλασσαν,        ὅτι","ὁ διάβολος πρὸς ὑμᾶς      ἔχων θυμὸν μέγαν,        εἰδὼς ὅτι ὀλίγον καιρὸν ἔχει.  Καὶ"
κατέβη,καταβαίνω,aorist,active,indicative,third person,—,—,singular,verb,Revelation 20:9,"καὶ ἐκύκλευσαν τὴν παρεμβολὴν τῶν ἁγίων  καὶ τὴν πόλιν τὴν ἠγαπημένην, καὶ",πῦρ ἐκ τοῦ οὐρανοῦ καὶ κατέφαγεν αὐτούς.
κατέβην,καταβαίνω,aorist,active,indicative,first person,—,—,singular,verb,Acts 7:34,"ἰδὼν εἶδον τὴν κάκωσιν τοῦ λαοῦ μου τοῦ ἐν Αἰγύπτῳ καὶ τοῦ στεναγμοῦ αὐτῶν ἤκουσα, καὶ",ἐξελέσθαι αὐτούς· καὶ νῦν δεῦρο ἀποστείλω σε εἰς Αἴγυπτον.
κατέβησαν,καταβαίνω,aorist,active,indicative,third person,—,—,plural,verb,John 6:16,Ὡς δὲ ὀψία ἐγένετο,οἱ μαθηταὶ αὐτοῦ ἐπὶ τὴν θάλασσαν
κατέβησαν,καταβαίνω,aorist,active,indicative,third person,—,—,plural,verb,Acts 8:38,καὶ ἐκέλευσεν στῆναι τὸ ἅρμα καὶ,"ἀμφότεροι εἰς τὸ ὕδωρ, ὅ τε Φίλιππος καὶ ὁ εὐνοῦχος, καὶ ἐβάπτισεν αὐτόν."
κατέβησαν,καταβαίνω,aorist,active,indicative,third person,—,—,plural,verb,Acts 14:11,οἵ τε ὄχλοι ἰδόντες ὃ ἐποίησεν Παῦλος ἐπῆραν τὴν φωνὴν αὐτῶν Λυκαονιστὶ λέγοντες· οἱ θεοὶ ὁμοιωθέντες ἀνθρώποις,"πρὸς ἡμᾶς,"
κατέβησαν,καταβαίνω,aorist,active,indicative,third person,—,—,plural,verb,Acts 14:25,καὶ λαλήσαντες ἐν Πέργῃ τὸν λόγον,εἰς Ἀττάλειαν
κατέβησαν,καταβαίνω,aorist,active,indicative,third person,—,—,plural,verb,Acts 16:8,παρελθόντες δὲ τὴν Μυσίαν,εἰς Τρῳάδα.
καταβάντες,καταβαίνω,aorist,active,participle,—,masculine,nominative,plural,verb,Mark 3:22,Καὶ οἱ γραμματεῖς οἱ ἀπὸ Ἱεροσολύμων,ἔλεγον ὅτι Βεελζεβοὺλ ἔχει καὶ ὅτι ἐν τῷ ἄρχοντι τῶν δαιμονίων ἐκβάλλει τὰ δαιμόνια.
καταβάντες,καταβαίνω,aorist,active,participle,—,masculine,nominative,plural,verb,Acts 8:15,οἵτινες,προσηύξαντο περὶ αὐτῶν ὅπως λάβωσιν πνεῦμα ἅγιον·
καταβάς,καταβαίνω,aorist,active,participle,—,masculine,nominative,singular,verb,John 3:13,καὶ οὐδεὶς ἀναβέβηκεν εἰς τὸν οὐρανὸν εἰ μὴ ὁ ἐκ τοῦ οὐρανοῦ,", ὁ υἱὸς τοῦ ἀνθρώπου."
καταβάς,καταβαίνω,aorist,active,participle,—,masculine,nominative,singular,verb,John 6:51,ἐγώ εἰμι ὁ ἄρτος ὁ ζῶν ὁ ἐκ τοῦ οὐρανοῦ,"· ἐάν τις φάγῃ ἐκ τούτου τοῦ ἄρτου ζήσει εἰς τὸν αἰῶνα, καὶ ὁ"
καταβάς,καταβαίνω,aorist,active,participle,—,masculine,nominative,singular,verb,John 6:58,οὗτός ἐστιν ὁ ἄρτος ὁ ἐξ οὐρανοῦ,", οὐ καθὼς ἔφαγον οἱ πατέρες  καὶ ἀπέθανον· ὁ τρώγων τοῦτον τὸν ἄρτον ζήσει εἰς τὸν αἰῶνα."
καταβάτω,καταβαίνω,aorist,active,imperative,third person,—,—,singular,verb,Matthew 24:17,ὁ ἐπὶ τοῦ δώματος μὴ,"ἆραι τὰ ἐκ τῆς οἰκίας αὐτοῦ,"
καταβάτω,καταβαίνω,aorist,active,imperative,third person,—,—,singular,verb,Matthew 27:42,"ἄλλους ἔσωσεν, ἑαυτὸν οὐ δύναται σῶσαι*· βασιλεὺς Ἰσραήλ ἐστιν,",νῦν ἀπὸ τοῦ σταυροῦ καὶ πιστεύσομεν ἐπʼ αὐτόν.
καταβάτω,καταβαίνω,aorist,active,imperative,third person,—,—,singular,verb,Mark 13:15,ὁ [δὲ] ἐπὶ τοῦ δώματος μὴ,"μηδὲ εἰσελθάτω ἆραί τι ἐκ τῆς οἰκίας αὐτοῦ,"
καταβάτω,καταβαίνω,aorist,active,imperative,third person,—,—,singular,verb,Mark 15:32,ὁ χριστὸς ὁ βασιλεὺς Ἰσραὴλ,"νῦν ἀπὸ τοῦ σταυροῦ, ἵνα ἴδωμεν καὶ πιστεύσωμεν. καὶ οἱ συνεσταυρωμένοι σὺν αὐτῷ ὠνείδιζον αὐτόν."
καταβάτω,καταβαίνω,aorist,active,imperative,third person,—,—,singular,verb,Luke 17:31,"ἐν ἐκείνῃ τῇ ἡμέρᾳ ὃς ἔσται ἐπὶ τοῦ δώματος καὶ τὰ σκεύη αὐτοῦ ἐν τῇ οἰκίᾳ, μὴ","ἆραι αὐτά, καὶ ὁ ἐν ἀγρῷ ὁμοίως μὴ ἐπιστρεψάτω εἰς τὰ ὀπίσω."
καταβέβηκα,καταβαίνω,perfect,active,indicative,first person,—,—,singular,verb,John 6:38,ὅτι,ἀπὸ τοῦ οὐρανοῦ οὐχ ἵνα ποιῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.
καταβέβηκα,καταβαίνω,perfect,active,indicative,first person,—,—,singular,verb,John 6:42,τὸν πατέρα καὶ τὴν μητέρα; πῶς νῦν λέγει ὅτι ἐκ τοῦ οὐρανοῦ,;
καταβήσεται,καταβαίνω,future,middle,indicative,third person,—,—,singular,verb,Romans 10:7,ἤ· τίς,εἰς τὴν ἄβυσσον; τοῦτʼ ἔστιν Χριστὸν ἐκ νεκρῶν ἀναγαγεῖν.
καταβήσεται,καταβαίνω,future,middle,indicative,third person,—,—,singular,verb,1 Thessalonians 4:16,"ὅτι αὐτὸς ὁ κύριος ἐν κελεύσματι, ἐν φωνῇ ἀρχαγγέλου καὶ ἐν σάλπιγγι θεοῦ,","ἀπʼ οὐρανοῦ καὶ οἱ νεκροὶ ἐν Χριστῷ ἀναστήσονται πρῶτον,"
καταβήσῃ,καταβαίνω,future,middle,indicative,second person,—,—,singular,verb,Matthew 11:23,"καὶ σύ, Καφαρναούμ, μὴ ἕως οὐρανοῦ ὑψωθήσῃ; ἕως ᾅδου","·  ὅτι εἰ ἐν Σοδόμοις ἐγενήθησαν αἱ δυνάμεις αἱ γενόμεναι ἐν σοί, ἔμεινεν ἂν μέχρι τῆς σήμερον."
καταβήσῃ,καταβαίνω,future,middle,indicative,second person,—,—,singular,verb,Luke 10:15,"καὶ σύ, Καφαρναούμ, μὴ ἕως οὐρανοῦ ὑψωθήσῃ;  ἕως τοῦ ᾅδου",.
καταβαίνει,καταβαίνω,present,active,indicative,third person,—,—,singular,verb,John 5:7,"με εἰς τὴν κολυμβήθραν· ἐν ᾧ δὲ ἔρχομαι ἐγώ, ἄλλος πρὸ ἐμοῦ",.
καταβαίνει,καταβαίνω,present,active,indicative,third person,—,—,singular,verb,Revelation 16:21,καὶ χάλαζα μεγάλη ὡς ταλαντιαία,"ἐκ τοῦ οὐρανοῦ ἐπὶ τοὺς ἀνθρώπους, καὶ ἐβλασφήμησαν οἱ ἄνθρωποι τὸν θεὸν ἐκ"
καταβαίνειν,καταβαίνω,present,active,infinitive,—,—,—,—,verb,Revelation 13:13,"καὶ ποιεῖ σημεῖα μεγάλα, ἵνα καὶ πῦρ ποιῇ ἐκ τοῦ οὐρανοῦ","εἰς τὴν γῆν ἐνώπιον τῶν ἀνθρώπων,"
