Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
κήρυξον,κηρύσσω,aorist,active,imperative,second person,—,—,singular,verb,2 Timothy 4:2,—,"τὸν λόγον, ἐπίστηθι εὐκαίρως ἀκαίρως, ἔλεγξον, ἐπιτίμησον, παρακάλεσον, ἐν πάσῃ μακροθυμίᾳ καὶ διδαχῇ."
κηρυχθέντος,κηρύσσω,aorist,passive,participle,—,neuter,genitive,singular,verb,Colossians 1:23,"ἑδραῖοι καὶ μὴ μετακινούμενοι ἀπὸ τῆς ἐλπίδος τοῦ εὐαγγελίου οὗ ἠκούσατε, τοῦ","ἐν πάσῃ  κτίσει τῇ ὑπὸ τὸν οὐρανόν, οὗ ἐγενόμην ἐγὼ Παῦλος διάκονος."
κηρυχθήσεται,κηρύσσω,future,passive,indicative,third person,—,—,singular,verb,Matthew 24:14,καὶ,τοῦτο τὸ εὐαγγέλιον τῆς βασιλείας ἐν ὅλῃ τῇ οἰκουμένῃ εἰς μαρτύριον πᾶσιν τοῖς
κηρυχθήσεται,κηρύσσω,future,passive,indicative,third person,—,—,singular,verb,Luke 12:3,"τῷ φωτὶ ἀκουσθήσεται, καὶ ὃ πρὸς τὸ οὖς ἐλαλήσατε ἐν τοῖς ταμείοις",ἐπὶ τῶν δωμάτων.
κηρυχθείς,κηρύσσω,aorist,passive,participle,—,masculine,nominative,singular,verb,2 Corinthians 1:19,ὁ τοῦ θεοῦ γὰρ υἱὸς Ἰησοῦς Χριστὸς ὁ ἐν ὑμῖν διʼ ἡμῶν,", διʼ ἐμοῦ καὶ Σιλουανοῦ καὶ Τιμοθέου, οὐκ ἐγένετο ναὶ καὶ οὒ ἀλλὰ ναὶ ἐν αὐτῷ γέγονεν."
κηρυχθῆναι,κηρύσσω,aorist,passive,infinitive,—,—,—,—,verb,Mark 13:10,καὶ εἰς πάντα τὰ ἔθνη πρῶτον δεῖ,τὸ εὐαγγέλιον.
κηρυχθῆναι,κηρύσσω,aorist,passive,infinitive,—,—,—,—,verb,Luke 24:47,καὶ,ἐπὶ τῷ ὀνόματι αὐτοῦ μετάνοιαν εἰς ἄφεσιν ἁμαρτιῶν εἰς πάντα τὰ ἔθνη. ἀρξάμενοι ἀπὸ Ἰερουσαλὴμ
κηρυχθῇ,κηρύσσω,aorist,passive,subjunctive,third person,—,—,singular,verb,Matthew 26:13,"ἀμὴν λέγω ὑμῖν, ὅπου ἐὰν","τὸ εὐαγγέλιον τοῦτο ἐν ὅλῳ τῷ κόσμῳ, λαληθήσεται καὶ ὃ ἐποίησεν αὕτη εἰς μνημόσυνον αὐτῆς."
κηρυχθῇ,κηρύσσω,aorist,passive,subjunctive,third person,—,—,singular,verb,Mark 14:9,"ἀμὴν δὲ λέγω ὑμῖν, ὅπου ἐὰν","τὸ εὐαγγέλιον  εἰς ὅλον τὸν κόσμον, καὶ ὃ ἐποίησεν αὕτη λαληθήσεται εἰς μνημόσυνον αὐτῆς."
κηρύξαι,κηρύσσω,aorist,active,infinitive,—,—,—,—,verb,Luke 4:18,"πνεῦμα κυρίου ἐπʼ ἐμὲ           οὗ εἵνεκεν ἔχρισέν με        εὐαγγελίσασθαι πτωχοῖς,           ἀπέσταλκέν με,","αἰχμαλώτοις ἄφεσιν           καὶ τυφλοῖς ἀνάβλεψιν,        ἀποστεῖλαι τεθραυσμένους ἐν ἀφέσει,"
κηρύξαι,κηρύσσω,aorist,active,infinitive,—,—,—,—,verb,Luke 4:19,—,ἐνιαυτὸν κυρίου δεκτόν.
κηρύξαι,κηρύσσω,aorist,active,infinitive,—,—,—,—,verb,Acts 10:42,καὶ παρήγγειλεν ἡμῖν,τῷ λαῷ καὶ διαμαρτύρασθαι ὅτι οὗτός ἐστιν ὁ ὡρισμένος ὑπὸ τοῦ θεοῦ κριτὴς ζώντων καὶ νεκρῶν.
κηρύξας,κηρύσσω,aorist,active,participle,—,masculine,nominative,singular,verb,1 Corinthians 9:27,"ἀλλʼ ὑπωπιάζω μου τὸ σῶμα καὶ δουλαγωγῶ, μή πως ἄλλοις",αὐτὸς ἀδόκιμος γένωμαι.
κηρύξατε,κηρύσσω,aorist,active,imperative,second person,—,—,plural,verb,Matthew 10:27,"ὃ λέγω ὑμῖν ἐν τῇ σκοτίᾳ εἴπατε ἐν τῷ φωτί, καὶ ὃ εἰς τὸ οὖς ἀκούετε",ἐπὶ τῶν δωμάτων.
κηρύξατε,κηρύσσω,aorist,active,imperative,second person,—,—,plural,verb,Mark 16:15,καὶ εἶπεν αὐτοῖς· πορευθέντες εἰς τὸν κόσμον ἅπαντα,τὸ εὐαγγέλιον πάσῃ τῇ κτίσει.
κηρύξω,κηρύσσω,aorist,active,subjunctive,first person,—,—,singular,verb,Mark 1:38,"καὶ λέγει αὐτοῖς· ἄγωμεν ἀλλαχοῦ εἰς τὰς ἐχομένας κωμοπόλεις, ἵνα καὶ ἐκεῖ",· εἰς τοῦτο γὰρ ἐξῆλθον.
κηρύξωσιν,κηρύσσω,aorist,active,subjunctive,third person,—,—,plural,verb,Romans 10:15,πῶς δὲ,ἐὰν μὴ ἀποσταλῶσιν; καθὼς γέγραπται· ὡς ὡραῖοι οἱ πόδες  τῶν εὐαγγελιζομένων [τὰ] ἀγαθά.
κηρύσσει,κηρύσσω,present,active,indicative,third person,—,—,singular,verb,Acts 19:13,τὸ ὄνομα τοῦ κυρίου Ἰησοῦ λέγοντες· ὁρκίζω ὑμᾶς τὸν Ἰησοῦν ὃν Παῦλος,.
κηρύσσει,κηρύσσω,present,active,indicative,third person,—,—,singular,verb,2 Corinthians 11:4,εἰ μὲν γὰρ ὁ ἐρχόμενος ἄλλον Ἰησοῦν,"ὃν οὐκ ἐκηρύξαμεν, ἢ πνεῦμα ἕτερον λαμβάνετε ὃ οὐκ ἐλάβετε, ἢ εὐαγγέλιον ἕτερον"
κηρύσσειν,κηρύσσω,present,active,infinitive,—,—,—,—,verb,Matthew 4:17,Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς,καὶ λέγειν· μετανοεῖτε· ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.
κηρύσσειν,κηρύσσω,present,active,infinitive,—,—,—,—,verb,Matthew 11:1,"Καὶ ἐγένετο ὅτε ἐτέλεσεν ὁ Ἰησοῦς διατάσσων τοῖς δώδεκα μαθηταῖς αὐτοῦ, μετέβη ἐκεῖθεν τοῦ διδάσκειν καὶ",ἐν ταῖς πόλεσιν αὐτῶν.
κηρύσσειν,κηρύσσω,present,active,infinitive,—,—,—,—,verb,Mark 1:45,Ὁ δὲ ἐξελθὼν ἤρξατο,"πολλὰ καὶ διαφημίζειν τὸν λόγον, ὥστε μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν"
κηρύσσειν,κηρύσσω,present,active,infinitive,—,—,—,—,verb,Mark 3:14,Καὶ ἐποίησεν δώδεκα [οὓς καὶ ἀποστόλους ὠνόμασεν] ἵνα ὦσιν μετʼ αὐτοῦ καὶ ἵνα ἀποστέλλῃ αὐτοὺς,⸆
κηρύσσειν,κηρύσσω,present,active,infinitive,—,—,—,—,verb,Mark 5:20,καὶ ἀπῆλθεν καὶ ἤρξατο,"ἐν τῇ Δεκαπόλει ὅσα ἐποίησεν αὐτῷ ὁ Ἰησοῦς, καὶ πάντες ἐθαύμαζον."
κηρύσσειν,κηρύσσω,present,active,infinitive,—,—,—,—,verb,Luke 9:2,καὶ ἀπέστειλεν αὐτοὺς,"τὴν βασιλείαν τοῦ θεοῦ καὶ ἰᾶσθαι [τοὺς ἀσθενεῖς],"
κηρύσσεται,κηρύσσω,present,passive,indicative,third person,—,—,singular,verb,1 Corinthians 15:12,Εἰ δὲ Χριστὸς,"ὅτι ἐκ νεκρῶν ἐγήγερται, πῶς λέγουσιν ἐν ὑμῖν τινες ὅτι ἀνάστασις νεκρῶν οὐκ ἔστιν;"
κηρύσσετε,κηρύσσω,present,active,imperative,second person,—,—,plural,verb,Matthew 10:7,πορευόμενοι δὲ,λέγοντες ὅτι ἤγγικεν ἡ βασιλεία τῶν οὐρανῶν.
κηρύσσομεν,κηρύσσω,present,active,indicative,first person,—,—,plural,verb,Romans 10:8,"καὶ ἐν τῇ καρδίᾳ σου, τοῦτʼ ἔστιν τὸ ῥῆμα τῆς πίστεως ὃ",.
κηρύσσομεν,κηρύσσω,present,active,indicative,first person,—,—,plural,verb,1 Corinthians 1:23,ἡμεῖς δὲ,"Χριστὸν ἐσταυρωμένον, Ἰουδαίοις μὲν σκάνδαλον, ἔθνεσιν δὲ μωρίαν,"
κηρύσσομεν,κηρύσσω,present,active,indicative,first person,—,—,plural,verb,1 Corinthians 15:11,"εἴτε οὖν ἐγὼ εἴτε ἐκεῖνοι, οὕτως",καὶ οὕτως ἐπιστεύσατε.
κηρύσσομεν,κηρύσσω,present,active,indicative,first person,—,—,plural,verb,2 Corinthians 4:5,Οὐ γὰρ ἑαυτοὺς,"ἀλλʼ Ἰησοῦν Χριστὸν κύριον, ἑαυτοὺς δὲ δούλους ὑμῶν διὰ Ἰησοῦν."
κηρύσσοντα,κηρύσσω,present,active,participle,—,masculine,accusative,singular,verb,Revelation 5:2,καὶ εἶδον ἄγγελον ἰσχυρὸν,ἐν φωνῇ μεγάλῃ· τίς ἄξιος  ἀνοῖξαι τὸ βιβλίον καὶ λῦσαι τὰς σφραγῖδας αὐτοῦ;
κηρύσσοντας,κηρύσσω,present,active,participle,—,masculine,accusative,plural,verb,Acts 15:21,Μωϋσῆς γὰρ ἐκ γενεῶν ἀρχαίων κατὰ πόλιν τοὺς,αὐτὸν ἔχει ἐν ταῖς συναγωγαῖς κατὰ πᾶν σάββατον ἀναγινωσκόμενος.
κηρύσσοντος,κηρύσσω,present,active,participle,—,masculine,genitive,singular,verb,Romans 10:14,Πῶς οὖν ἐπικαλέσωνται εἰς ὃν οὐκ ἐπίστευσαν; πῶς δὲ πιστεύσωσιν οὗ οὐκ ἤκουσαν; πῶς δὲ ἀκούσωσιν χωρὶς,;
κηρύσσουσιν,κηρύσσω,present,active,indicative,third person,—,—,plural,verb,Philippians 1:15,"τινὲς μὲν καὶ διὰ φθόνον καὶ ἔριν, τινὲς δὲ καὶ διʼ εὐδοκίαν τὸν Χριστὸν",·
κηρύσσω,κηρύσσω,present,active,indicative,first person,—,—,singular,verb,Galatians 2:2,ἀνέβην δὲ κατὰ ἀποκάλυψιν· καὶ ἀνεθέμην αὐτοῖς τὸ εὐαγγέλιον ὃ,"ἐν τοῖς ἔθνεσιν, κατʼ ἰδίαν δὲ τοῖς δοκοῦσιν, μή πως εἰς κενὸν τρέχω ἢ ἔδραμον."
κηρύσσω,κηρύσσω,present,active,indicative,first person,—,—,singular,verb,Galatians 5:11,"Ἐγὼ δέ, ἀδελφοί, εἰ περιτομὴν ἔτι",", τί ἔτι διώκομαι; ἄρα κατήργηται τὸ σκάνδαλον τοῦ σταυροῦ."
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Matthew 3:1,Ἐν δὲ ταῖς ἡμέραις ἐκείναις παραγίνεται Ἰωάννης ὁ βαπτιστὴς,ἐν τῇ ἐρήμῳ τῆς Ἰουδαίας
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Matthew 4:23,Καὶ περιῆγεν ἐν ὅλῃ τῇ Γαλιλαίᾳ διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ,τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ.
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Matthew 9:35,Καὶ περιῆγεν ὁ Ἰησοῦς τὰς πόλεις πάσας καὶ τὰς κώμας διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ,τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Mark 1:4,ἐγένετο Ἰωάννης [ὁ] βαπτίζων ἐν τῇ ἐρήμῳ καὶ,βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν.
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Mark 1:14,Μετὰ δὲ τὸ παραδοθῆναι τὸν Ἰωάννην ἦλθεν ὁ Ἰησοῦς εἰς τὴν Γαλιλαίαν,τὸ εὐαγγέλιον  τοῦ θεοῦ
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Mark 1:39,Καὶ ἦλθεν,εἰς τὰς συναγωγὰς αὐτῶν εἰς ὅλην τὴν Γαλιλαίαν καὶ τὰ δαιμόνια ἐκβάλλων.
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Luke 3:3,Καὶ ἦλθεν εἰς πᾶσαν [τὴν] περίχωρον τοῦ Ἰορδάνου,"βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν,"
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Luke 4:44,Καὶ ἦν,εἰς τὰς συναγωγὰς τῆς Ἰουδαίας.
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Luke 8:1,Καὶ ἐγένετο ἐν τῷ καθεξῆς καὶ αὐτὸς διώδευεν κατὰ πόλιν καὶ κώμην,"καὶ εὐαγγελιζόμενος τὴν βασιλείαν τοῦ θεοῦ καὶ οἱ δώδεκα σὺν αὐτῷ,"
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Luke 8:39,ὑπόστρεφε εἰς τὸν οἶκόν σου καὶ διηγοῦ ὅσα σοι ἐποίησεν ὁ θεός. καὶ ἀπῆλθεν καθʼ ὅλην τὴν πόλιν,ὅσα ἐποίησεν αὐτῷ ὁ Ἰησοῦς.
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Acts 20:25,Καὶ νῦν ἰδοὺ ἐγὼ οἶδα ὅτι οὐκέτι ὄψεσθε τὸ πρόσωπόν μου ὑμεῖς πάντες ἐν οἷς διῆλθον,τὴν βασιλείαν.
κηρύσσων,κηρύσσω,present,active,participle,—,masculine,nominative,singular,verb,Acts 28:31,—,τὴν βασιλείαν τοῦ θεοῦ καὶ διδάσκων τὰ περὶ τοῦ κυρίου Ἰησοῦ Χριστοῦ μετὰ πάσης παρρησίας ἀκωλύτως.
