Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
κυρίου,κύριος,—,—,—,—,masculine,genitive,singular,Matthew 1:20,ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος,"κατʼ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν"
κυρίου,κύριος,—,—,—,—,masculine,genitive,singular,Matthew 1:22,τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ,διὰ  τοῦ προφήτου λέγοντος·
κυρίου,κύριος,—,—,—,—,masculine,genitive,singular,Matthew 1:24,ἐγερθεὶς δὲ ὁ Ἰωσὴφ ἀπὸ τοῦ ὕπνου ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος,"καὶ παρέλαβεν τὴν γυναῖκα αὐτοῦ,"
κυρίου,κύριος,—,—,—,—,masculine,genitive,singular,Matthew 2:13,Ἀναχωρησάντων δὲ αὐτῶν  ἰδοὺ ἄγγελος,φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ λέγων· ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα
κυρίου,κύριος,—,—,—,—,masculine,genitive,singular,Matthew 2:15,καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου· ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ,διὰ τοῦ προφήτου λέγοντος·        ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου.
κυρίου,κύριος,—,—,—,—,masculine,genitive,singular,Matthew 2:19,Τελευτήσαντος δὲ τοῦ Ἡρῴδου ἰδοὺ ἄγγελος,φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ ἐν Αἰγύπτῳ
κυρίου,κύριος,—,—,—,—,masculine,genitive,singular,Matthew 3:3,οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·        φωνὴ βοῶντος ἐν τῇ ἐρήμῳ·        ἑτοιμάσατε τὴν ὁδὸν,",           εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ."
κύριον,κύριος,—,—,—,—,masculine,accusative,singular,Matthew 4:7,ἔφη αὐτῷ ὁ Ἰησοῦς· πάλιν γέγραπται· οὐκ ἐκπειράσεις,τὸν θεόν σου.
κύριον,κύριος,—,—,—,—,masculine,accusative,singular,Matthew 4:10,"τότε λέγει αὐτῷ ὁ Ἰησοῦς· ὕπαγε , σατανᾶ· γέγραπται γάρ·",τὸν θεόν σου προσκυνήσεις καὶ αὐτῷ μόνῳ λατρεύσεις.
κυρίῳ,κύριος,—,—,—,—,masculine,dative,singular,Matthew 5:33,"Πάλιν ἠκούσατε ὅτι ἐρρέθη τοῖς ἀρχαίοις· οὐκ ἐπιορκήσεις, ἀποδώσεις δὲ τῷ",τοὺς ὅρκους σου.
κυρίοις,κύριος,—,—,—,—,masculine,dative,plural,Matthew 6:24,Οὐδεὶς  δύναται δυσὶ,"δουλεύειν· ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει, ἢ ἑνὸς ἀνθέξεται"
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 7:21,Οὐ πᾶς ὁ λέγων μοι·,"κύριε, εἰσελεύσεται εἰς τὴν βασιλείαν τῶν οὐρανῶν, ἀλλʼ ὁ ποιῶν τὸ θέλημα τοῦ"
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 7:21,Οὐ πᾶς ὁ λέγων μοι· κύριε,", εἰσελεύσεται εἰς τὴν βασιλείαν τῶν οὐρανῶν, ἀλλʼ ὁ ποιῶν τὸ θέλημα τοῦ πατρός"
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 7:22,πολλοὶ ἐροῦσίν μοι ἐν ἐκείνῃ τῇ ἡμέρᾳ·,"κύριε, οὐ τῷ σῷ ὀνόματι ἐπροφητεύσαμεν, καὶ τῷ σῷ ὀνόματι δαιμόνια  ἐξεβάλομεν, καὶ"
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 7:22,πολλοὶ ἐροῦσίν μοι ἐν ἐκείνῃ τῇ ἡμέρᾳ· κύριε,", οὐ τῷ σῷ ὀνόματι ἐπροφητεύσαμεν, καὶ τῷ σῷ ὀνόματι δαιμόνια  ἐξεβάλομεν, καὶ τῷ"
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 8:2,καὶ ἰδοὺ λεπρὸς προσελθὼν προσεκύνει αὐτῷ λέγων·,", ἐὰν θέλῃς δύνασαί με καθαρίσαι."
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 8:6,καὶ λέγων·,", ὁ παῖς μου βέβληται ἐν τῇ οἰκίᾳ παραλυτικός, δεινῶς βασανιζόμενος."
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 8:8,καὶ ἀποκριθεὶς ὁ ἑκατόνταρχος ἔφη·,", οὐκ εἰμὶ ἱκανὸς ἵνα μου ὑπὸ τὴν στέγην εἰσέλθῃς, ἀλλὰ μόνον εἰπὲ λόγῳ"
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 8:21,ἕτερος δὲ τῶν μαθητῶν [αὐτοῦ] εἶπεν αὐτῷ·,", ἐπίτρεψόν μοι πρῶτον ἀπελθεῖν καὶ θάψαι τὸν πατέρα μου."
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 8:25,καὶ προσελθόντες  ἤγειραν αὐτὸν λέγοντες·,", σῶσον , ἀπολλύμεθα."
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 9:28,λέγει αὐτοῖς ὁ Ἰησοῦς· πιστεύετε ὅτι δύναμαι τοῦτο ποιῆσαι; λέγουσιν αὐτῷ· ναὶ,.
κυρίου,κύριος,—,—,—,—,masculine,genitive,singular,Matthew 9:38,δεήθητε οὖν τοῦ,τοῦ θερισμοῦ ὅπως ἐκβάλῃ ἐργάτας εἰς τὸν θερισμὸν αὐτοῦ.
κύριον,κύριος,—,—,—,—,masculine,accusative,singular,Matthew 10:24,Οὐκ ἔστιν μαθητὴς ὑπὲρ τὸν διδάσκαλον  οὐδὲ δοῦλος ὑπὲρ τὸν,αὐτοῦ.
κύριος,κύριος,—,—,—,—,masculine,nominative,singular,Matthew 10:25,ἀρκετὸν τῷ μαθητῇ ἵνα γένηται ὡς ὁ διδάσκαλος αὐτοῦ καὶ ὁ δοῦλος ὡς ὁ,"αὐτοῦ. εἰ τὸν οἰκοδεσπότην Βεελζεβοὺλ ἐπεκάλεσαν, πόσῳ μᾶλλον τοὺς οἰκιακοὺς αὐτοῦ."
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 11:25,"Ἐν ἐκείνῳ τῷ καιρῷ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν· ἐξομολογοῦμαί σοι, πάτερ,","τοῦ οὐρανοῦ καὶ τῆς γῆς, ὅτι ἔκρυψας ταῦτα ἀπὸ σοφῶν καὶ συνετῶν καὶ ἀπεκάλυψας αὐτὰ νηπίοις·"
κύριος,κύριος,—,—,—,—,masculine,nominative,singular,Matthew 12:8,—,γάρ ἐστιν τοῦ σαββάτου ὁ υἱὸς τοῦ ἀνθρώπου.
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 13:27,προσελθόντες δὲ οἱ δοῦλοι τοῦ οἰκοδεσπότου εἶπον αὐτῷ·,", οὐχὶ καλὸν σπέρμα ἔσπειρας ἐν τῷ σῷ ἀγρῷ; πόθεν οὖν ἔχει  ζιζάνια;"
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 14:28,Ἀποκριθεὶς δὲ αὐτῷ ὁ Πέτρος εἶπεν·,", εἰ σὺ εἶ, κέλευσόν με ἐλθεῖν πρός σε ἐπὶ τὰ ὕδατα."
κύριε,κύριος,—,—,—,—,masculine,vocative,singular,Matthew 14:30,"βλέπων δὲ τὸν ἄνεμον [ἰσχυρὸν] ἐφοβήθη, καὶ ἀρξάμενος καταποντίζεσθαι ἔκραξεν λέγων·",", σῶσόν με."
