Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 2:8,"καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν· πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου· ἐπὰν δὲ εὕρητε, ἀπαγγείλατέ μοι, ὅπως",κἀγὼ,ἐλθὼν προσκυνήσω αὐτῷ.,κἀγώ,"LN 92.1, LN 89.93","και, εγω","pronoun, conjunction",—
NA28,Matthew 10:32,"Πᾶς οὖν ὅστις ὁμολογήσει ἐν ἐμοὶ ἔμπροσθεν τῶν ἀνθρώπων, ὁμολογήσω",κἀγὼ,ἐν αὐτῷ ἔμπροσθεν τοῦ πατρός μου τοῦ ἐν [τοῖς] οὐρανοῖς·,κἀγώ,"LN 92.1, LN 91.12","και, εγω","pronoun, particle",emphatic
NA28,Matthew 10:33,"ὅστις δʼ ἂν ἀρνήσηταί με ἔμπροσθεν τῶν ἀνθρώπων, ἀρνήσομαι",κἀγὼ,αὐτὸν ἔμπροσθεν τοῦ πατρός μου τοῦ ἐν [τοῖς] οὐρανοῖς.,κἀγώ,"LN 91.12, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,Matthew 11:28,"Δεῦτε πρός με πάντες οἱ κοπιῶντες καὶ πεφορτισμένοι,",κἀγὼ,ἀναπαύσω ὑμᾶς.,κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,Matthew 16:18,—,κἀγὼ,"δέ σοι λέγω ὅτι σὺ εἶ Πέτρος, καὶ ἐπὶ ταύτῃ τῇ πέτρᾳ οἰκοδομήσω",κἀγώ,"LN 92.1, LN 91.12","και, εγω","pronoun, particle",emphatic
NA28,Matthew 18:33,"οὐκ ἔδει καὶ σὲ ἐλεῆσαι τὸν σύνδουλόν σου, ὡς",κἀγὼ,σὲ ἠλέησα;,κἀγώ,"LN 92.1, LN 89.93","και, εγω","pronoun, particle",emphatic
NA28,Matthew 21:24,ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς· ἐρωτήσω ὑμᾶς,κἀγὼ,"λόγον ἕνα, ὃν ἐὰν εἴπητέ μοι κἀγὼ ὑμῖν ἐρῶ ἐν ποίᾳ ἐξουσίᾳ ταῦτα ποιῶ·",κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,Matthew 21:24,"ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς· ἐρωτήσω ὑμᾶς κἀγὼ λόγον ἕνα, ὃν ἐὰν εἴπητέ μοι",κἀγὼ,ὑμῖν ἐρῶ ἐν ποίᾳ ἐξουσίᾳ ταῦτα ποιῶ·,κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,Matthew 26:15,"εἶπεν· τί θέλετέ μοι δοῦναι,",κἀγὼ,ὑμῖν παραδώσω αὐτόν; οἱ δὲ ἔστησαν αὐτῷ τριάκοντα ἀργύρια.,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,Luke 1:3,ἔδοξεν,κἀμοὶ,"παρηκολουθηκότι ἄνωθεν πᾶσιν ἀκριβῶς καθεξῆς σοι γράψαι, κράτιστε Θεόφιλε,",κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,Luke 2:48,"ἡ μήτηρ αὐτοῦ· τέκνον, τί ἐποίησας ἡμῖν οὕτως; ἰδοὺ ὁ πατήρ σου",κἀγὼ,ὀδυνώμενοι  ἐζητοῦμέν σε.,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,Luke 11:9,—,Κἀγὼ,"ὑμῖν λέγω, αἰτεῖτε καὶ δοθήσεται ὑμῖν, ζητεῖτε καὶ εὑρήσετε, κρούετε καὶ ἀνοιγήσεται ὑμῖν·",κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,Luke 19:23,καὶ διὰ τί οὐκ ἔδωκάς μου τὸ ἀργύριον ἐπὶ τράπεζαν;,κἀγὼ,ἐλθὼν σὺν τόκῳ ἂν αὐτὸ ἔπραξα.,κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,Luke 20:3,ἀποκριθεὶς δὲ εἶπεν πρὸς αὐτούς· ἐρωτήσω ὑμᾶς,κἀγὼ,"λόγον, καὶ εἴπατέ μοι·",κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,Luke 22:29,—,κἀγὼ,"διατίθεμαι ὑμῖν  καθὼς διέθετό μοι ὁ πατήρ μου βασιλείαν,",κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 1:31,—,κἀγὼ,"οὐκ ᾔδειν αὐτόν, ἀλλʼ ἵνα φανερωθῇ τῷ Ἰσραὴλ διὰ τοῦτο ἦλθον ἐγὼ ἐν  ὕδατι βαπτίζων.",κἀγώ,"LN 91.1, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 1:33,—,κἀγὼ,"οὐκ ᾔδειν αὐτόν, ἀλλʼ ὁ πέμψας με βαπτίζειν ἐν  ὕδατι ἐκεῖνός μοι εἶπεν",κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 1:34,—,κἀγὼ,ἑώρακα καὶ μεμαρτύρηκα ὅτι οὗτός ἐστιν ὁ υἱὸς τοῦ θεοῦ.,κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 5:17,Ὁ δὲ [Ἰησοῦς] ἀπεκρίνατο αὐτοῖς· ὁ πατήρ μου ἕως ἄρτι ἐργάζεται,κἀγὼ,ἐργάζομαι·,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 6:44,"οὐδεὶς δύναται ἐλθεῖν πρός με ἐὰν μὴ ὁ πατὴρ  ὁ πέμψας με ἑλκύσῃ αὐτόν,",κἀγὼ,ἀναστήσω αὐτὸν ἐν τῇ ἐσχάτῃ ἡμέρᾳ.,κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 6:54,"ὁ τρώγων μου τὴν σάρκα καὶ πίνων μου τὸ αἷμα ἔχει ζωὴν αἰώνιον,",κἀγὼ,ἀναστήσω αὐτὸν  τῇ ἐσχάτῃ ἡμέρᾳ.,κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 6:56,ὁ τρώγων μου τὴν σάρκα καὶ πίνων μου τὸ αἷμα ἐν ἐμοὶ μένει,κἀγὼ,ἐν αὐτῷ.,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 6:57,καθὼς ἀπέστειλέν με ὁ ζῶν πατὴρ,κἀγὼ,"ζῶ διὰ τὸν πατέρα , καὶ ὁ τρώγων με κἀκεῖνος ζήσει διʼ ἐμέ.",κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 7:28,ἔκραξεν οὖν ἐν τῷ ἱερῷ διδάσκων ὁ Ἰησοῦς καὶ λέγων·,κἀμὲ,"οἴδατε καὶ οἴδατε πόθεν εἰμί· καὶ ἀπʼ ἐμαυτοῦ οὐκ ἐλήλυθα, ἀλλʼ ἔστιν ἀληθινὸς",κἀγώ,"LN 92.1, LN 91.12","και, εγω","pronoun, conjunction",—
NA28,John 8:26,"πολλὰ ἔχω περὶ ὑμῶν λαλεῖν καὶ κρίνειν, ἀλλʼ ὁ πέμψας με ἀληθής ἐστιν,",κἀγὼ,ἃ ἤκουσα παρʼ αὐτοῦ ταῦτα λαλῶ εἰς τὸν κόσμον.,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 10:15,καθὼς γινώσκει με ὁ πατὴρ,κἀγὼ,"γινώσκω τὸν πατέρα,  καὶ τὴν ψυχήν μου τίθημι ὑπὲρ τῶν προβάτων.",κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 10:27,"τὰ πρόβατα τὰ ἐμὰ τῆς φωνῆς μου ἀκούουσιν,",κἀγὼ,"γινώσκω αὐτὰ καὶ ἀκολουθοῦσίν μοι,",κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 10:28,—,κἀγὼ,δίδωμι αὐτοῖς ζωὴν αἰώνιον καὶ οὐ μὴ ἀπόλωνται εἰς τὸν αἰῶνα καὶ οὐχ,κἀγώ,"LN 91.1, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 10:38,"τοῖς ἔργοις πιστεύετε, ἵνα γνῶτε καὶ γινώσκητε ὅτι ἐν ἐμοὶ ὁ πατὴρ",κἀγὼ,ἐν τῷ πατρί.,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 12:32,—,κἀγὼ,"ἐὰν ὑψωθῶ ἐκ τῆς γῆς, πάντας ἑλκύσω πρὸς ἐμαυτόν.",κἀγώ,"LN 91.1, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 14:16,—,κἀγὼ,"ἐρωτήσω τὸν πατέρα καὶ ἄλλον παράκλητον δώσει ὑμῖν, ἵνα μεθʼ ὑμῶν εἰς τὸν αἰῶνα ᾖ,",κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 14:20,ἐν ἐκείνῃ τῇ ἡμέρᾳ γνώσεσθε ὑμεῖς ὅτι ἐγὼ ἐν τῷ πατρί μου καὶ ὑμεῖς ἐν ἐμοὶ,κἀγὼ,ἐν ὑμῖν.,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 14:21,"ὁ ἀγαπῶν με· ὁ δὲ ἀγαπῶν με ἀγαπηθήσεται ὑπὸ τοῦ πατρός μου,",κἀγὼ,ἀγαπήσω αὐτὸν καὶ ἐμφανίσω αὐτῷ ἐμαυτόν.,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 15:4,"μείνατε ἐν ἐμοί,",κἀγὼ,ἐν ὑμῖν. καθὼς τὸ κλῆμα οὐ δύναται καρπὸν φέρειν ἀφʼ ἑαυτοῦ ἐὰν μὴ,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 15:5,"ἐγώ εἰμι ἡ ἄμπελος, ὑμεῖς τὰ κλήματα. ὁ μένων ἐν ἐμοὶ",κἀγὼ,"ἐν αὐτῷ οὗτος φέρει καρπὸν πολύν, ὅτι χωρὶς ἐμοῦ οὐ δύνασθε ποιεῖν οὐδέν.",κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 15:9,"Καθὼς ἠγάπησέν με ὁ πατήρ,",κἀγὼ,ὑμᾶς ἠγάπησα· μείνατε ἐν τῇ ἀγάπῃ τῇ ἐμῇ.,κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,John 16:32,ἰδοὺ ἔρχεται ὥρα καὶ ἐλήλυθεν ἵνα σκορπισθῆτε  ἕκαστος εἰς τὰ ἴδια,κἀμὲ,"μόνον ἀφῆτε· καὶ οὐκ εἰμὶ μόνος, ὅτι ὁ πατὴρ μετʼ ἐμοῦ ἐστιν.",κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 17:6,Ἐφανέρωσά σου τὸ ὄνομα τοῖς ἀνθρώποις οὓς ἔδωκάς μοι ἐκ τοῦ κόσμου. σοὶ ἦσαν,κἀμοὶ,αὐτοὺς ἔδωκας καὶ τὸν λόγον σου τετήρηκαν.,κἀγώ,"LN 92.1, LN 89.87","και, εγω","pronoun, conjunction",—
NA28,John 17:11,"καὶ οὐκέτι εἰμὶ ἐν τῷ κόσμῳ, καὶ αὐτοὶ ἐν τῷ κόσμῳ εἰσίν,",κἀγὼ,"πρὸς σὲ ἔρχομαι. πάτερ ἅγιε, τήρησον αὐτοὺς ἐν τῷ ὀνόματί σου ᾧ δέδωκάς",κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,John 17:18,"καθὼς ἐμὲ ἀπέστειλας εἰς τὸν κόσμον,",κἀγὼ,ἀπέστειλα αὐτοὺς εἰς τὸν κόσμον·,κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,John 17:21,"ἵνα πάντες ἓν ὦσιν, καθὼς σύ, πάτερ, ἐν ἐμοὶ",κἀγὼ,"ἐν σοί, ἵνα καὶ αὐτοὶ ἐν ἡμῖν  ὦσιν, ἵνα ὁ κόσμος πιστεύῃ ὅτι σύ με ἀπέστειλας.",κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
