Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐλογίσθη,λογίζομαι,aorist,passive,indicative,third person,—,—,singular,Luke 22:37,"λέγω γὰρ ὑμῖν ὅτι  τοῦτο τὸ γεγραμμένον δεῖ τελεσθῆναι ἐν ἐμοί, τό· καὶ μετὰ ἀνόμων",· καὶ γὰρ τὸ περὶ ἐμοῦ τέλος ἔχει.
λογίζεσθε,λογίζομαι,present,either middle or passive,indicative,second person,—,—,plural,John 11:50,οὐδὲ,ὅτι συμφέρει ὑμῖν ἵνα εἷς ἄνθρωπος ἀποθάνῃ ὑπὲρ τοῦ λαοῦ καὶ μὴ ὅλον τὸ ἔθνος ἀπόληται.
λογισθῆναι,λογίζομαι,aorist,passive,infinitive,—,—,—,—,Acts 19:27,ἀπελεγμὸν ἐλθεῖν ἀλλὰ καὶ τὸ τῆς μεγάλης θεᾶς Ἀρτέμιδος ἱερὸν εἰς οὐθὲν,", μέλλειν τε καὶ καθαιρεῖσθαι τῆς μεγαλειότητος αὐτῆς ἣν ὅλη ἡ Ἀσία καὶ ἡ οἰκουμένη σέβεται."
λογίζῃ,λογίζομαι,present,either middle or passive,indicative,second person,—,—,singular,Romans 2:3,—,"δὲ τοῦτο, ὦ ἄνθρωπε ὁ κρίνων τοὺς τὰ τοιαῦτα πράσσοντας καὶ ποιῶν αὐτά"
λογισθήσεται,λογίζομαι,future,passive,indicative,third person,—,—,singular,Romans 2:26,"ἐὰν οὖν ἡ ἀκροβυστία τὰ δικαιώματα τοῦ νόμου φυλάσσῃ, οὐχ ἡ ἀκροβυστία αὐτοῦ εἰς περιτομὴν",;
λογιζόμεθα,λογίζομαι,present,either middle or passive,indicative,first person,—,—,plural,Romans 3:28,—,γὰρ δικαιοῦσθαι πίστει ἄνθρωπον χωρὶς ἔργων νόμου.
ἐλογίσθη,λογίζομαι,aorist,passive,indicative,third person,—,—,singular,Romans 4:3,τί γὰρ ἡ γραφὴ λέγει; ἐπίστευσεν δὲ Ἀβραὰμ τῷ θεῷ καὶ,αὐτῷ εἰς δικαιοσύνην.
λογίζεται,λογίζομαι,present,either middle or passive,indicative,third person,—,—,singular,Romans 4:4,τῷ δὲ ἐργαζομένῳ ὁ μισθὸς οὐ,"κατὰ χάριν ἀλλὰ κατὰ ὀφείλημα,"
λογίζεται,λογίζομαι,present,either middle or passive,indicative,third person,—,—,singular,Romans 4:5,τῷ δὲ μὴ ἐργαζομένῳ πιστεύοντι δὲ ἐπὶ τὸν δικαιοῦντα τὸν ἀσεβῆ,ἡ πίστις αὐτοῦ εἰς δικαιοσύνην·
λογίζεται,λογίζομαι,present,either middle or passive,indicative,third person,—,—,singular,Romans 4:6,καθάπερ καὶ Δαυὶδ λέγει τὸν μακαρισμὸν τοῦ ἀνθρώπου ᾧ ὁ θεὸς,δικαιοσύνην χωρὶς ἔργων·
λογίσηται,λογίζομαι,aorist,middle,subjunctive,third person,—,—,singular,Romans 4:8,μακάριος ἀνὴρ οὗ οὐ μὴ,κύριος ἁμαρτίαν.
ἐλογίσθη,λογίζομαι,aorist,passive,indicative,third person,—,—,singular,Romans 4:9,Ὁ μακαρισμὸς οὖν οὗτος ἐπὶ τὴν περιτομὴν  ἢ καὶ ἐπὶ τὴν ἀκροβυστίαν; λέγομεν γάρ·,τῷ Ἀβραὰμ ἡ πίστις εἰς δικαιοσύνην.
ἐλογίσθη,λογίζομαι,aorist,passive,indicative,third person,—,—,singular,Romans 4:10,πῶς οὖν,; ἐν περιτομῇ ὄντι ἢ ἐν ἀκροβυστίᾳ; οὐκ ἐν περιτομῇ ἀλλʼ ἐν ἀκροβυστίᾳ·
λογισθῆναι,λογίζομαι,aorist,passive,infinitive,—,—,—,—,Romans 4:11,"εἰς τὸ εἶναι αὐτὸν πατέρα πάντων τῶν πιστευόντων διʼ ἀκροβυστίας, εἰς τὸ","[καὶ] αὐτοῖς [τὴν] δικαιοσύνην,"
ἐλογίσθη,λογίζομαι,aorist,passive,indicative,third person,—,—,singular,Romans 4:22,διὸ [καὶ],αὐτῷ εἰς δικαιοσύνην.
ἐλογίσθη,λογίζομαι,aorist,passive,indicative,third person,—,—,singular,Romans 4:23,Οὐκ ἐγράφη δὲ διʼ αὐτὸν μόνον ὅτι,αὐτῷ
