Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Μέλλων,μέλλω,present,active,participle,—,masculine,nominative,singular,verb,Acts 21:37,—,τε εἰσάγεσθαι εἰς τὴν παρεμβολὴν ὁ Παῦλος λέγει τῷ χιλιάρχῳ· εἰ ἔξεστίν μοι
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 2:13,αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι·,γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό.
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 16:27,—,γὰρ ὁ υἱὸς τοῦ ἀνθρώπου ἔρχεσθαι ἐν τῇ δόξῃ τοῦ πατρὸς αὐτοῦ μετὰ
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 17:12,ἀλλʼ ἐποίησαν ἐν αὐτῷ ὅσα ἠθέλησαν· οὕτως καὶ ὁ υἱὸς τοῦ ἀνθρώπου,πάσχειν ὑπʼ αὐτῶν.
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,Matthew 17:22,Συστρεφομένων δὲ αὐτῶν ἐν τῇ Γαλιλαίᾳ εἶπεν αὐτοῖς ὁ Ἰησοῦς·,"ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοσθαι εἰς χεῖρας ἀνθρώπων,"
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,Luke 9:44,θέσθε ὑμεῖς εἰς τὰ ὦτα ὑμῶν τοὺς λόγους τούτους· ὁ γὰρ υἱὸς τοῦ ἀνθρώπου,παραδίδοσθαι εἰς χεῖρας ἀνθρώπων.
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,Luke 19:11,Ἀκουόντων δὲ αὐτῶν ταῦτα προσθεὶς εἶπεν παραβολὴν διὰ τὸ ἐγγὺς εἶναι Ἰερουσαλὴμ αὐτὸν καὶ δοκεῖν αὐτοὺς ὅτι παραχρῆμα,ἡ βασιλεία τοῦ θεοῦ ἀναφαίνεσθαι.
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,John 7:35,εἶπον οὖν οἱ Ἰουδαῖοι πρὸς ἑαυτούς· ποῦ οὗτος,πορεύεσθαι ὅτι ἡμεῖς οὐχ εὑρήσομεν αὐτόν; μὴ εἰς τὴν διασπορὰν τῶν Ἑλλήνων μέλλει
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,John 7:35,πορεύεσθαι ὅτι ἡμεῖς οὐχ εὑρήσομεν αὐτόν; μὴ εἰς τὴν διασπορὰν τῶν Ἑλλήνων,πορεύεσθαι καὶ διδάσκειν τοὺς Ἕλληνας;
μέλλει,μέλλω,present,active,indicative,third person,—,—,singular,verb,Acts 17:31,καθότι ἔστησεν ἡμέραν ἐν ᾗ,"κρίνειν τὴν οἰκουμένην ἐν δικαιοσύνῃ, ἐν ἀνδρὶ ᾧ ὥρισεν, πίστιν παρασχὼν πᾶσιν ἀναστήσας αὐτὸν ἐκ νεκρῶν."
