Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Μαρτυρεῖ,μαρτυρέω,present,active,indicative,third person,—,—,singular,verb,Hebrews 10:15,—,δὲ ἡμῖν καὶ τὸ πνεῦμα τὸ ἅγιον· μετὰ γὰρ τὸ εἰρηκέναι·
Μαρτυρῶ,μαρτυρέω,present,active,indicative,first person,—,—,singular,verb,Revelation 22:18,—,ἐγὼ παντὶ τῷ ἀκούοντι τοὺς λόγους τῆς προφητείας τοῦ βιβλίου τούτου· ἐάν τις
μαρτυρήσαντος,μαρτυρέω,aorist,active,participle,—,masculine,genitive,singular,verb,1 Timothy 6:13,παραγγέλλω [σοι] ἐνώπιον τοῦ θεοῦ τοῦ ζῳογονοῦντος τὰ πάντα καὶ Χριστοῦ Ἰησοῦ τοῦ,"ἐπὶ Ποντίου Πιλάτου τὴν καλὴν ὁμολογίαν,"
μαρτυρήσας,μαρτυρέω,aorist,active,participle,—,masculine,nominative,singular,verb,Acts 13:22,καὶ μεταστήσας αὐτὸν ἤγειρεν τὸν Δαυὶδ αὐτοῖς εἰς βασιλέα ᾧ καὶ εἶπεν,"· εὗρον Δαυὶδ τὸν τοῦ Ἰεσσαί, ἄνδρα κατὰ τὴν καρδίαν μου, ὃς ποιήσει πάντα τὰ θελήματά μου."
μαρτυρήσει,μαρτυρέω,future,active,indicative,third person,—,—,singular,verb,John 15:26,"τοῦ πατρός, τὸ πνεῦμα τῆς ἀληθείας ὃ παρὰ τοῦ πατρὸς ἐκπορεύεται, ἐκεῖνος",περὶ ἐμοῦ·
μαρτυρήσω,μαρτυρέω,aorist,active,subjunctive,first person,—,—,singular,verb,John 18:37,"ἐγὼ εἰς τοῦτο γεγέννημαι καὶ εἰς τοῦτο ἐλήλυθα εἰς τὸν κόσμον, ἵνα",τῇ ἀληθείᾳ· πᾶς ὁ ὢν ἐκ τῆς ἀληθείας ἀκούει μου τῆς φωνῆς.
μαρτυρήσῃ,μαρτυρέω,aorist,active,subjunctive,third person,—,—,singular,verb,John 1:7,οὗτος ἦλθεν εἰς μαρτυρίαν ἵνα,"περὶ τοῦ φωτός, ἵνα πάντες πιστεύσωσιν διʼ αὐτοῦ."
μαρτυρήσῃ,μαρτυρέω,aorist,active,subjunctive,third person,—,—,singular,verb,John 1:8,"οὐκ ἦν ἐκεῖνος τὸ φῶς, ἀλλʼ ἵνα",περὶ τοῦ φωτός.
μαρτυρήσῃ,μαρτυρέω,aorist,active,subjunctive,third person,—,—,singular,verb,John 2:25,καὶ ὅτι οὐ χρείαν εἶχεν ἵνα τις,περὶ τοῦ ἀνθρώπου· αὐτὸς γὰρ ἐγίνωσκεν τί ἦν ἐν τῷ ἀνθρώπῳ.
μαρτυρεῖ,μαρτυρέω,present,active,indicative,third person,—,—,singular,verb,John 1:15,Ἰωάννης,περὶ αὐτοῦ καὶ κέκραγεν λέγων· οὗτος ἦν ὃν εἶπον· ὁ ὀπίσω μου ἐρχόμενος
μαρτυρεῖ,μαρτυρέω,present,active,indicative,third person,—,—,singular,verb,John 3:32,ὃ ἑώρακεν καὶ ἤκουσεν τοῦτο,", καὶ τὴν μαρτυρίαν αὐτοῦ οὐδεὶς λαμβάνει."
