Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
νυκτί,νύξ,—,—,—,—,feminine,dative,singular,noun,John 11:10,ἐὰν δέ τις περιπατῇ ἐν τῇ,", προσκόπτει, ὅτι τὸ φῶς οὐκ ἔστιν ἐν αὐτῷ."
νυκτός,νύξ,—,—,—,—,feminine,genitive,singular,noun,Luke 18:7,ὁ δὲ θεὸς οὐ μὴ ποιήσῃ τὴν ἐκδίκησιν τῶν ἐκλεκτῶν αὐτοῦ τῶν βοώντων αὐτῷ ἡμέρας καὶ,", καὶ μακροθυμεῖ ἐπʼ αὐτοῖς;"
νυκτός,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 23:23,"ἕως Καισαρείας, καὶ ἱππεῖς ἑβδομήκοντα καὶ δεξιολάβους διακοσίους ἀπὸ τρίτης ὥρας τῆς",","
νυκτός,νύξ,—,—,—,—,feminine,genitive,singular,noun,Revelation 12:10,"τῶν ἀδελφῶν ἡμῶν,        ὁ κατηγορῶν αὐτοὺς ἐνώπιον τοῦ θεοῦ ἡμῶν ἡμέρας καὶ",.
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Matthew 26:31,Τότε λέγει αὐτοῖς ὁ Ἰησοῦς· πάντες ὑμεῖς σκανδαλισθήσεσθε ἐν ἐμοὶ ἐν τῇ,"ταύτῃ,  γέγραπται γάρ·      πατάξω τὸν ποιμένα,        καὶ διασκορπισθήσονται τὰ πρόβατα τῆς ποίμνης."
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Matthew 26:34,ἔφη αὐτῷ  ὁ Ἰησοῦς· ἀμὴν λέγω σοι ὅτι ἐν ταύτῃ τῇ,πρὶν ἀλέκτορα φωνῆσαι τρὶς ἀπαρνήσῃ με.
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Mark 14:30,καὶ λέγει αὐτῷ ὁ Ἰησοῦς· ἀμὴν λέγω σοι ὅτι σὺ σήμερον ταύτῃ τῇ,πρὶν ἢ δὶς ἀλέκτορα φωνῆσαι τρίς με ἀπαρνήσῃ.
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Luke 12:20,"εἶπεν δὲ αὐτῷ ὁ θεός· ἄφρων, ταύτῃ τῇ","τὴν ψυχήν σου ἀπαιτοῦσιν ἀπὸ σοῦ· ἃ δὲ ἡτοίμασας, τίνι ἔσται;"
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Luke 17:34,"λέγω ὑμῖν, ταύτῃ τῇ","ἔσονται δύο ἐπὶ κλίνης μιᾶς, ὁ εἷς παραλημφθήσεται καὶ ὁ ἕτερος ἀφεθήσεται·"
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,John 21:3,"σὺν σοί. ἐξῆλθον καὶ ἐνέβησαν εἰς τὸ πλοῖον , καὶ ἐν ἐκείνῃ τῇ",ἐπίασαν οὐδέν.
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Acts 12:6,"Ὅτε δὲ ἤμελλεν προαγαγεῖν αὐτὸν ὁ Ἡρῴδης, τῇ",ἐκείνῃ ἦν ὁ Πέτρος κοιμώμενος μεταξὺ δύο στρατιωτῶν δεδεμένος ἁλύσεσιν δυσὶν φύλακές τε
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Acts 18:9,Εἶπεν δὲ ὁ κύριος ἐν,"διʼ ὁράματος τῷ Παύλῳ· μὴ φοβοῦ, ἀλλὰ λάλει καὶ μὴ σιωπήσῃς,"
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Acts 23:11,Τῇ δὲ ἐπιούσῃ,ἐπιστὰς αὐτῷ ὁ κύριος εἶπεν· θάρσει· ὡς γὰρ διεμαρτύρω τὰ περὶ ἐμοῦ εἰς
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,Acts 27:23,παρέστη γάρ μοι ταύτῃ τῇ,"τοῦ θεοῦ, οὗ εἰμι [ἐγὼ] ᾧ καὶ λατρεύω, ἄγγελος"
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,1 Corinthians 11:23,"Ἐγὼ γὰρ παρέλαβον ἀπὸ τοῦ κυρίου, ὃ καὶ παρέδωκα ὑμῖν, ὅτι ὁ κύριος Ἰησοῦς ἐν τῇ",ᾗ παρεδίδετο ἔλαβεν  ἄρτον
νυκτὶ,νύξ,—,—,—,—,feminine,dative,singular,noun,1 Thessalonians 5:2,αὐτοὶ γὰρ ἀκριβῶς οἴδατε ὅτι  ἡμέρα κυρίου ὡς κλέπτης ἐν,οὕτως ἔρχεται.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Matthew 2:14,ὁ δὲ ἐγερθεὶς παρέλαβεν τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ,"καὶ ἀνεχώρησεν εἰς Αἴγυπτον,"
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Matthew 14:25,τετάρτῃ δὲ φυλακῇ τῆς,ἦλθεν πρὸς αὐτοὺς περιπατῶν ἐπὶ τὴν θάλασσαν.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Matthew 28:13,λέγοντες· εἴπατε ὅτι οἱ μαθηταὶ αὐτοῦ,ἐλθόντες ἔκλεψαν αὐτὸν ἡμῶν κοιμωμένων.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Mark 5:5,καὶ διὰ παντὸς,καὶ ἡμέρας ἐν τοῖς μνήμασιν καὶ ἐν τοῖς ὄρεσιν ἦν κράζων καὶ κατακόπτων ἑαυτὸν λίθοις.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Mark 6:48,"καὶ ἰδὼν αὐτοὺς βασανιζομένους ἐν τῷ ἐλαύνειν, ἦν γὰρ ὁ ἄνεμος ἐναντίος αὐτοῖς , περὶ τετάρτην φυλακὴν τῆς",ἔρχεται πρὸς αὐτοὺς περιπατῶν ἐπὶ τῆς θαλάσσης καὶ ἤθελεν παρελθεῖν αὐτούς.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Luke 2:8,Καὶ ποιμένες ἦσαν ἐν τῇ χώρᾳ τῇ αὐτῇ ἀγραυλοῦντες καὶ φυλάσσοντες φυλακὰς τῆς,ἐπὶ τὴν ποίμνην αὐτῶν.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Luke 5:5,"καὶ ἀποκριθεὶς  Σίμων εἶπεν · ἐπιστάτα, διʼ ὅλης",κοπιάσαντες οὐδὲν ἐλάβομεν· ἐπὶ δὲ τῷ ῥήματί σου χαλάσω τὰ δίκτυα.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,John 3:2,οὗτος ἦλθεν πρὸς αὐτὸν,"καὶ εἶπεν αὐτῷ· ῥαββί, οἴδαμεν ὅτι ἀπὸ θεοῦ ἐλήλυθας διδάσκαλος· οὐδεὶς γὰρ δύναται"
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,John 19:39,"ἦλθεν δὲ καὶ Νικόδημος, ὁ ἐλθὼν πρὸς αὐτὸν","τὸ πρῶτον, φέρων μίγμα σμύρνης καὶ ἀλόης ὡς λίτρας ἑκατόν."
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 5:19,Ἄγγελος δὲ κυρίου διὰ,ἀνοίξας τὰς θύρας τῆς φυλακῆς ἐξαγαγών τε αὐτοὺς εἶπεν·
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 9:24,ἐγνώσθη δὲ τῷ Σαύλῳ ἡ ἐπιβουλὴ αὐτῶν. παρετηροῦντο δὲ καὶ τὰς πύλας ἡμέρας τε καὶ,ὅπως αὐτὸν ἀνέλωσιν·
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 9:25,λαβόντες δὲ οἱ μαθηταὶ αὐτοῦ,διὰ τοῦ τείχους καθῆκαν αὐτὸν χαλάσαντες ἐν σπυρίδι.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 16:9,Καὶ ὅραμα διὰ [τῆς],"τῷ Παύλῳ ὤφθη,  ἀνὴρ Μακεδών τις ἦν ἑστὼς καὶ παρακαλῶν αὐτὸν καὶ λέγων"
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 16:33,καὶ παραλαβὼν αὐτοὺς ἐν ἐκείνῃ τῇ ὥρᾳ τῆς,"ἔλουσεν ἀπὸ τῶν πληγῶν, καὶ ἐβαπτίσθη αὐτὸς καὶ οἱ αὐτοῦ πάντες παραχρῆμα,"
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 17:10,Οἱ δὲ ἀδελφοὶ εὐθέως διὰ,"ἐξέπεμψαν τόν τε Παῦλον καὶ τὸν Σιλᾶν εἰς Βέροιαν, οἵτινες παραγενόμενοι εἰς τὴν συναγωγὴν τῶν Ἰουδαίων ἀπῄεσαν."
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 23:31,Οἱ μὲν οὖν στρατιῶται κατὰ τὸ διατεταγμένον αὐτοῖς ἀναλαβόντες τὸν Παῦλον ἤγαγον διὰ,"εἰς τὴν Ἀντιπατρίδα,"
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,Acts 27:27,"Ὡς δὲ τεσσαρεσκαιδεκάτη νὺξ ἐγένετο διαφερομένων ἡμῶν ἐν τῷ Ἀδρίᾳ, κατὰ μέσον τῆς",ὑπενόουν οἱ ναῦται προσάγειν τινὰ αὐτοῖς χώραν.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,1 Thessalonians 2:9,"Μνημονεύετε γάρ, ἀδελφοί, τὸν κόπον ἡμῶν καὶ τὸν μόχθον·",καὶ ἡμέρας ἐργαζόμενοι πρὸς τὸ μὴ ἐπιβαρῆσαί τινα ὑμῶν ἐκηρύξαμεν εἰς ὑμᾶς τὸ εὐαγγέλιον τοῦ θεοῦ.
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,1 Thessalonians 3:10,—,καὶ ἡμέρας ὑπερεκπερισσοῦ δεόμενοι εἰς τὸ ἰδεῖν ὑμῶν τὸ πρόσωπον καὶ καταρτίσαι τὰ ὑστερήματα τῆς πίστεως ὑμῶν;
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,1 Thessalonians 5:5,πάντες γὰρ ὑμεῖς υἱοὶ φωτός ἐστε καὶ υἱοὶ ἡμέρας. Οὐκ ἐσμὲν,οὐδὲ σκότους·
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,1 Thessalonians 5:7,Οἱ γὰρ καθεύδοντες,καθεύδουσιν καὶ οἱ μεθυσκόμενοι νυκτὸς μεθύουσιν·
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,1 Thessalonians 5:7,Οἱ γὰρ καθεύδοντες νυκτὸς καθεύδουσιν καὶ οἱ μεθυσκόμενοι,μεθύουσιν·
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,2 Thessalonians 3:8,"οὐδὲ δωρεὰν ἄρτον ἐφάγομεν παρά τινος, ἀλλʼ ἐν κόπῳ καὶ μόχθῳ",καὶ ἡμέρας ἐργαζόμενοι πρὸς τὸ μὴ ἐπιβαρῆσαί τινα ὑμῶν·
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,1 Timothy 5:5,ἡ δὲ ὄντως χήρα καὶ μεμονωμένη ἤλπικεν ἐπὶ θεὸν καὶ προσμένει ταῖς δεήσεσιν καὶ ταῖς προσευχαῖς,"καὶ ἡμέρας,"
νυκτὸς,νύξ,—,—,—,—,feminine,genitive,singular,noun,2 Timothy 1:3,"συνειδήσει, ὡς ἀδιάλειπτον ἔχω τὴν περὶ σοῦ μνείαν ἐν ταῖς δεήσεσίν μου","καὶ ἡμέρας,"
