Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,Matthew 10:13,καὶ ἐὰν μὲν ᾖ ἡ,"ἀξία, ἐλθάτω ἡ εἰρήνη ὑμῶν ἐπʼ αὐτήν, ἐὰν δὲ μὴ ᾖ ἀξία, ἡ"
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,Matthew 12:25,Εἰδὼς δὲ τὰς ἐνθυμήσεις αὐτῶν εἶπεν αὐτοῖς· πᾶσα βασιλεία μερισθεῖσα καθʼ ἑαυτῆς ἐρημοῦται καὶ πᾶσα πόλις ἢ,μερισθεῖσα καθʼ ἑαυτῆς οὐ σταθήσεται.
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,Mark 3:25,καὶ ἐὰν,"ἐφʼ ἑαυτὴν μερισθῇ, οὐ δυνήσεται ἡ οἰκία ἐκείνη σταθῆναι."
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,Mark 3:25,"καὶ ἐὰν οἰκία ἐφʼ ἑαυτὴν μερισθῇ, οὐ δυνήσεται ἡ",ἐκείνη σταθῆναι.
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,John 4:53,"αὐτῷ ὁ Ἰησοῦς· ὁ υἱός σου ζῇ, καὶ ἐπίστευσεν αὐτὸς καὶ ἡ",αὐτοῦ ὅλη.
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,John 12:3,τοῦ Ἰησοῦ καὶ ἐξέμαξεν ταῖς θριξὶν αὐτῆς τοὺς πόδας αὐτοῦ·  ἡ δὲ,ἐπληρώθη ἐκ τῆς ὀσμῆς τοῦ μύρου.
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,Acts 10:6,"οὗτος ξενίζεται παρά τινι Σίμωνι βυρσεῖ, ᾧ ἐστιν",παρὰ θάλασσαν.
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,Acts 18:7,"καὶ μεταβὰς ἐκεῖθεν εἰσῆλθεν εἰς οἰκίαν τινὸς ὀνόματι Τιτίου Ἰούστου σεβομένου τὸν θεόν, οὗ ἡ",ἦν συνομοροῦσα τῇ συναγωγῇ.
οἰκία,οἰκία,—,—,—,—,feminine,nominative,singular,noun,2 Corinthians 5:1,Οἴδαμεν γὰρ ὅτι ἐὰν ἡ ἐπίγειος ἡμῶν,"τοῦ σκήνους καταλυθῇ, οἰκοδομὴν ἐκ θεοῦ ἔχομεν, οἰκίαν ἀχειροποίητον αἰώνιον ἐν τοῖς οὐρανοῖς."
οἰκίαν,οἰκία,—,—,—,—,feminine,accusative,singular,noun,Matthew 2:11,καὶ ἐλθόντες εἰς τὴν,"εἶδον τὸ παιδίον μετὰ Μαρίας τῆς μητρὸς αὐτοῦ, καὶ πεσόντες προσεκύνησαν αὐτῷ καὶ"
οἰκίαν,οἰκία,—,—,—,—,feminine,accusative,singular,noun,Matthew 7:24,"Πᾶς οὖν ὅστις ἀκούει μου τοὺς λόγους τούτους καὶ ποιεῖ αὐτούς, ὁμοιωθήσεται ἀνδρὶ φρονίμῳ, ὅστις ᾠκοδόμησεν αὐτοῦ τὴν",ἐπὶ τὴν πέτραν·
οἰκίαν,οἰκία,—,—,—,—,feminine,accusative,singular,noun,Matthew 7:26,τούτους καὶ μὴ ποιῶν αὐτοὺς ὁμοιωθήσεται ἀνδρὶ μωρῷ ὅστις ᾠκοδόμησεν αὐτοῦ τὴν,ἐπὶ τὴν ἄμμον·
οἰκίαν,οἰκία,—,—,—,—,feminine,accusative,singular,noun,Matthew 8:14,Καὶ ἐλθὼν ὁ Ἰησοῦς εἰς τὴν,Πέτρου εἶδεν τὴν πενθερὰν αὐτοῦ βεβλημένην καὶ πυρέσσουσαν·
οἰκίαν,οἰκία,—,—,—,—,feminine,accusative,singular,noun,Matthew 9:23,Καὶ ἐλθὼν ὁ Ἰησοῦς εἰς τὴν,τοῦ ἄρχοντος καὶ ἰδὼν τοὺς αὐλητὰς καὶ τὸν ὄχλον θορυβούμενον
οἰκίαν,οἰκία,—,—,—,—,feminine,accusative,singular,noun,Matthew 9:28,ἐλθόντι δὲ εἰς τὴν,"προσῆλθον αὐτῷ οἱ  τυφλοί, καὶ λέγει αὐτοῖς ὁ Ἰησοῦς· πιστεύετε ὅτι δύναμαι τοῦτο"
