Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πέμπει,πέμπω,present,active,indicative,third person,—,—,singular,verb,2 Thessalonians 2:11,καὶ διὰ τοῦτο,"αὐτοῖς ὁ θεὸς ἐνέργειαν πλάνης εἰς τὸ πιστεῦσαι αὐτοὺς τῷ ψεύδει,"
πέμπειν,πέμπω,present,active,infinitive,—,—,—,—,verb,Acts 25:25,"ἐγὼ δὲ κατελαβόμην μηδὲν ἄξιον αὐτὸν θανάτου πεπραχέναι,  αὐτοῦ δὲ τούτου ἐπικαλεσαμένου τὸν Σεβαστὸν ἔκρινα",.
πέμποντα,πέμπω,present,active,participle,—,masculine,accusative,singular,verb,Acts 25:27,ἄλογον γάρ μοι δοκεῖ,δέσμιον μὴ καὶ τὰς κατʼ αὐτοῦ αἰτίας σημᾶναι.
πέμπω,πέμπω,present,active,indicative,first person,—,—,singular,verb,John 20:21,"εἶπεν οὖν αὐτοῖς [ὁ Ἰησοῦς] πάλιν· εἰρήνη ὑμῖν· καθὼς ἀπέσταλκέν με ὁ πατήρ, κἀγὼ",ὑμᾶς.
πέμψαι,πέμπω,aorist,active,infinitive,—,—,—,—,verb,Luke 20:11,καὶ προσέθετο ἕτερον,δοῦλον· οἱ δὲ κἀκεῖνον δείραντες καὶ ἀτιμάσαντες ἐξαπέστειλαν κενόν.
πέμψαι,πέμπω,aorist,active,infinitive,—,—,—,—,verb,Luke 20:12,καὶ προσέθετο τρίτον,· οἱ δὲ καὶ τοῦτον τραυματίσαντες ἐξέβαλον.
πέμψαι,πέμπω,aorist,active,infinitive,—,—,—,—,verb,Acts 11:29,"τῶν δὲ μαθητῶν, καθὼς εὐπορεῖτό τις, ὥρισαν ἕκαστος αὐτῶν εἰς διακονίαν",τοῖς κατοικοῦσιν ἐν τῇ Ἰουδαίᾳ ἀδελφοῖς·
πέμψαι,πέμπω,aorist,active,infinitive,—,—,—,—,verb,Acts 15:22,Τότε ἔδοξεν τοῖς ἀποστόλοις καὶ τοῖς πρεσβυτέροις σὺν ὅλῃ τῇ ἐκκλησίᾳ ἐκλεξαμένους ἄνδρας ἐξ αὐτῶν,"εἰς Ἀντιόχειαν σὺν τῷ Παύλῳ καὶ Βαρναβᾷ, Ἰούδαν τὸν καλούμενον Βαρσαββᾶν καὶ Σιλᾶν"
πέμψαι,πέμπω,aorist,active,infinitive,—,—,—,—,verb,Acts 15:25,ἔδοξεν ἡμῖν γενομένοις ὁμοθυμαδὸν ἐκλεξαμένοις ἄνδρας,"πρὸς ὑμᾶς σὺν τοῖς ἀγαπητοῖς ἡμῶν Βαρναβᾷ καὶ Παύλῳ,"
πέμψαι,πέμπω,aorist,active,infinitive,—,—,—,—,verb,Philippians 2:19,Ἐλπίζω δὲ ἐν κυρίῳ Ἰησοῦ Τιμόθεον ταχέως,"ὑμῖν, ἵνα κἀγὼ εὐψυχῶ γνοὺς τὰ περὶ ὑμῶν."
πέμψαι,πέμπω,aorist,active,infinitive,—,—,—,—,verb,Philippians 2:23,τοῦτον μὲν οὖν ἐλπίζω,ὡς ἂν ἀφίδω τὰ περὶ ἐμὲ ἐξαυτῆς·
πέμψαι,πέμπω,aorist,active,infinitive,—,—,—,—,verb,Philippians 2:25,"συνεργὸν καὶ συστρατιώτην μου, ὑμῶν δὲ ἀπόστολον καὶ λειτουργὸν τῆς χρείας μου,","πρὸς ὑμᾶς,"
πέμψαντά,πέμπω,aorist,active,participle,—,masculine,accusative,singular,verb,John 7:33,Εἶπεν οὖν ὁ Ἰησοῦς· ἔτι χρόνον μικρὸν μεθʼ ὑμῶν εἰμι καὶ ὑπάγω πρὸς τὸν,με.
πέμψαντά,πέμπω,aorist,active,participle,—,masculine,accusative,singular,verb,John 12:44,Ἰησοῦς δὲ ἔκραξεν καὶ εἶπεν· ὁ πιστεύων εἰς ἐμὲ οὐ πιστεύει εἰς ἐμὲ ἀλλʼ εἰς τὸν,"με,"
πέμψαντά,πέμπω,aorist,active,participle,—,masculine,accusative,singular,verb,John 12:45,καὶ ὁ θεωρῶν ἐμὲ θεωρεῖ  τὸν,με.
πέμψαντά,πέμπω,aorist,active,participle,—,masculine,accusative,singular,verb,John 13:20,"ἀμὴν ἀμὴν λέγω ὑμῖν, ὁ λαμβάνων ἄν τινα πέμψω ἐμὲ λαμβάνει, ὁ δὲ ἐμὲ λαμβάνων λαμβάνει  τὸν",με.
πέμψαντά,πέμπω,aorist,active,participle,—,masculine,accusative,singular,verb,John 15:21,"ἀλλὰ ταῦτα πάντα ποιήσουσιν εἰς ὑμᾶς διὰ τὸ ὄνομά μου,  ὅτι οὐκ οἴδασιν τὸν",με.
πέμψαντά,πέμπω,aorist,active,participle,—,masculine,accusative,singular,verb,John 16:5,νῦν δὲ ὑπάγω πρὸς τὸν,"με, καὶ οὐδεὶς ἐξ ὑμῶν ἐρωτᾷ με· ποῦ ὑπάγεις;"
πέμψαντί,πέμπω,aorist,active,participle,—,masculine,dative,singular,verb,John 5:24,Ἀμὴν ἀμὴν λέγω ὑμῖν ὅτι ὁ τὸν λόγον μου ἀκούων καὶ πιστεύων τῷ,"με ἔχει ζωὴν αἰώνιον καὶ εἰς κρίσιν οὐκ ἔρχεται, ἀλλὰ μεταβέβηκεν ἐκ τοῦ θανάτου εἰς τὴν ζωήν."
πέμψαντα,πέμπω,aorist,active,participle,—,masculine,accusative,singular,verb,John 5:23,τὸν πατέρα. ὁ μὴ τιμῶν τὸν υἱὸν οὐ τιμᾷ τὸν πατέρα τὸν,αὐτόν.
πέμψαντες,πέμπω,aorist,active,participle,—,masculine,nominative,plural,verb,Acts 19:31,"τινὲς δὲ καὶ τῶν Ἀσιαρχῶν, ὄντες αὐτῷ φίλοι,",πρὸς αὐτὸν παρεκάλουν μὴ δοῦναι ἑαυτὸν εἰς τὸ θέατρον.
πέμψαντος,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 7:18,ὁ ἀφʼ ἑαυτοῦ λαλῶν τὴν δόξαν τὴν ἰδίαν ζητεῖ· ὁ δὲ ζητῶν τὴν δόξαν τοῦ,αὐτὸν οὗτος ἀληθής ἐστιν καὶ ἀδικία ἐν αὐτῷ οὐκ ἔστιν.
πέμψαντος,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 13:16,"ἀμὴν ἀμὴν λέγω ὑμῖν, οὐκ ἔστιν δοῦλος μείζων τοῦ κυρίου αὐτοῦ οὐδὲ ἀπόστολος μείζων τοῦ",αὐτόν.
πέμψαντός,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 4:34,λέγει αὐτοῖς ὁ Ἰησοῦς· ἐμὸν βρῶμά ἐστιν ἵνα ποιήσω τὸ θέλημα τοῦ,με καὶ τελειώσω αὐτοῦ τὸ ἔργον.
πέμψαντός,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 5:30,"ἐστίν,  ὅτι οὐ ζητῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ",με.
πέμψαντός,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 6:38,ὅτι καταβέβηκα ἀπὸ τοῦ οὐρανοῦ οὐχ ἵνα ποιῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ,με.
πέμψαντός,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 6:39,τοῦτο δέ ἐστιν τὸ θέλημα τοῦ,"με, ἵνα πᾶν ὃ δέδωκέν μοι μὴ ἀπολέσω ἐξ αὐτοῦ, ἀλλʼ ἀναστήσω αὐτὸ [ἐν] τῇ ἐσχάτῃ ἡμέρᾳ."
πέμψαντός,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 7:16,ἀπεκρίθη οὖν αὐτοῖς [ὁ] Ἰησοῦς καὶ εἶπεν· ἡ ἐμὴ διδαχὴ οὐκ ἔστιν ἐμὴ ἀλλὰ τοῦ,με·
πέμψαντός,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 9:4,ἡμᾶς δεῖ ἐργάζεσθαι τὰ ἔργα τοῦ,με ἕως ἡμέρα ἐστίν· ἔρχεται νὺξ ὅτε οὐδεὶς δύναται ἐργάζεσθαι.
πέμψαντός,πέμπω,aorist,active,participle,—,masculine,genitive,singular,verb,John 14:24,οὐ τηρεῖ· καὶ ὁ λόγος  ὃν ἀκούετε οὐκ ἔστιν ἐμὸς ἀλλὰ τοῦ,με πατρός.
πέμψας,πέμπω,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 2:8,καὶ,αὐτοὺς εἰς Βηθλέεμ εἶπεν· πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου· ἐπὰν δὲ εὕρητε
πέμψας,πέμπω,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 11:2,Ὁ δὲ Ἰωάννης ἀκούσας ἐν τῷ δεσμωτηρίῳ τὰ ἔργα τοῦ Χριστοῦ,διὰ τῶν μαθητῶν αὐτοῦ
πέμψας,πέμπω,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 14:10,καὶ,ἀπεκεφάλισεν [τὸν] Ἰωάννην ἐν τῇ φυλακῇ.
πέμψας,πέμπω,aorist,active,participle,—,masculine,nominative,singular,verb,Matthew 22:7,ὁ δὲ βασιλεὺς ὠργίσθη καὶ,τὰ στρατεύματα αὐτοῦ ἀπώλεσεν τοὺς φονεῖς ἐκείνους καὶ τὴν πόλιν αὐτῶν ἐνέπρησεν.
πέμψας,πέμπω,aorist,active,participle,—,masculine,nominative,singular,verb,John 1:33,"κἀγὼ οὐκ ᾔδειν αὐτόν, ἀλλʼ ὁ",με βαπτίζειν ἐν  ὕδατι ἐκεῖνός μοι εἶπεν· ἐφʼ ὃν ἂν ἴδῃς τὸ πνεῦμα
