Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πέπωκαν,πίνω,perfect,active,indicative,third person,—,—,plural,verb,Revelation 18:3,ὅτι ἐκ τοῦ οἴνου τοῦ θυμοῦ τῆς πορνείας αὐτῆς,πάντα τὰ ἔθνη καὶ οἱ βασιλεῖς τῆς γῆς μετʼ αὐτῆς ἐπόρνευσαν καὶ οἱ
πίε,πίνω,aorist,active,imperative,second person,—,—,singular,verb,Luke 12:19,"καὶ ἐρῶ τῇ ψυχῇ μου· ψυχή, ἔχεις πολλὰ ἀγαθὰ κείμενα εἰς ἔτη πολλά· ἀναπαύου, φάγε,",", εὐφραίνου."
πίεσαι,πίνω,future,middle,indicative,second person,—,—,singular,verb,Luke 17:8,"περιζωσάμενος διακόνει μοι ἕως φάγω καὶ πίω, καὶ μετὰ ταῦτα φάγεσαι καὶ",σύ;
πίεσθε,πίνω,future,middle,indicative,second person,—,—,plural,verb,Matthew 20:23,λέγει αὐτοῖς·  τὸ μὲν ποτήριόν μου,", τὸ δὲ καθίσαι ἐκ δεξιῶν μου καὶ ἐξ εὐωνύμων  οὐκ ἔστιν ἐμὸν [τοῦτο"
πίεσθε,πίνω,future,middle,indicative,second person,—,—,plural,verb,Mark 10:39,οἱ δὲ εἶπαν αὐτῷ· δυνάμεθα. ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· τὸ ποτήριον ὃ ἐγὼ πίνω,"καὶ τὸ βάπτισμα ὃ ἐγὼ βαπτίζομαι βαπτισθήσεσθε,"
πίεται,πίνω,future,middle,indicative,third person,—,—,singular,verb,Revelation 14:10,καὶ αὐτὸς,ἐκ τοῦ οἴνου τοῦ θυμοῦ τοῦ θεοῦ τοῦ κεκερασμένου ἀκράτου ἐν τῷ ποτηρίῳ
πίετε,πίνω,aorist,active,imperative,second person,—,—,plural,verb,Matthew 26:27,καὶ λαβὼν  ποτήριον καὶ εὐχαριστήσας ἔδωκεν αὐτοῖς λέγων·,"ἐξ αὐτοῦ πάντες,"
πίητε,πίνω,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 6:25,Διὰ τοῦτο λέγω ὑμῖν· μὴ μεριμνᾶτε τῇ ψυχῇ ὑμῶν τί φάγητε [ἢ τί,"], μηδὲ τῷ σώματι ὑμῶν τί ἐνδύσησθε. οὐχὶ ἡ ψυχὴ πλεῖόν ἐστιν τῆς τροφῆς"
πίητε,πίνω,aorist,active,subjunctive,second person,—,—,plural,verb,Luke 12:29,καὶ ὑμεῖς μὴ ζητεῖτε τί φάγητε καὶ τί,καὶ μὴ μετεωρίζεσθε·
πίητε,πίνω,aorist,active,subjunctive,second person,—,—,plural,verb,John 6:53,"λέγω ὑμῖν, ἐὰν μὴ φάγητε τὴν σάρκα τοῦ υἱοῦ τοῦ ἀνθρώπου καὶ","αὐτοῦ τὸ αἷμα, οὐκ ἔχετε ζωὴν ἐν ἑαυτοῖς."
πίνειν,πίνω,present,active,infinitive,—,—,—,—,verb,Matthew 20:22,ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν· οὐκ οἴδατε τί αἰτεῖσθε. δύνασθε πιεῖν τὸ ποτήριον ὃ ἐγὼ μέλλω,; λέγουσιν αὐτῷ· δυνάμεθα.
πίνειν,πίνω,present,active,infinitive,—,—,—,—,verb,Luke 12:45,"ἔρχεσθαι, καὶ ἄρξηται τύπτειν τοὺς παῖδας καὶ τὰς παιδίσκας, ἐσθίειν τε καὶ","καὶ μεθύσκεσθαι,"
πίνειν,πίνω,present,active,infinitive,—,—,—,—,verb,1 Corinthians 10:21,οὐ δύνασθε ποτήριον κυρίου,"καὶ ποτήριον δαιμονίων, οὐ δύνασθε τραπέζης κυρίου μετέχειν καὶ τραπέζης δαιμονίων."
πίνειν,πίνω,present,active,infinitive,—,—,—,—,verb,1 Corinthians 11:22,μὴ γὰρ οἰκίας οὐκ ἔχετε εἰς τὸ ἐσθίειν καὶ,"; ἢ τῆς ἐκκλησίας τοῦ θεοῦ καταφρονεῖτε, καὶ καταισχύνετε τοὺς μὴ ἔχοντας; τί εἴπω"
πίνει,πίνω,present,active,indicative,third person,—,—,singular,verb,1 Corinthians 11:29,ὁ γὰρ ἐσθίων καὶ πίνων  κρίμα ἑαυτῷ ἐσθίει καὶ,μὴ διακρίνων τὸ σῶμα.
πίνετε,πίνω,present,active,indicative,second person,—,—,plural,verb,1 Corinthians 10:31,Εἴτε οὖν ἐσθίετε εἴτε,"εἴτε τι ποιεῖτε, πάντα εἰς δόξαν θεοῦ ποιεῖτε."
πίνετε,πίνω,present,active,indicative,second person,—,—,plural,verb,Luke 5:30,μαθητὰς αὐτοῦ λέγοντες· διὰ τί μετὰ τῶν τελωνῶν καὶ ἁμαρτωλῶν ἐσθίετε καὶ,;
πίνητε,πίνω,present,active,subjunctive,second person,—,—,plural,verb,1 Corinthians 11:25,"ἡ καινὴ διαθήκη ἐστὶν ἐν τῷ ἐμῷ αἵματι· τοῦτο ποιεῖτε, ὁσάκις ἐὰν",", εἰς τὴν ἐμὴν ἀνάμνησιν."
πίνητε,πίνω,present,active,subjunctive,second person,—,—,plural,verb,1 Corinthians 11:26,ὁσάκις γὰρ ἐὰν ἐσθίητε τὸν ἄρτον τοῦτον καὶ τὸ ποτήριον,", τὸν θάνατον τοῦ κυρίου καταγγέλλετε ἄχρι οὗ ἔλθῃ."
πίνητε,πίνω,present,active,subjunctive,second person,—,—,plural,verb,Luke 22:30,ἵνα ἔσθητε καὶ,"ἐπὶ τῆς τραπέζης μου ἐν τῇ βασιλείᾳ μου,  καὶ καθήσεσθε ἐπὶ  θρόνων τὰς"
πίνοντες,πίνω,present,active,participle,—,masculine,nominative,plural,verb,Matthew 24:38,ὡς γὰρ ἦσαν ἐν ταῖς ἡμέραις [ἐκείναις] ταῖς πρὸ τοῦ κατακλυσμοῦ τρώγοντες καὶ,", γαμοῦντες καὶ γαμίζοντες, ἄχρι ἧς ἡμέρας εἰσῆλθεν Νῶε εἰς τὴν κιβωτόν,"
πίνοντες,πίνω,present,active,participle,—,masculine,nominative,plural,verb,Luke 10:7,ἐν αὐτῇ δὲ τῇ οἰκίᾳ μένετε ἐσθίοντες καὶ,τὰ παρʼ αὐτῶν· ἄξιος γὰρ ὁ ἐργάτης τοῦ μισθοῦ αὐτοῦ. μὴ μεταβαίνετε ἐξ οἰκίας εἰς οἰκίαν.
πίνουσιν,πίνω,present,active,indicative,third person,—,—,plural,verb,Luke 5:33,"δεήσεις ποιοῦνται ὁμοίως καὶ οἱ τῶν Φαρισαίων, οἱ δὲ σοὶ ἐσθίουσιν καὶ",.
πίνω,πίνω,present,active,subjunctive,first person,—,—,singular,verb,Matthew 26:29,ἐκ τούτου τοῦ γενήματος τῆς ἀμπέλου ἕως τῆς ἡμέρας ἐκείνης ὅταν αὐτὸ,μεθʼ ὑμῶν καινὸν ἐν τῇ βασιλείᾳ τοῦ πατρός μου.
πίνω,πίνω,present,active,indicative,first person,—,—,singular,verb,Mark 10:38,ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· οὐκ οἴδατε τί αἰτεῖσθε. δύνασθε πιεῖν τὸ ποτήριον ὃ ἐγὼ,ἢ τὸ βάπτισμα ὃ ἐγὼ βαπτίζομαι βαπτισθῆναι;
πίνω,πίνω,present,active,indicative,first person,—,—,singular,verb,Mark 10:39,οἱ δὲ εἶπαν αὐτῷ· δυνάμεθα. ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· τὸ ποτήριον ὃ ἐγὼ,"πίεσθε καὶ τὸ βάπτισμα ὃ ἐγὼ βαπτίζομαι βαπτισθήσεσθε,"
πίνω,πίνω,present,active,subjunctive,first person,—,—,singular,verb,Mark 14:25,πίω ἐκ τοῦ γενήματος τῆς ἀμπέλου ἕως τῆς ἡμέρας ἐκείνης ὅταν αὐτὸ,καινὸν ἐν τῇ βασιλείᾳ τοῦ θεοῦ.
πίνων,πίνω,present,active,participle,—,masculine,nominative,singular,verb,Matthew 11:19,ἦλθεν ὁ υἱὸς τοῦ ἀνθρώπου ἐσθίων καὶ,", καὶ λέγουσιν· ἰδοὺ ἄνθρωπος φάγος καὶ οἰνοπότης, τελωνῶν φίλος καὶ ἁμαρτωλῶν. καὶ ἐδικαιώθη"
πίνων,πίνω,present,active,participle,—,masculine,nominative,singular,verb,Luke 7:34,ἐλήλυθεν ὁ υἱὸς τοῦ ἀνθρώπου ἐσθίων καὶ,", καὶ λέγετε· ἰδοὺ ἄνθρωπος φάγος καὶ οἰνοπότης, φίλος τελωνῶν καὶ ἁμαρτωλῶν."
πίνων,πίνω,present,active,participle,—,masculine,nominative,singular,verb,John 4:13,ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῇ· πᾶς ὁ,ἐκ τοῦ ὕδατος τούτου διψήσει πάλιν·
πίνων,πίνω,present,active,participle,—,masculine,nominative,singular,verb,John 6:54,ὁ τρώγων μου τὴν σάρκα καὶ,"μου τὸ αἷμα ἔχει ζωὴν αἰώνιον, κἀγὼ ἀναστήσω αὐτὸν  τῇ ἐσχάτῃ ἡμέρᾳ."
πίνων,πίνω,present,active,participle,—,masculine,nominative,singular,verb,John 6:56,ὁ τρώγων μου τὴν σάρκα καὶ,μου τὸ αἷμα ἐν ἐμοὶ μένει κἀγὼ ἐν αὐτῷ.
πίνων,πίνω,present,active,participle,—,masculine,nominative,singular,verb,1 Corinthians 11:29,ὁ γὰρ ἐσθίων καὶ,κρίμα ἑαυτῷ ἐσθίει καὶ πίνει μὴ διακρίνων τὸ σῶμα.
πίνων,πίνω,present,active,participle,—,masculine,nominative,singular,verb,Matthew 11:18,ἦλθεν γὰρ  Ἰωάννης μήτε ἐσθίων μήτε,", καὶ λέγουσιν· δαιμόνιον ἔχει."
πίνων,πίνω,present,active,participle,—,masculine,nominative,singular,verb,Luke 7:33,ἐλήλυθεν γὰρ Ἰωάννης ὁ βαπτιστὴς μὴ ἐσθίων ἄρτον μήτε,"οἶνον, καὶ λέγετε· δαιμόνιον ἔχει."
πίνῃ,πίνω,present,active,subjunctive,third person,—,—,singular,verb,1 Corinthians 11:27,Ὥστε ὃς ἂν ἐσθίῃ τὸν ἄρτον  ἢ,"τὸ ποτήριον τοῦ κυρίου ἀναξίως, ἔνοχος ἔσται τοῦ σώματος καὶ τοῦ αἵματος τοῦ κυρίου."
πίνῃ,πίνω,present,active,subjunctive,third person,—,—,singular,verb,Matthew 24:49,"καὶ ἄρξηται τύπτειν τοὺς συνδούλους αὐτοῦ, ἐσθίῃ δὲ καὶ","μετὰ τῶν μεθυόντων,"
πίω,πίνω,aorist,active,subjunctive,first person,—,—,singular,verb,Matthew 26:29,"λέγω δὲ ὑμῖν,  οὐ μὴ",ἀπʼ ἄρτι ἐκ τούτου τοῦ γενήματος τῆς ἀμπέλου ἕως τῆς ἡμέρας ἐκείνης ὅταν
πίω,πίνω,aorist,active,subjunctive,first person,—,—,singular,verb,Matthew 26:42,"Πάλιν ἐκ δευτέρου ἀπελθὼν προσηύξατο λέγων· πάτερ μου, εἰ οὐ δύναται τοῦτο παρελθεῖν  ἐὰν μὴ αὐτὸ",", γενηθήτω τὸ θέλημά σου."
πίω,πίνω,aorist,active,subjunctive,first person,—,—,singular,verb,Mark 14:25,ἀμὴν λέγω ὑμῖν ὅτι οὐκέτι οὐ μὴ,ἐκ τοῦ γενήματος τῆς ἀμπέλου ἕως τῆς ἡμέρας ἐκείνης ὅταν αὐτὸ πίνω καινὸν
πίω,πίνω,aorist,active,subjunctive,first person,—,—,singular,verb,Luke 22:18,"λέγω γὰρ ὑμῖν, [ὅτι] οὐ μὴ",ἀπὸ τοῦ νῦν ἀπὸ τοῦ γενήματος τῆς ἀμπέλου ἕως οὗ ἡ βασιλεία τοῦ θεοῦ ἔλθῃ.
