Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πέπτωκας,πίπτω,perfect,active,indicative,second person,—,—,singular,verb,Revelation 2:5,μνημόνευε οὖν πόθεν,"καὶ μετανόησον καὶ τὰ πρῶτα ἔργα ποίησον· εἰ δὲ μή, ἔρχομαί σοι  καὶ"
πέσετε,πίπτω,aorist,active,imperative,second person,—,—,plural,verb,Luke 23:30,τότε ἄρξονται λέγειν τοῖς ὄρεσιν·,"ἐφʼ ἡμᾶς, καὶ τοῖς βουνοῖς· καλύψατε ἡμᾶς·"
πέσετε,πίπτω,aorist,active,imperative,second person,—,—,plural,verb,Revelation 6:16,καὶ λέγουσιν τοῖς ὄρεσιν καὶ ταῖς πέτραις·,ἐφʼ ἡμᾶς καὶ κρύψατε ἡμᾶς ἀπὸ προσώπου τοῦ καθημένου ἐπὶ τοῦ θρόνου καὶ
πέσητε,πίπτω,aorist,active,subjunctive,second person,—,—,plural,verb,James 5:12,"ὑμῶν τὸ ναὶ ναὶ καὶ τὸ οὒ οὔ, ἵνα μὴ ὑπὸ κρίσιν",.
πέσωσιν,πίπτω,aorist,active,subjunctive,third person,—,—,plural,verb,Romans 11:11,"Λέγω οὖν, μὴ ἔπταισαν ἵνα",; μὴ γένοιτο· ἀλλὰ τῷ αὐτῶν παραπτώματι ἡ σωτηρία τοῖς ἔθνεσιν εἰς τὸ παραζηλῶσαι αὐτούς.
πέσῃ,πίπτω,aorist,active,subjunctive,third person,—,—,singular,verb,Matthew 21:44,καὶ ὁ πεσὼν ἐπὶ τὸν λίθον τοῦτον συνθλασθήσεται· ἐφʼ ὃν δʼ ἂν,λικμήσει αὐτόν]
πέσῃ,πίπτω,aorist,active,subjunctive,third person,—,—,singular,verb,Luke 20:18,πᾶς ὁ πεσὼν ἐπʼ ἐκεῖνον τὸν λίθον συνθλασθήσεται· ἐφʼ ὃν δʼ ἂν,", λικμήσει αὐτόν."
πέσῃ,πίπτω,aorist,active,subjunctive,third person,—,—,singular,verb,1 Corinthians 10:12,Ὥστε ὁ δοκῶν ἑστάναι βλεπέτω μὴ,.
πέσῃ,πίπτω,aorist,active,subjunctive,third person,—,—,singular,verb,Hebrews 4:11,"Σπουδάσωμεν οὖν εἰσελθεῖν εἰς ἐκείνην τὴν κατάπαυσιν, ἵνα μὴ ἐν τῷ αὐτῷ τις ὑποδείγματι",τῆς ἀπειθείας.
πέσῃ,πίπτω,aorist,active,subjunctive,third person,—,—,singular,verb,Revelation 7:16,οὐ πεινάσουσιν ἔτι οὐδὲ διψήσουσιν ἔτι        οὐδὲ μὴ,"ἐπʼ αὐτοὺς ὁ ἥλιος οὐδὲ πᾶν καῦμα,"
πίπτει,πίπτω,present,active,indicative,third person,—,—,singular,verb,Matthew 17:15,"καὶ λέγων· κύριε, ἐλέησόν μου τὸν υἱόν, ὅτι σεληνιάζεται καὶ κακῶς πάσχει· πολλάκις γὰρ",εἰς τὸ πῦρ καὶ πολλάκις εἰς τὸ ὕδωρ.
πίπτει,πίπτω,present,active,indicative,third person,—,—,singular,verb,Mark 5:22,"Καὶ  ἔρχεται εἷς τῶν ἀρχισυναγώγων, ὀνόματι Ἰάϊρος, καὶ ἰδὼν αὐτὸν",πρὸς τοὺς πόδας αὐτοῦ
πίπτει,πίπτω,present,active,indicative,third person,—,—,singular,verb,Luke 11:17,αὐτὸς δὲ εἰδὼς αὐτῶν τὰ διανοήματα εἶπεν αὐτοῖς· πᾶσα βασιλεία ἐφʼ ἑαυτὴν διαμερισθεῖσα ἐρημοῦται καὶ οἶκος ἐπὶ οἶκον,.
πίπτει,πίπτω,present,active,indicative,third person,—,—,singular,verb,Romans 14:4,σὺ τίς εἶ ὁ κρίνων ἀλλότριον οἰκέτην; τῷ ἰδίῳ κυρίῳ στήκει ἢ,"· σταθήσεται δέ, δυνατεῖ γὰρ ὁ κύριος στῆσαι αὐτόν."
πίπτει,πίπτω,present,active,indicative,third person,—,—,singular,verb,1 Corinthians 13:8,Ἡ ἀγάπη οὐδέποτε,"· εἴτε δὲ προφητεῖαι, καταργηθήσονται· εἴτε γλῶσσαι, παύσονται· εἴτε γνῶσις, καταργηθήσεται."
πίπτοντες,πίπτω,present,active,participle,—,masculine,nominative,plural,verb,Mark 13:25,καὶ οἱ ἀστέρες ἔσονται ἐκ τοῦ οὐρανοῦ,",           καὶ αἱ δυνάμεις αἱ ἐν τοῖς οὐρανοῖς σαλευθήσονται."
πεπτωκυῖαν,πίπτω,perfect,active,participle,—,feminine,accusative,singular,verb,Acts 15:16,μετὰ ταῦτα ἀναστρέψω        καὶ ἀνοικοδομήσω τὴν σκηνὴν Δαυὶδ τὴν,"καὶ τὰ κατεσκαμμένα αὐτῆς ἀνοικοδομήσω        καὶ ἀνορθώσω αὐτήν,"
πεπτωκότα,πίπτω,perfect,active,participle,—,masculine,accusative,singular,verb,Revelation 9:1,Καὶ ὁ πέμπτος ἄγγελος ἐσάλπισεν· καὶ εἶδον ἀστέρα ἐκ τοῦ οὐρανοῦ,"εἰς τὴν γῆν, καὶ ἐδόθη αὐτῷ ἡ κλεὶς τοῦ φρέατος τῆς ἀβύσσου"
πεσεῖν,πίπτω,aorist,active,infinitive,—,—,—,—,verb,Luke 16:17,εὐκοπώτερον δέ ἐστιν τὸν οὐρανὸν καὶ τὴν γῆν παρελθεῖν ἢ τοῦ νόμου μίαν κεραίαν,.
πεσεῖται,πίπτω,future,middle,indicative,third person,—,—,singular,verb,Matthew 10:29,οὐχὶ δύο στρουθία ἀσσαρίου πωλεῖται; καὶ ἓν ἐξ αὐτῶν οὐ,ἐπὶ τὴν γῆν ἄνευ τοῦ πατρὸς ὑμῶν.
πεσεῖται,πίπτω,future,middle,indicative,third person,—,—,singular,verb,Luke 14:5,καὶ  πρὸς αὐτοὺς εἶπεν· τίνος ὑμῶν υἱὸς ἢ βοῦς εἰς φρέαρ,", καὶ οὐκ εὐθέως ἀνασπάσει αὐτὸν ἐν ἡμέρᾳ τοῦ σαββάτου;"
πεσοῦνται,πίπτω,future,either middle or passive,indicative,third person,—,—,plural,verb,Matthew 15:14,"ἄφετε αὐτούς· τυφλοί εἰσιν ὁδηγοὶ [τυφλῶν]· τυφλὸς δὲ τυφλὸν ἐὰν ὁδηγῇ, ἀμφότεροι εἰς βόθυνον",.
πεσοῦνται,πίπτω,future,either middle or passive,indicative,third person,—,—,plural,verb,Matthew 24:29,"σκοτισθήσεται,           καὶ ἡ σελήνη οὐ δώσει τὸ φέγγος αὐτῆς,        καὶ οἱ ἀστέρες","ἀπὸ τοῦ οὐρανοῦ,           καὶ αἱ δυνάμεις τῶν οὐρανῶν σαλευθήσονται."
πεσοῦνται,πίπτω,future,either middle or passive,indicative,third person,—,—,plural,verb,Luke 21:24,καὶ,"στόματι μαχαίρης καὶ αἰχμαλωτισθήσονται εἰς τὰ ἔθνη πάντα, καὶ Ἰερουσαλὴμ ἔσται πατουμένη ὑπὸ"
πεσοῦνται,πίπτω,future,either middle or passive,indicative,third person,—,—,plural,verb,Revelation 4:10,—,οἱ εἴκοσι τέσσαρες πρεσβύτεροι ἐνώπιον τοῦ καθημένου ἐπὶ τοῦ θρόνου καὶ προσκυνήσουσιν τῷ
πεσόν,πίπτω,aorist,active,participle,—,neuter,nominative,singular,verb,Luke 8:14,τὸ δὲ εἰς τὰς ἀκάνθας,", οὗτοί εἰσιν οἱ  ἀκούσαντες, καὶ ὑπὸ μεριμνῶν καὶ πλούτου καὶ ἡδονῶν τοῦ βίου"
