Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐπίστευσας,πιστεύω,aorist,active,indicative,second person,—,—,singular,Matthew 8:13,"καὶ εἶπεν ὁ Ἰησοῦς τῷ ἑκατοντάρχῃ· ὕπαγε,  ὡς",γενηθήτω σοι. καὶ ἰάθη ὁ παῖς [αὐτοῦ] ἐν τῇ ὥρᾳ ἐκείνῃ.
πιστεύετε,πιστεύω,present,active,"indicative, imperative",second person,—,—,plural,Matthew 9:28,"ἐλθόντι δὲ εἰς τὴν οἰκίαν προσῆλθον αὐτῷ οἱ  τυφλοί, καὶ λέγει αὐτοῖς ὁ Ἰησοῦς·",ὅτι δύναμαι τοῦτο ποιῆσαι; λέγουσιν αὐτῷ· ναὶ κύριε.
πιστευόντων,πιστεύω,present,active,participle,—,masculine,genitive,plural,Matthew 18:6,Ὃς δʼ ἂν σκανδαλίσῃ ἕνα τῶν μικρῶν τούτων τῶν,"εἰς ἐμέ, συμφέρει αὐτῷ ἵνα κρεμασθῇ μύλος ὀνικὸς περὶ τὸν τράχηλον αὐτοῦ καὶ"
πιστεύοντες,πιστεύω,present,active,participle,—,masculine,nominative,plural,Matthew 21:22,καὶ πάντα ὅσα ἂν αἰτήσητε ἐν τῇ προσευχῇ,λήμψεσθε.
ἐπιστεύσατε,πιστεύω,aorist,active,indicative,second person,—,—,plural,Matthew 21:25,"ἑαυτοῖς λέγοντες· ἐὰν εἴπωμεν· ἐξ οὐρανοῦ, ἐρεῖ ἡμῖν· διὰ τί οὖν οὐκ",αὐτῷ;
ἐπιστεύσατε,πιστεύω,aorist,active,indicative,second person,—,—,plural,Matthew 21:32,"ἦλθεν γὰρ Ἰωάννης πρὸς ὑμᾶς ἐν ὁδῷ δικαιοσύνης, καὶ οὐκ","αὐτῷ, οἱ δὲ τελῶναι καὶ αἱ πόρναι ἐπίστευσαν αὐτῷ· ὑμεῖς δὲ ἰδόντες οὐδὲ"
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,Matthew 21:32,"ἦλθεν γὰρ Ἰωάννης πρὸς ὑμᾶς ἐν ὁδῷ δικαιοσύνης, καὶ οὐκ ἐπιστεύσατε αὐτῷ, οἱ δὲ τελῶναι καὶ αἱ πόρναι",αὐτῷ· ὑμεῖς δὲ ἰδόντες οὐδὲ μετεμελήθητε ὕστερον τοῦ πιστεῦσαι αὐτῷ.
πιστεῦσαι,πιστεύω,aorist,active,infinitive,—,—,—,—,Matthew 21:32,καὶ αἱ πόρναι ἐπίστευσαν αὐτῷ· ὑμεῖς δὲ ἰδόντες οὐδὲ μετεμελήθητε ὕστερον τοῦ,αὐτῷ.
πιστεύσητε,πιστεύω,aorist,active,subjunctive,second person,—,—,plural,Matthew 24:23,"Τότε ἐάν τις ὑμῖν εἴπῃ· ἰδοὺ ὧδε ὁ χριστός, ἤ· ὧδε, μὴ",·
πιστεύσητε,πιστεύω,aorist,active,subjunctive,second person,—,—,plural,Matthew 24:26,"ἐὰν οὖν εἴπωσιν ὑμῖν· ἰδοὺ ἐν τῇ ἐρήμῳ ἐστίν, μὴ ἐξέλθητε· ἰδοὺ ἐν τοῖς ταμείοις, μὴ",·
πιστεύσομεν,πιστεύω,future,active,indicative,first person,—,—,plural,Matthew 27:42,"ἄλλους ἔσωσεν, ἑαυτὸν οὐ δύναται σῶσαι*· βασιλεὺς Ἰσραήλ ἐστιν, καταβάτω νῦν ἀπὸ τοῦ σταυροῦ καὶ",ἐπʼ αὐτόν.
πιστεύετε,πιστεύω,present,active,imperative,second person,—,—,plural,Mark 1:15,καὶ λέγων ὅτι πεπλήρωται ὁ καιρὸς καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε καὶ,ἐν τῷ εὐαγγελίῳ.
πίστευε,πιστεύω,present,active,imperative,second person,—,—,singular,Mark 5:36,"ὁ δὲ Ἰησοῦς παρακούσας τὸν λόγον λαλούμενον λέγει τῷ ἀρχισυναγώγῳ· μὴ φοβοῦ, μόνον",.
πιστεύοντι,πιστεύω,present,active,participle,—,masculine,dative,singular,Mark 9:23,"ὁ δὲ Ἰησοῦς εἶπεν αὐτῷ· τὸ εἰ δύνῃ, πάντα δυνατὰ τῷ",.
πιστεύω,πιστεύω,present,active,indicative,first person,—,—,singular,Mark 9:24,εὐθὺς κράξας ὁ πατὴρ τοῦ παιδίου  ἔλεγεν·,· βοήθει μου τῇ ἀπιστίᾳ.
