Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Πιστὸς,πιστός,—,—,—,—,masculine,nominative,singular,adjective,2 Thessalonians 3:3,—,"δέ ἐστιν ὁ κύριος, ὃς στηρίξει ὑμᾶς καὶ φυλάξει ἀπὸ τοῦ πονηροῦ."
Πιστὸς,πιστός,—,—,—,—,masculine,nominative,singular,adjective,Titus 3:8,—,"ὁ λόγος· καὶ περὶ τούτων βούλομαί σε διαβεβαιοῦσθαι, ἵνα φροντίζωσιν καλῶν ἔργων προΐστασθαι"
πιστά,πιστός,—,—,—,—,neuter,accusative,plural,adjective,Acts 13:34,"ὑποστρέφειν εἰς διαφθοράν, οὕτως εἴρηκεν ὅτι δώσω ὑμῖν τὰ ὅσια Δαυὶδ τὰ",.
πιστά,πιστός,—,—,—,—,neuter,accusative,plural,adjective,Titus 1:6,"εἴ τίς ἐστιν ἀνέγκλητος, μιᾶς γυναικὸς ἀνήρ, τέκνα ἔχων",", μὴ ἐν κατηγορίᾳ ἀσωτίας ἢ ἀνυπότακτα."
πιστέ,πιστός,—,—,—,—,masculine,vocative,singular,adjective,Matthew 25:21,"ἔφη  αὐτῷ ὁ κύριος αὐτοῦ· εὖ, δοῦλε ἀγαθὲ καὶ",", ἐπὶ ὀλίγα ἦς πιστός, ἐπὶ πολλῶν σε καταστήσω· εἴσελθε εἰς τὴν χαρὰν τοῦ κυρίου σου."
πιστέ,πιστός,—,—,—,—,masculine,vocative,singular,adjective,Matthew 25:23,"ἔφη αὐτῷ ὁ κύριος αὐτοῦ· εὖ, δοῦλε ἀγαθὲ καὶ",", ἐπὶ ὀλίγα ἦς πιστός, ἐπὶ πολλῶν σε καταστήσω· εἴσελθε εἰς τὴν χαρὰν τοῦ κυρίου σου."
πιστοί,πιστός,—,—,—,—,"masculine, feminine",nominative,plural,adjective,1 Timothy 6:2,"οἱ δὲ πιστοὺς ἔχοντες δεσπότας μὴ καταφρονείτωσαν, ὅτι ἀδελφοί εἰσιν, ἀλλὰ μᾶλλον δουλευέτωσαν, ὅτι",εἰσιν καὶ ἀγαπητοὶ οἱ τῆς εὐεργεσίας ἀντιλαμβανόμενοι.   Ταῦτα δίδασκε καὶ παρακάλει.
πιστοί,πιστός,—,—,—,—,"masculine, feminine",nominative,plural,adjective,Revelation 17:14,ἐστὶν καὶ βασιλεὺς βασιλέων καὶ οἱ μετʼ αὐτοῦ κλητοὶ καὶ ἐκλεκτοὶ καὶ,.
πιστοὶ,πιστός,—,—,—,—,"masculine, feminine",nominative,plural,adjective,Luke 16:11,εἰ οὖν ἐν τῷ ἀδίκῳ μαμωνᾷ,"οὐκ ἐγένεσθε, τὸ ἀληθινὸν τίς ὑμῖν πιστεύσει;"
πιστοὶ,πιστός,—,—,—,—,"masculine, feminine",nominative,plural,adjective,Luke 16:12,καὶ εἰ ἐν τῷ ἀλλοτρίῳ,"οὐκ ἐγένεσθε, τὸ ὑμέτερον τίς ὑμῖν δώσει;"
