Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
πληρωθῇ,πληρόω,aorist,passive,subjunctive,third person,—,—,singular,verb,Matthew 1:22,τοῦτο δὲ ὅλον γέγονεν ἵνα,τὸ ῥηθὲν ὑπὸ  κυρίου διὰ  τοῦ προφήτου λέγοντος·
πληρωθῇ,πληρόω,aorist,passive,subjunctive,third person,—,—,singular,verb,Matthew 2:15,καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου· ἵνα,τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος·        ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου.
ἐπληρώθη,πληρόω,aorist,passive,indicative,third person,—,—,singular,verb,Matthew 2:17,τότε,τὸ ῥηθὲν  διὰ Ἰερεμίου τοῦ προφήτου λέγοντος·
πληρωθῇ,πληρόω,aorist,passive,subjunctive,third person,—,—,singular,verb,Matthew 2:23,καὶ ἐλθὼν κατῴκησεν εἰς πόλιν λεγομένην Ναζαρέτ· ὅπως,τὸ ῥηθὲν διὰ τῶν προφητῶν ὅτι Ναζωραῖος κληθήσεται.
πληρῶσαι,πληρόω,aorist,active,infinitive,—,—,—,—,verb,Matthew 3:15,"ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν πρὸς αὐτόν· ἄφες ἄρτι, οὕτως γὰρ πρέπον ἐστὶν ἡμῖν",πᾶσαν δικαιοσύνην. τότε ἀφίησιν αὐτόν.
πληρωθῇ,πληρόω,aorist,passive,subjunctive,third person,—,—,singular,verb,Matthew 4:14,ἵνα,τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·
πληρῶσαι,πληρόω,aorist,active,infinitive,—,—,—,—,verb,Matthew 5:17,Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον ἢ τοὺς προφήτας· οὐκ ἦλθον καταλῦσαι ἀλλὰ,.
πληρωθῇ,πληρόω,aorist,passive,subjunctive,third person,—,—,singular,verb,Matthew 8:17,ὅπως,τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·        αὐτὸς τὰς ἀσθενείας ἡμῶν ἔλαβεν        καὶ τὰς νόσους ἐβάστασεν.
πληρωθῇ,πληρόω,aorist,passive,subjunctive,third person,—,—,singular,verb,Matthew 12:17,ἵνα,τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·
πληρωθῇ,πληρόω,aorist,passive,subjunctive,third person,—,—,singular,verb,Matthew 13:35,ὅπως,"τὸ ῥηθὲν διὰ  τοῦ προφήτου λέγοντος·        ἀνοίξω ἐν παραβολαῖς τὸ στόμα μου,           ἐρεύξομαι κεκρυμμένα ἀπὸ καταβολῆς [κόσμου]."
