Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐπορεύοντο,πορεύομαι,imperfect,either middle or passive,indicative,third person,plural,Luke 2:3,καὶ,"πάντες ἀπογράφεσθαι, ἕκαστος εἰς τὴν ἑαυτοῦ πόλιν."
ἐπορεύοντο,πορεύομαι,imperfect,either middle or passive,indicative,third person,plural,Luke 2:41,Καὶ,οἱ γονεῖς αὐτοῦ κατʼ ἔτος εἰς Ἰερουσαλὴμ τῇ ἑορτῇ τοῦ πάσχα.
ἐπορεύοντο,πορεύομαι,imperfect,either middle or passive,indicative,third person,plural,Luke 24:28,Καὶ ἤγγισαν εἰς τὴν κώμην οὗ,", καὶ αὐτὸς προσεποιήσατο πορρώτερον πορεύεσθαι."
ἐπορεύοντο,πορεύομαι,imperfect,either middle or passive,indicative,third person,plural,Acts 5:41,Οἱ μὲν οὖν,"χαίροντες ἀπὸ προσώπου τοῦ συνεδρίου, ὅτι κατηξιώθησαν ὑπὲρ τοῦ ὀνόματος  ἀτιμασθῆναι,"
ἐπορεύοντο,πορεύομαι,imperfect,either middle or passive,indicative,third person,plural,Acts 8:36,ὡς δὲ,"κατὰ τὴν ὁδόν, ἦλθον ἐπί τι ὕδωρ, καί φησιν ὁ εὐνοῦχος· ἰδοὺ ὕδωρ, τί κωλύει με βαπτισθῆναι;"
ἐπορεύθησαν,πορεύομαι,aorist,passive,indicative,third person,plural,Matthew 2:9,Οἱ δὲ ἀκούσαντες τοῦ βασιλέως,"καὶ ἰδοὺ ὁ ἀστήρ, ὃν εἶδον ἐν τῇ ἀνατολῇ, προῆγεν αὐτούς, ἕως ἐλθὼν"
ἐπορεύθησαν,πορεύομαι,aorist,passive,indicative,third person,plural,Matthew 28:16,Οἱ δὲ ἕνδεκα μαθηταὶ,"εἰς τὴν Γαλιλαίαν εἰς τὸ ὄρος οὗ ἐτάξατο αὐτοῖς ὁ Ἰησοῦς,"
ἐπορεύθησαν,πορεύομαι,aorist,passive,indicative,third person,plural,Luke 9:56,καὶ,εἰς ἑτέραν κώμην.
ἐπορεύθησαν,πορεύομαι,aorist,passive,indicative,third person,plural,John 7:53,Καὶ,"ἕκαστος εἰς τὸν οἶκον αὐτοῦ,"
ἐπορεύθησαν,πορεύομαι,aorist,passive,indicative,third person,plural,Jude 11,"οὐαὶ αὐτοῖς, ὅτι τῇ ὁδῷ τοῦ Κάϊν",καὶ τῇ πλάνῃ τοῦ Βαλαὰμ μισθοῦ ἐξεχύθησαν καὶ τῇ ἀντιλογίᾳ τοῦ Κόρε ἀπώλοντο.
