Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ποδὸς,πούς,—,—,—,—,masculine,genitive,singular,noun,Acts 7:5,καὶ οὐκ ἔδωκεν αὐτῷ κληρονομίαν ἐν αὐτῇ οὐδὲ βῆμα,"καὶ ἐπηγγείλατο δοῦναι αὐτῷ εἰς κατάσχεσιν αὐτὴν καὶ τῷ σπέρματι αὐτοῦ μετʼ αὐτόν, οὐκ ὄντος αὐτῷ τέκνου."
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Matthew 5:35,"μήτε ἐν τῇ γῇ, ὅτι ὑποπόδιόν ἐστιν τῶν","αὐτοῦ, μήτε εἰς Ἱεροσόλυμα, ὅτι πόλις ἐστὶν τοῦ μεγάλου βασιλέως,"
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Matthew 10:14,ἐξερχόμενοι ἔξω τῆς οἰκίας ἢ τῆς πόλεως  ἐκείνης ἐκτινάξατε τὸν κονιορτὸν  τῶν,ὑμῶν.
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Matthew 22:44,"εἶπεν  κύριος τῷ κυρίῳ μου·           κάθου ἐκ δεξιῶν μου,        ἕως ἂν θῶ τοὺς ἐχθρούς σου           ὑποκάτω τῶν",σου;
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Mark 6:11,"καὶ ὃς ἂν τόπος μὴ δέξηται ὑμᾶς μηδὲ ἀκούσωσιν ὑμῶν, ἐκπορευόμενοι ἐκεῖθεν ἐκτινάξατε τὸν χοῦν τὸν ὑποκάτω τῶν",ὑμῶν εἰς μαρτύριον αὐτοῖς.
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Luke 9:5,"καὶ ὅσοι ἂν μὴ δέχωνται ὑμᾶς, ἐξερχόμενοι ἀπὸ τῆς πόλεως ἐκείνης  τὸν κονιορτὸν ἀπὸ τῶν",ὑμῶν ἀποτινάσσετε εἰς μαρτύριον ἐπʼ αὐτούς.
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Acts 7:33,εἶπεν δὲ αὐτῷ ὁ κύριος· λῦσον τὸ ὑπόδημα τῶν,"σου, ὁ γὰρ τόπος ἐφʼ ᾧ ἕστηκας γῆ ἁγία ἐστίν."
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Acts 7:49,"ὁ οὐρανός μοι θρόνος,           ἡ δὲ γῆ ὑποπόδιον τῶν","μου        ποῖον οἶκον οἰκοδομήσετέ μοι, λέγει κύριος,           ἢ τίς τόπος τῆς καταπαύσεώς μου;"
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Acts 13:25,ἀλλʼ ἰδοὺ ἔρχεται μετʼ ἐμὲ οὗ οὐκ εἰμὶ ἄξιος τὸ ὑπόδημα τῶν,λῦσαι.
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Acts 13:51,οἱ δὲ ἐκτιναξάμενοι τὸν κονιορτὸν τῶν,"ἐπʼ αὐτοὺς ἦλθον εἰς Ἰκόνιον,"
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Hebrews 2:8,πάντα ὑπέταξας ὑποκάτω τῶν,αὐτοῦ.  ἐν τῷ γὰρ ὑποτάξαι [αὐτῷ] τὰ πάντα οὐδὲν ἀφῆκεν αὐτῷ ἀνυπότακτον. Νῦν
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Revelation 3:9,εἰσὶν ἀλλὰ ψεύδονται. ἰδοὺ ποιήσω αὐτοὺς ἵνα ἥξουσιν καὶ προσκυνήσουσιν ἐνώπιον τῶν,σου καὶ γνῶσιν ὅτι ἐγὼ ἠγάπησά σε.
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Revelation 12:1,"Καὶ σημεῖον μέγα ὤφθη ἐν τῷ οὐρανῷ, γυνὴ περιβεβλημένη τὸν ἥλιον, καὶ ἡ σελήνη ὑποκάτω τῶν","αὐτῆς καὶ ἐπὶ τῆς κεφαλῆς αὐτῆς στέφανος ἀστέρων δώδεκα,"
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Revelation 19:10,καὶ ἔπεσα ἔμπροσθεν τῶν,αὐτοῦ προσκυνῆσαι αὐτῷ. καὶ λέγει μοι· ὅρα μή· σύνδουλός σού εἰμι καὶ τῶν
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Revelation 22:8,"Κἀγὼ Ἰωάννης ὁ ἀκούων καὶ βλέπων ταῦτα. καὶ ὅτε ἤκουσα καὶ ἔβλεψα, ἔπεσα προσκυνῆσαι ἔμπροσθεν τῶν",τοῦ ἀγγέλου τοῦ δεικνύοντός μοι ταῦτα.
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Mark 12:36,"κάθου ἐκ δεξιῶν μου,      ἕως ἂν θῶ τοὺς ἐχθρούς σου        ὑποκάτω τῶν",σου.
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Luke 20:43,ἕως ἂν θῶ τοὺς ἐχθρούς σου           ὑποπόδιον τῶν,σου.
ποδῶν,πούς,—,—,—,—,masculine,genitive,plural,noun,Acts 2:35,ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν,σου.
