Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,Luke 6:23,μισθὸς ὑμῶν πολὺς ἐν τῷ οὐρανῷ· κατὰ τὰ αὐτὰ γὰρ ἐποίουν τοῖς,οἱ πατέρες αὐτῶν.
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,John 6:45,ἔστιν γεγραμμένον ἐν τοῖς,· καὶ ἔσονται πάντες διδακτοὶ θεοῦ· πᾶς  ὁ ἀκούσας παρὰ τοῦ πατρὸς καὶ μαθὼν ἔρχεται πρὸς ἐμέ.
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,Acts 13:40,βλέπετε οὖν μὴ ἐπέλθῃ  τὸ εἰρημένον ἐν τοῖς,·
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,Acts 24:14,πατρῴῳ θεῷ πιστεύων πᾶσιν τοῖς κατὰ τὸν νόμον καὶ τοῖς ἐν τοῖς,"γεγραμμένοις,"
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,Acts 26:27,"πιστεύεις, βασιλεῦ Ἀγρίππα, τοῖς",; οἶδα ὅτι πιστεύεις.
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,1 Corinthians 14:32,καὶ πνεύματα προφητῶν,"ὑποτάσσεται,"
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,Ephesians 3:5,ὃ ἑτέραις γενεαῖς οὐκ ἐγνωρίσθη τοῖς υἱοῖς τῶν ἀνθρώπων ὡς νῦν ἀπεκαλύφθη τοῖς ἁγίοις ἀποστόλοις αὐτοῦ καὶ,"ἐν πνεύματι,"
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,Hebrews 1:1,Πολυμερῶς καὶ πολυτρόπως πάλαι ὁ θεὸς λαλήσας τοῖς πατράσιν  ἐν τοῖς,""
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,Revelation 11:18,καιρὸς τῶν νεκρῶν κριθῆναι      καὶ δοῦναι τὸν μισθὸν τοῖς δούλοις σου τοῖς,"καὶ τοῖς ἁγίοις καὶ τοῖς φοβουμένοις τὸ ὄνομά σου,        τοὺς μικροὺς καὶ τοὺς"
προφήταις,προφήτης,—,—,—,—,masculine,dative,plural,noun,Luke 24:44,ὅτι δεῖ πληρωθῆναι πάντα τὰ γεγραμμένα ἐν τῷ νόμῳ Μωϋσέως καὶ τοῖς,καὶ ψαλμοῖς περὶ ἐμοῦ.
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Matthew 5:12,"χαίρετε καὶ ἀγαλλιᾶσθε, ὅτι ὁ μισθὸς ὑμῶν πολὺς ἐν τοῖς οὐρανοῖς· οὕτως γὰρ ἐδίωξαν τοὺς",τοὺς πρὸ ὑμῶν.
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Matthew 23:31,ὥστε μαρτυρεῖτε ἑαυτοῖς ὅτι υἱοί ἐστε τῶν φονευσάντων τοὺς,.
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Matthew 23:34,Διὰ τοῦτο ἰδοὺ ἐγὼ ἀποστέλλω πρὸς ὑμᾶς,καὶ σοφοὺς καὶ γραμματεῖς·  ἐξ αὐτῶν ἀποκτενεῖτε καὶ σταυρώσετε καὶ ἐξ αὐτῶν μαστιγώσετε
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Matthew 23:37,"Ἰερουσαλὴμ Ἰερουσαλήμ, ἡ ἀποκτείνουσα τοὺς","καὶ λιθοβολοῦσα τοὺς ἀπεσταλμένους πρὸς αὐτήν, ποσάκις ἠθέλησα ἐπισυναγαγεῖν τὰ τέκνα σου, ὃν"
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Luke 11:49,διὰ τοῦτο καὶ ἡ σοφία τοῦ θεοῦ εἶπεν· ἀποστελῶ εἰς αὐτοὺς,"καὶ ἀποστόλους, καὶ ἐξ αὐτῶν ἀποκτενοῦσιν καὶ διώξουσιν,"
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Luke 13:28,"τῶν ὀδόντων, ὅταν ὄψησθε Ἀβραὰμ καὶ Ἰσαὰκ καὶ Ἰακὼβ καὶ πάντας τοὺς","ἐν τῇ βασιλείᾳ τοῦ θεοῦ, ὑμᾶς δὲ ἐκβαλλομένους ἔξω."
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Luke 13:34,"Ἰερουσαλὴμ Ἰερουσαλήμ, ἡ ἀποκτείνουσα τοὺς","καὶ λιθοβολοῦσα τοὺς ἀπεσταλμένους πρὸς αὐτήν, ποσάκις ἠθέλησα ἐπισυνάξαι τὰ τέκνα σου ὃν"
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Romans 11:3,"κύριε, τοὺς","σου ἀπέκτειναν, τὰ θυσιαστήριά σου κατέσκαψαν, κἀγὼ ὑπελείφθην μόνος καὶ ζητοῦσιν τὴν ψυχήν μου."
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,1 Corinthians 12:28,"Καὶ οὓς μὲν ἔθετο ὁ θεὸς ἐν τῇ ἐκκλησίᾳ πρῶτον ἀποστόλους, δεύτερον",", τρίτον διδασκάλους, ἔπειτα δυνάμεις, ἔπειτα χαρίσματα ἰαμάτων, ἀντιλήμψεις, κυβερνήσεις, γένη γλωσσῶν."
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Ephesians 4:11,"Καὶ αὐτὸς ἔδωκεν τοὺς μὲν ἀποστόλους, τοὺς δὲ",", τοὺς δὲ εὐαγγελιστάς, τοὺς δὲ ποιμένας καὶ διδασκάλους,"
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,1 Thessalonians 2:15,τῶν καὶ τὸν κύριον ἀποκτεινάντων Ἰησοῦν καὶ τοὺς,"καὶ ἡμᾶς ἐκδιωξάντων καὶ θεῷ μὴ ἀρεσκόντων καὶ πᾶσιν ἀνθρώποις ἐναντίων,"
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,James 5:10,"ὑπόδειγμα λάβετε, ἀδελφοί, τῆς κακοπαθείας καὶ τῆς μακροθυμίας  τοὺς",οἳ ἐλάλησαν ἐν τῷ ὀνόματι κυρίου.
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Revelation 10:7,"καὶ ἐτελέσθη τὸ μυστήριον τοῦ θεοῦ, ὡς εὐηγγέλισεν τοὺς ἑαυτοῦ δούλους τοὺς",.  Καὶ
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Matthew 5:17,Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον ἢ τοὺς,· οὐκ ἦλθον καταλῦσαι ἀλλὰ πληρῶσαι.
προφήτας,προφήτης,—,—,—,—,masculine,accusative,plural,noun,Luke 16:29,λέγει δὲ  Ἀβραάμ· ἔχουσιν Μωϋσέα καὶ τοὺς,· ἀκουσάτωσαν αὐτῶν.
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Matthew 10:41,ὁ δεχόμενος,"εἰς ὄνομα προφήτου μισθὸν προφήτου λήμψεται, καὶ ὁ δεχόμενος δίκαιον εἰς ὄνομα δικαίου μισθὸν δικαίου λήμψεται."
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Matthew 11:9,ἀλλὰ τί ἐξήλθατε ἰδεῖν;,"; ναὶ λέγω ὑμῖν, καὶ περισσότερον προφήτου."
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Matthew 14:5,"καὶ θέλων αὐτὸν ἀποκτεῖναι ἐφοβήθη τὸν ὄχλον, ὅτι ὡς",αὐτὸν εἶχον.
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Matthew 21:26,"ἐὰν δὲ εἴπωμεν· ἐξ ἀνθρώπων, φοβούμεθα τὸν ὄχλον, πάντες γὰρ ὡς",ἔχουσιν τὸν Ἰωάννην.
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Matthew 21:46,"καὶ ζητοῦντες αὐτὸν κρατῆσαι ἐφοβήθησαν τοὺς ὄχλους, ἐπεὶ εἰς",αὐτὸν εἶχον.
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Luke 7:26,ἀλλὰ τί ἐξήλθατε ἰδεῖν;,"; ναὶ λέγω ὑμῖν, καὶ περισσότερον προφήτου."
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Luke 13:33,"πλὴν δεῖ με σήμερον καὶ αὔριον καὶ τῇ ἐχομένῃ πορεύεσθαι, ὅτι οὐκ ἐνδέχεται",ἀπολέσθαι ἔξω Ἰερουσαλήμ.
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Luke 20:6,"ἐὰν δὲ εἴπωμεν· ἐξ ἀνθρώπων, ὁ λαὸς ἅπας καταλιθάσει ἡμᾶς, πεπεισμένος γάρ ἐστιν Ἰωάννην",εἶναι.
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Acts 3:22,Μωϋσῆς μὲν εἶπεν ὅτι,ὑμῖν ἀναστήσει κύριος ὁ θεὸς ὑμῶν ἐκ τῶν ἀδελφῶν ὑμῶν ὡς ἐμέ· αὐτοῦ
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Acts 7:37,οὗτός ἐστιν ὁ Μωϋσῆς ὁ εἴπας τοῖς υἱοῖς Ἰσραήλ·,ὑμῖν ἀναστήσει ὁ θεὸς ἐκ τῶν ἀδελφῶν ὑμῶν ὡς ἐμέ.
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Acts 8:28,ἦν τε ὑποστρέφων καὶ καθήμενος ἐπὶ τοῦ ἅρματος αὐτοῦ καὶ ἀνεγίνωσκεν τὸν,Ἠσαΐαν.
προφήτην,προφήτης,—,—,—,—,masculine,accusative,singular,noun,Acts 8:30,προσδραμὼν δὲ ὁ Φίλιππος ἤκουσεν αὐτοῦ ἀναγινώσκοντος Ἠσαΐαν τὸν,καὶ εἶπεν· ἆρά γε γινώσκεις ἃ ἀναγινώσκεις;
προφήτης,προφήτης,—,—,—,—,masculine,nominative,singular,noun,Matthew 13:57,καὶ ἐσκανδαλίζοντο ἐν αὐτῷ. ὁ δὲ Ἰησοῦς εἶπεν αὐτοῖς· οὐκ ἔστιν,ἄτιμος εἰ μὴ ἐν τῇ πατρίδι καὶ ἐν τῇ οἰκίᾳ αὐτοῦ.
προφήτης,προφήτης,—,—,—,—,masculine,nominative,singular,noun,Matthew 21:11,οἱ δὲ ὄχλοι ἔλεγον· οὗτός ἐστιν ὁ,Ἰησοῦς ὁ ἀπὸ Ναζαρὲθ τῆς Γαλιλαίας.
προφήτης,προφήτης,—,—,—,—,masculine,nominative,singular,noun,Mark 6:4,καὶ ἔλεγεν αὐτοῖς ὁ Ἰησοῦς ὅτι οὐκ ἔστιν,ἄτιμος εἰ μὴ ἐν τῇ πατρίδι αὐτοῦ καὶ ἐν τοῖς συγγενεῦσιν αὐτοῦ καὶ ἐν τῇ οἰκίᾳ αὐτοῦ.
προφήτης,προφήτης,—,—,—,—,masculine,nominative,singular,noun,Mark 6:15,ἄλλοι δὲ ἔλεγον ὅτι Ἠλίας ἐστίν· ἄλλοι δὲ ἔλεγον ὅτι,ὡς εἷς τῶν προφητῶν.
προφήτης,προφήτης,—,—,—,—,masculine,nominative,singular,noun,Mark 11:32,ἀλλʼ εἴπωμεν· ἐξ ἀνθρώπων; — ἐφοβοῦντο τὸν ὄχλον· ἅπαντες γὰρ εἶχον τὸν Ἰωάννην ὄντως ὅτι,ἦν.
