Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Πῦρ,πῦρ,—,—,—,—,neuter,accusative,singular,noun,Luke 12:49,—,"ἦλθον βαλεῖν ἐπὶ τὴν γῆν, καὶ τί θέλω εἰ ἤδη ἀνήφθη."
πυρί,πῦρ,—,—,—,—,neuter,dative,singular,noun,Matthew 3:11,εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ,·
πυρί,πῦρ,—,—,—,—,neuter,dative,singular,noun,Luke 3:16,τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ,· οὗ
πυρί,πῦρ,—,—,—,—,neuter,dative,singular,noun,Revelation 16:8,"Καὶ ὁ τέταρτος  ἐξέχεεν τὴν φιάλην αὐτοῦ ἐπὶ τὸν ἥλιον, καὶ ἐδόθη αὐτῷ καυματίσαι τοὺς ἀνθρώπους ἐν",.
πυρί,πῦρ,—,—,—,—,neuter,dative,singular,noun,Revelation 17:16,αὐτὴν καὶ γυμνὴν καὶ τὰς σάρκας αὐτῆς φάγονται καὶ αὐτὴν κατακαύσουσιν ἐν,.
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Matthew 5:22,"συνεδρίῳ· ὃς δʼ ἂν εἴπῃ · μωρέ, ἔνοχος ἔσται εἰς τὴν γέενναν τοῦ",.
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Matthew 13:42,καὶ βαλοῦσιν αὐτοὺς εἰς τὴν κάμινον τοῦ,· ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων.
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Matthew 13:50,καὶ βαλοῦσιν αὐτοὺς εἰς τὴν κάμινον τοῦ,· ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων.
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Matthew 18:9,τὴν ζωὴν εἰσελθεῖν ἢ δύο ὀφθαλμοὺς ἔχοντα βληθῆναι εἰς τὴν γέενναν τοῦ,.
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,1 Corinthians 3:15,"εἴ τινος τὸ ἔργον κατακαήσεται, ζημιωθήσεται, αὐτὸς δὲ σωθήσεται, οὕτως δὲ ὡς διὰ",.
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Hebrews 11:34,ἔσβεσαν δύναμιν,", ἔφυγον στόματα μαχαίρης, ἐδυναμώθησαν ἀπὸ ἀσθενείας, ἐγενήθησαν ἰσχυροὶ ἐν πολέμῳ, παρεμβολὰς ἔκλιναν ἀλλοτρίων."
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Revelation 10:1,τὸ πρόσωπον αὐτοῦ ὡς ὁ ἥλιος καὶ οἱ πόδες αὐτοῦ ὡς στῦλοι,","
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Revelation 14:18,καὶ ἄλλος ἄγγελος [ἐξῆλθεν] ἐκ τοῦ θυσιαστηρίου [ὁ] ἔχων ἐξουσίαν ἐπὶ τοῦ,", καὶ ἐφώνησεν φωνῇ μεγάλῃ τῷ ἔχοντι τὸ δρέπανον τὸ ὀξὺ λέγων· πέμψον σου"
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Revelation 19:12,οἱ δὲ ὀφθαλμοὶ αὐτοῦ [ὡς] φλὸξ,", καὶ ἐπὶ τὴν κεφαλὴν αὐτοῦ διαδήματα πολλά, ἔχων  ὄνομα γεγραμμένον ὃ οὐδεὶς οἶδεν εἰ μὴ αὐτός,"
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Revelation 20:14,"λίμνην τοῦ πυρός.   οὗτος ὁ θάνατος ὁ δεύτερός ἐστιν, ἡ λίμνη τοῦ",.
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Revelation 20:14,καὶ ὁ θάνατος καὶ ὁ ᾅδης ἐβλήθησαν εἰς τὴν λίμνην τοῦ,".   οὗτος ὁ θάνατος ὁ δεύτερός ἐστιν, ἡ λίμνη τοῦ πυρός."
πυρός,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Revelation 20:15,"καὶ εἴ τις οὐχ εὑρέθη ἐν τῇ βίβλῳ τῆς ζωῆς γεγραμμένος, ἐβλήθη εἰς τὴν λίμνην τοῦ",.
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Matthew 3:12,"καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει",ἀσβέστῳ.
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Matthew 13:40,ὥσπερ οὖν συλλέγεται τὰ ζιζάνια καὶ,"κατακαίεται, οὕτως ἔσται ἐν τῇ συντελείᾳ τοῦ αἰῶνος·"
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Mark 9:49,Πᾶς γὰρ,ἁλισθήσεται.
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Luke 3:17,"καὶ συναγαγεῖν τὸν  σῖτον εἰς τὴν ἀποθήκην αὐτοῦ, τὸ δὲ ἄχυρον κατακαύσει",ἀσβέστῳ.
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,1 Corinthians 3:13,"ἑκάστου τὸ ἔργον φανερὸν γενήσεται, ἡ γὰρ ἡμέρα δηλώσει, ὅτι ἐν",ἀποκαλύπτεται· καὶ ἑκάστου τὸ ἔργον ὁποῖόν ἐστιν τὸ πῦρ [αὐτὸ] δοκιμάσει.
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,2 Thessalonians 1:8,ἐν,"φλογός, διδόντος ἐκδίκησιν τοῖς μὴ εἰδόσιν θεὸν καὶ τοῖς μὴ ὑπακούουσιν τῷ εὐαγγελίῳ τοῦ κυρίου ἡμῶν Ἰησοῦ,"
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Hebrews 12:18,Οὐ γὰρ προσεληλύθατε ψηλαφωμένῳ  καὶ κεκαυμένῳ,καὶ γνόφῳ καὶ ζόφῳ καὶ θυέλλῃ
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,2 Peter 3:7,οἱ δὲ νῦν οὐρανοὶ καὶ ἡ γῆ τῷ αὐτῷ λόγῳ τεθησαυρισμένοι εἰσὶν,τηρούμενοι εἰς ἡμέραν κρίσεως καὶ ἀπωλείας τῶν ἀσεβῶν ἀνθρώπων.
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Revelation 8:8,Καὶ ὁ δεύτερος ἄγγελος ἐσάλπισεν· καὶ ὡς ὄρος μέγα,"καιόμενον ἐβλήθη εἰς τὴν θάλασσαν, καὶ ἐγένετο τὸ τρίτον τῆς θαλάσσης αἷμα"
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Revelation 14:10,τοῦ κεκερασμένου ἀκράτου ἐν τῷ ποτηρίῳ τῆς ὀργῆς αὐτοῦ καὶ βασανισθήσεται ἐν,καὶ θείῳ ἐνώπιον ἀγγέλων ἁγίων καὶ ἐνώπιον τοῦ ἀρνίου.
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Revelation 15:2,Καὶ εἶδον ὡς θάλασσαν ὑαλίνην μεμιγμένην,καὶ τοὺς νικῶντας ἐκ τοῦ θηρίου καὶ ἐκ τῆς εἰκόνος αὐτοῦ καὶ  ἐκ
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Revelation 18:8,"διὰ τοῦτο ἐν μιᾷ ἡμέρᾳ ἥξουσιν αἱ πληγαὶ αὐτῆς, θάνατος καὶ πένθος καὶ λιμός, καὶ ἐν","κατακαυθήσεται, ὅτι ἰσχυρὸς κύριος ὁ θεὸς ὁ κρίνας αὐτήν."
πυρὶ,πῦρ,—,—,—,—,neuter,dative,singular,noun,Revelation 21:8,καὶ πᾶσιν τοῖς ψευδέσιν τὸ μέρος αὐτῶν ἐν τῇ λίμνῃ τῇ καιομένῃ,"καὶ θείῳ, ὅ ἐστιν ὁ θάνατος ὁ δεύτερος."
πυρὸς,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Acts 2:3,καὶ ὤφθησαν αὐτοῖς διαμεριζόμεναι γλῶσσαι ὡσεὶ,"καὶ ἐκάθισεν ἐφʼ ἕνα ἕκαστον αὐτῶν,"
πυρὸς,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Acts 7:30,Καὶ πληρωθέντων ἐτῶν τεσσεράκοντα ὤφθη αὐτῷ ἐν τῇ ἐρήμῳ τοῦ ὄρους Σινᾶ ἄγγελος  ἐν φλογὶ,βάτου.
πυρὸς,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Romans 12:20,"ἀλλʼ ἐὰν πεινᾷ ὁ ἐχθρός σου, ψώμιζε αὐτόν· ἐὰν διψᾷ, πότιζε αὐτόν· τοῦτο γὰρ ποιῶν ἄνθρακας",σωρεύσεις ἐπὶ τὴν κεφαλὴν αὐτοῦ.
πυρὸς,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Hebrews 1:7,καὶ πρὸς μὲν τοὺς ἀγγέλους  λέγει·      ὁ ποιῶν τοὺς ἀγγέλους αὐτοῦ πνεύματα      καὶ τοὺς λειτουργοὺς αὐτοῦ,"φλόγα,"
πυρὸς,πῦρ,—,—,—,—,neuter,genitive,singular,noun,Hebrews 10:27,φοβερὰ δέ τις ἐκδοχὴ κρίσεως καὶ,ζῆλος ἐσθίειν μέλλοντος τοὺς ὑπεναντίους.
πυρὸς,πῦρ,—,—,—,—,neuter,genitive,singular,noun,1 Peter 1:7,"ἵνα τὸ δοκίμιον ὑμῶν τῆς πίστεως πολυτιμότερον χρυσίου τοῦ ἀπολλυμένου, διὰ",δὲ δοκιμαζομένου εὑρεθῇ εἰς ἔπαινον καὶ δόξαν καὶ τιμὴν ἐν ἀποκαλύψει Ἰησοῦ Χριστοῦ
