Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
σεαυτοῦ,σεαυτοῦ,—,—,—,second person,masculine,genitive,singular,pronoun,John 1:22,εἶπαν οὖν αὐτῷ·  τίς εἶ; ἵνα ἀπόκρισιν δῶμεν τοῖς πέμψασιν ἡμᾶς· τί λέγεις περὶ,;
σεαυτοῦ,σεαυτοῦ,—,—,—,second person,masculine,genitive,singular,pronoun,John 8:13,Εἶπον οὖν αὐτῷ οἱ Φαρισαῖοι· σὺ περὶ,μαρτυρεῖς· ἡ μαρτυρία σου οὐκ ἔστιν ἀληθής.
σεαυτοῦ,σεαυτοῦ,—,—,—,second person,masculine,genitive,singular,pronoun,John 18:34,ἀπεκρίθη  Ἰησοῦς· ἀπὸ,σὺ τοῦτο λέγεις ἢ ἄλλοι εἶπόν σοι περὶ ἐμοῦ;
σεαυτοῦ,σεαυτοῦ,—,—,—,second person,masculine,genitive,singular,pronoun,Acts 26:1,Ἀγρίππας δὲ πρὸς τὸν Παῦλον ἔφη· ἐπιτρέπεταί σοι περὶ,λέγειν. τότε ὁ Παῦλος  ἐκτείνας τὴν χεῖρα ἀπελογεῖτο·
σεαυτοῦ,σεαυτοῦ,—,—,—,second person,masculine,genitive,singular,pronoun,2 Timothy 4:11,Λουκᾶς ἐστιν μόνος μετʼ ἐμοῦ. Μᾶρκον ἀναλαβὼν ἄγε μετὰ,", ἔστιν γάρ μοι εὔχρηστος εἰς διακονίαν."
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Matthew 19:19,"τίμα τὸν πατέρα καὶ τὴν μητέρα, καὶ ἀγαπήσεις τὸν πλησίον σου ὡς",.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Matthew 22:39,δευτέρα δὲ ὁμοία αὐτῇ· ἀγαπήσεις τὸν πλησίον σου ὡς,.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Matthew 27:40,"καὶ λέγοντες· ὁ καταλύων τὸν ναὸν καὶ ἐν τρισὶν ἡμέραις οἰκοδομῶν, σῶσον",", εἰ υἱὸς εἶ τοῦ θεοῦ, [καὶ] κατάβηθι ἀπὸ τοῦ σταυροῦ."
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Mark 12:31,δευτέρα αὕτη· ἀγαπήσεις τὸν πλησίον σου ὡς,. μείζων τούτων ἄλλη ἐντολὴ οὐκ ἔστιν.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Luke 4:23,"καὶ εἶπεν πρὸς αὐτούς· πάντως ἐρεῖτέ μοι τὴν παραβολὴν ταύτην· ἰατρέ, θεράπευσον",· ὅσα ἠκούσαμεν γενόμενα εἰς τὴν Καφαρναοὺμ ποίησον καὶ ὧδε ἐν τῇ πατρίδι σου.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Luke 10:27,"σου καὶ ἐν ὅλῃ τῇ διανοίᾳ σου, καὶ τὸν πλησίον σου ὡς",.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Luke 23:37,"καὶ λέγοντες· εἰ σὺ εἶ ὁ βασιλεὺς τῶν Ἰουδαίων, σῶσον",.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Romans 13:9,ἐν τῷ λόγῳ τούτῳ ἀνακεφαλαιοῦται [ἐν τῷ]· ἀγαπήσεις τὸν πλησίον σου ὡς,.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Galatians 5:14,"ὁ γὰρ πᾶς νόμος ἐν ἑνὶ λόγῳ πεπλήρωται, ἐν τῷ· ἀγαπήσεις τὸν πλησίον σου ὡς",.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,Philemon 19,"ἐγὼ Παῦλος ἔγραψα τῇ ἐμῇ χειρί, ἐγὼ ἀποτίσω· ἵνα μὴ λέγω σοι ὅτι καὶ",μοι προσοφείλεις.
σεαυτόν,σεαυτοῦ,—,—,—,second person,masculine,accusative,singular,pronoun,James 2:8,Εἰ μέντοι νόμον τελεῖτε βασιλικὸν κατὰ τὴν γραφήν· ἀγαπήσεις τὸν πλησίον σου ὡς,", καλῶς ποιεῖτε·"
