Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Συνήγαγον,συνάγω,aorist,active,indicative,third person,—,—,plural,verb,John 11:47,—,οὖν οἱ ἀρχιερεῖς καὶ οἱ Φαρισαῖοι συνέδριον καὶ ἔλεγον· τί ποιοῦμεν ὅτι οὗτος
Συνήχθησάν,συνάγω,aorist,passive,indicative,third person,—,—,plural,verb,Acts 15:6,—,τε οἱ ἀπόστολοι καὶ οἱ πρεσβύτεροι  ἰδεῖν περὶ τοῦ λόγου τούτου.
Συνηγμένων,συνάγω,perfect,passive,participle,—,masculine,genitive,plural,verb,Matthew 22:41,—,δὲ τῶν Φαρισαίων ἐπηρώτησεν αὐτοὺς ὁ Ἰησοῦς
συνάγει,συνάγω,present,active,indicative,third person,—,—,singular,verb,John 4:36,ὁ θερίζων μισθὸν λαμβάνει καὶ,"καρπὸν εἰς ζωὴν αἰώνιον, ἵνα  ὁ σπείρων ὁμοῦ χαίρῃ καὶ ὁ θερίζων."
συνάγεται,συνάγω,present,passive,indicative,third person,—,—,singular,verb,Mark 4:1,Καὶ πάλιν ἤρξατο διδάσκειν παρὰ τὴν θάλασσαν· καὶ,"πρὸς αὐτὸν ὄχλος πλεῖστος, ὥστε αὐτὸν εἰς πλοῖον ἐμβάντα καθῆσθαι ἐν τῇ θαλάσσῃ"
συνάγονται,συνάγω,present,passive,indicative,third person,—,—,plural,verb,Mark 6:30,Καὶ,οἱ ἀπόστολοι πρὸς τὸν Ἰησοῦν καὶ ἀπήγγειλαν αὐτῷ πάντα ὅσα ἐποίησαν καὶ ὅσα ἐδίδαξαν.
συνάγονται,συνάγω,present,passive,indicative,third person,—,—,plural,verb,Mark 7:1,Καὶ,πρὸς αὐτὸν οἱ Φαρισαῖοι καί τινες τῶν γραμματέων ἐλθόντες ἀπὸ Ἱεροσολύμων.
συνάγουσιν,συνάγω,present,active,indicative,third person,—,—,plural,verb,Matthew 6:26,ἐμβλέψατε εἰς τὰ πετεινὰ τοῦ οὐρανοῦ ὅτι οὐ σπείρουσιν οὐδὲ θερίζουσιν οὐδὲ,"εἰς  ἀποθήκας, καὶ ὁ πατὴρ ὑμῶν ὁ οὐράνιος τρέφει αὐτά· οὐχ ὑμεῖς μᾶλλον διαφέρετε αὐτῶν;"
συνάγουσιν,συνάγω,present,active,indicative,third person,—,—,plural,verb,John 15:6,"ἐὰν μή τις μένῃ ἐν ἐμοί, ἐβλήθη ἔξω ὡς τὸ κλῆμα καὶ ἐξηράνθη καὶ",αὐτὰ καὶ εἰς τὸ πῦρ βάλλουσιν  καὶ καίεται.
συνάγω,συνάγω,present,active,indicative,first person,—,—,singular,verb,Matthew 25:26,"Ἀποκριθεὶς δὲ ὁ κύριος αὐτοῦ εἶπεν αὐτῷ· πονηρὲ δοῦλε καὶ ὀκνηρέ, ᾔδεις ὅτι θερίζω ὅπου οὐκ ἔσπειρα καὶ",ὅθεν οὐ διεσκόρπισα;
συνάγων,συνάγω,present,active,participle,—,masculine,nominative,singular,verb,Matthew 12:30,"ὁ μὴ ὢν μετʼ ἐμοῦ κατʼ ἐμοῦ ἐστιν, καὶ ὁ μὴ",μετʼ ἐμοῦ σκορπίζει.
συνάγων,συνάγω,present,active,participle,—,masculine,nominative,singular,verb,Matthew 25:24,"κύριε, ἔγνων σε ὅτι σκληρὸς εἶ ἄνθρωπος, θερίζων ὅπου οὐκ ἔσπειρας καὶ","ὅθεν οὐ διεσκόρπισας,"
συνάγων,συνάγω,present,active,participle,—,masculine,nominative,singular,verb,Luke 11:23,"Ὁ μὴ ὢν μετʼ ἐμοῦ κατʼ ἐμοῦ ἐστιν, καὶ ὁ μὴ",μετʼ ἐμοῦ σκορπίζει.
συνάξει,συνάγω,future,active,indicative,third person,—,—,singular,verb,Matthew 3:12,οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ,"τὸν σῖτον αὐτοῦ εἰς τὴν ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ."
συνάξω,συνάγω,future,active,indicative,first person,—,—,singular,verb,Luke 12:17,"καὶ διελογίζετο ἐν ἑαυτῷ λέγων· τί ποιήσω, ὅτι οὐκ ἔχω ποῦ",τοὺς καρπούς μου;
συνάξω,συνάγω,future,active,indicative,first person,—,—,singular,verb,Luke 12:18,"καὶ εἶπεν· τοῦτο ποιήσω, καθελῶ μου τὰς ἀποθήκας καὶ μείζονας οἰκοδομήσω καὶ",ἐκεῖ πάντα τὸν σῖτον καὶ τὰ ἀγαθά μου
