Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Matthew 2:18,"φωνὴ ἐν Ῥαμὰ ἠκούσθη,            κλαυθμὸς καὶ ὀδυρμὸς πολύς        Ῥαχὴλ κλαίουσα τὰ","αὐτῆς,           καὶ οὐκ ἤθελεν παρακληθῆναι,        ὅτι οὐκ εἰσίν."
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Matthew 3:9,λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι,τῷ Ἀβραάμ.
τέκνοις,τέκνον,—,—,—,—,neuter,dative,plural,Matthew 7:11,εἰ οὖν ὑμεῖς πονηροὶ ὄντες οἴδατε δόματα ἀγαθὰ διδόναι τοῖς,"ὑμῶν, πόσῳ μᾶλλον ὁ πατὴρ ὑμῶν ὁ ἐν τοῖς οὐρανοῖς δώσει ἀγαθὰ τοῖς αἰτοῦσιν αὐτόν."
τέκνον,τέκνον,—,—,—,—,neuter,vocative,singular,Matthew 9:2,"βεβλημένον. καὶ ἰδὼν ὁ Ἰησοῦς τὴν πίστιν αὐτῶν εἶπεν τῷ παραλυτικῷ· θάρσει,",", ἀφίενταί σου αἱ ἁμαρτίαι."
τέκνον,τέκνον,—,—,—,—,neuter,accusative,singular,Matthew 10:21,Παραδώσει δὲ ἀδελφὸς ἀδελφὸν εἰς θάνατον καὶ πατὴρ,", καὶ ἐπαναστήσονται τέκνα ἐπὶ γονεῖς καὶ θανατώσουσιν αὐτούς."
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,Matthew 10:21,"Παραδώσει δὲ ἀδελφὸς ἀδελφὸν εἰς θάνατον καὶ πατὴρ τέκνον, καὶ ἐπαναστήσονται",ἐπὶ γονεῖς καὶ θανατώσουσιν αὐτούς.
τέκνων,τέκνον,—,—,—,—,neuter,genitive,plural,Matthew 15:26,ὁ δὲ ἀποκριθεὶς εἶπεν· οὐκ ἔστιν καλὸν λαβεῖν τὸν ἄρτον τῶν,καὶ βαλεῖν τοῖς κυναρίοις.
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Matthew 18:25,μὴ ἔχοντος δὲ αὐτοῦ ἀποδοῦναι ἐκέλευσεν αὐτὸν ὁ κύριος πραθῆναι καὶ τὴν γυναῖκα  καὶ τὰ,"καὶ πάντα ὅσα ἔχει, καὶ ἀποδοθῆναι."
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Matthew 19:29,καὶ πᾶς ὅστις ἀφῆκεν οἰκίας ἢ ἀδελφοὺς ἢ ἀδελφὰς ἢ πατέρα ἢ μητέρα ἢ,"ἢ ἀγροὺς ἕνεκεν τοῦ ὀνόματός μου, ἑκατονταπλασίονα λήμψεται καὶ ζωὴν αἰώνιον κληρονομήσει."
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Matthew 21:28,Τί δὲ ὑμῖν δοκεῖ; ἄνθρωπος  εἶχεν,"δύο. καὶ προσελθὼν τῷ πρώτῳ εἶπεν· τέκνον, ὕπαγε σήμερον ἐργάζου ἐν τῷ ἀμπελῶνι."
τέκνον,τέκνον,—,—,—,—,neuter,vocative,singular,Matthew 21:28,Τί δὲ ὑμῖν δοκεῖ; ἄνθρωπος  εἶχεν τέκνα δύο. καὶ προσελθὼν τῷ πρώτῳ εἶπεν·,", ὕπαγε σήμερον ἐργάζου ἐν τῷ ἀμπελῶνι."
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Matthew 22:24,"λέγοντες· διδάσκαλε, Μωϋσῆς εἶπεν· ἐάν τις ἀποθάνῃ μὴ ἔχων",", ἐπιγαμβρεύσει ὁ ἀδελφὸς αὐτοῦ τὴν γυναῖκα αὐτοῦ καὶ ἀναστήσει σπέρμα τῷ ἀδελφῷ αὐτοῦ."
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Matthew 23:37,"Ἰερουσαλὴμ Ἰερουσαλήμ, ἡ ἀποκτείνουσα τοὺς προφήτας καὶ λιθοβολοῦσα τοὺς ἀπεσταλμένους πρὸς αὐτήν, ποσάκις ἠθέλησα ἐπισυναγαγεῖν τὰ","σου, ὃν τρόπον ὄρνις ἐπισυνάγει τὰ νοσσία αὐτῆς ὑπὸ τὰς πτέρυγας, καὶ οὐκ ἠθελήσατε."
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Matthew 27:25,καὶ ἀποκριθεὶς πᾶς ὁ λαὸς εἶπεν· τὸ αἷμα αὐτοῦ ἐφʼ ἡμᾶς καὶ ἐπὶ τὰ,ἡμῶν.
τέκνον,τέκνον,—,—,—,—,neuter,vocative,singular,Mark 2:5,καὶ ἰδὼν ὁ Ἰησοῦς τὴν πίστιν αὐτῶν λέγει τῷ παραλυτικῷ·,", ἀφίενταί σου αἱ ἁμαρτίαι."
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Mark 7:27,καὶ ἔλεγεν αὐτῇ· ἄφες πρῶτον χορτασθῆναι τὰ,", οὐ γάρ ἐστιν καλὸν λαβεῖν τὸν ἄρτον τῶν τέκνων καὶ τοῖς κυναρίοις βαλεῖν."
