Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 9:8,ἰδόντες δὲ οἱ ὄχλοι ἐφοβήθησαν καὶ ἐδόξασαν τὸν θεὸν τὸν δόντα ἐξουσίαν,τοιαύτην,τοῖς ἀνθρώποις.,τοιοῦτος,Louw Nida 92.31,"ο, ουτος",pronoun,—
NA28,Matthew 18:5,καὶ ὃς ἐὰν δέξηται ἓν παιδίον,τοιοῦτο,"ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται.",τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Matthew 19:14,"ὁ δὲ Ἰησοῦς εἶπεν·  ἄφετε τὰ παιδία καὶ μὴ κωλύετε αὐτὰ ἐλθεῖν πρός με, τῶν γὰρ",τοιούτων,ἐστὶν ἡ βασιλεία τῶν οὐρανῶν.,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Mark 4:33,Καὶ,τοιαύταις,παραβολαῖς πολλαῖς ἐλάλει αὐτοῖς τὸν λόγον καθὼς ἠδύναντο ἀκούειν·,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Mark 6:2,"τούτῳ ταῦτα, καὶ τίς ἡ σοφία ἡ δοθεῖσα τούτῳ, καὶ αἱ δυνάμεις",τοιαῦται,διὰ τῶν χειρῶν αὐτοῦ γινόμεναι;,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Mark 7:13,ἀκυροῦντες τὸν λόγον τοῦ θεοῦ τῇ παραδόσει ὑμῶν  ᾗ παρεδώκατε· καὶ παρόμοια,τοιαῦτα,πολλὰ ποιεῖτε.,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Mark 9:37,ὃς ἂν ἓν τῶν,τοιούτων,"παιδίων δέξηται ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ δέχηται",τοιοῦτος,Louw Nida 64.2,"ο, ουτος","adjective, pronoun",—
NA28,Mark 10:14,"αὐτοῖς· ἄφετε τὰ παιδία ἔρχεσθαι πρός με, μὴ κωλύετε αὐτά, τῶν γὰρ",τοιούτων,ἐστὶν ἡ βασιλεία τοῦ θεοῦ.,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Mark 13:19,ἔσονται γὰρ αἱ ἡμέραι ἐκεῖναι θλῖψις οἵα οὐ γέγονεν,τοιαύτη,ἀπʼ ἀρχῆς κτίσεως ἣν ἔκτισεν ὁ θεὸς ἕως τοῦ νῦν καὶ οὐ μὴ γένηται.,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Luke 9:9,εἶπεν δὲ  Ἡρῴδης· Ἰωάννην ἐγὼ ἀπεκεφάλισα· τίς δέ ἐστιν οὗτος περὶ οὗ  ἀκούω,τοιαῦτα,; καὶ ἐζήτει ἰδεῖν αὐτόν.,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
