Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Matthew 2:18,—,"ἐν Ῥαμὰ ἠκούσθη,            κλαυθμὸς καὶ ὀδυρμὸς πολύς        Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς,           καὶ"
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Matthew 3:3,οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου λέγοντος·,"βοῶντος ἐν τῇ ἐρήμῳ·        ἑτοιμάσατε τὴν ὁδὸν κυρίου,           εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ."
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Matthew 3:17,καὶ ἰδοὺ,"ἐκ τῶν οὐρανῶν λέγουσα·  οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα."
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Matthew 12:19,"οὐκ ἐρίσει οὐδὲ κραυγάσει,           οὐδὲ ἀκούσει τις ἐν ταῖς πλατείαις τὴν",αὐτοῦ.
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Matthew 17:5,"ἔτι αὐτοῦ λαλοῦντος ἰδοὺ νεφέλη φωτεινὴ ἐπεσκίασεν αὐτούς, καὶ ἰδοὺ","ἐκ τῆς νεφέλης λέγουσα· οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα· ἀκούετε αὐτοῦ."
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Matthew 27:46,περὶ δὲ τὴν ἐνάτην ὥραν ἀνεβόησεν ὁ Ἰησοῦς,"μεγάλῃ λέγων·      ηλι ηλι λεμα σαβαχθανι;  τοῦτʼ ἔστιν· θεέ μου θεέ μου, ἱνατί με ἐγκατέλιπες;"
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Matthew 27:50,ὁ δὲ Ἰησοῦς πάλιν κράξας,μεγάλῃ ἀφῆκεν τὸ πνεῦμα.
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Mark 1:3,—,"βοῶντος ἐν τῇ ἐρήμῳ·      ἑτοιμάσατε τὴν ὁδὸν κυρίου,      εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ,"
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Mark 1:11,καὶ,"ἐγένετο ἐκ τῶν οὐρανῶν σὺ εἶ ὁ υἱός μου ὁ ἀγαπητός, ἐν σοὶ εὐδόκησα."
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Mark 1:26,καὶ σπαράξαν αὐτὸν τὸ πνεῦμα τὸ ἀκάθαρτον καὶ φωνῆσαν,μεγάλῃ ἐξῆλθεν ἐξ αὐτοῦ.
