Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 2:20,μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ· τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν,τοῦ παιδίου.
ψυχῇ,ψυχή,—,—,—,—,feminine,dative,singular,Matthew 6:25,Διὰ τοῦτο λέγω ὑμῖν· μὴ μεριμνᾶτε τῇ,"ὑμῶν τί φάγητε [ἢ τί πίητε], μηδὲ τῷ σώματι ὑμῶν τί ἐνδύσησθε. οὐχὶ"
ψυχὴ,ψυχή,—,—,—,—,feminine,nominative,singular,Matthew 6:25,"φάγητε [ἢ τί πίητε], μηδὲ τῷ σώματι ὑμῶν τί ἐνδύσησθε. οὐχὶ ἡ",πλεῖόν ἐστιν τῆς τροφῆς καὶ τὸ σῶμα τοῦ ἐνδύματος;
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 10:28,"Καὶ μὴ φοβεῖσθε ἀπὸ τῶν ἀποκτεννόντων τὸ σῶμα, τὴν δὲ",μὴ δυναμένων ἀποκτεῖναι· φοβεῖσθε δὲ μᾶλλον τὸν δυνάμενον καὶ ψυχὴν καὶ σῶμα ἀπολέσαι ἐν γεέννῃ.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 10:28,τὴν δὲ ψυχὴν μὴ δυναμένων ἀποκτεῖναι· φοβεῖσθε δὲ μᾶλλον τὸν δυνάμενον καὶ,καὶ σῶμα ἀπολέσαι ἐν γεέννῃ.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 10:39,ὁ εὑρὼν τὴν,"αὐτοῦ ἀπολέσει αὐτήν, καὶ ὁ ἀπολέσας τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν."
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 10:39,"ὁ εὑρὼν τὴν ψυχὴν αὐτοῦ ἀπολέσει αὐτήν, καὶ ὁ ἀπολέσας τὴν",αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν.
ψυχαῖς,ψυχή,—,—,—,—,feminine,dative,plural,Matthew 11:29,"ἐμοῦ, ὅτι πραΰς εἰμι καὶ ταπεινὸς τῇ καρδίᾳ, καὶ εὑρήσετε ἀνάπαυσιν ταῖς",ὑμῶν·
ψυχή,ψυχή,—,—,—,—,feminine,nominative,singular,Matthew 12:18,"ἰδοὺ ὁ παῖς μου  ὃν ᾑρέτισα,           ὁ ἀγαπητός μου εἰς ὃν εὐδόκησεν ἡ","μου        θήσω τὸ πνεῦμά μου ἐπʼ αὐτόν,           καὶ κρίσιν τοῖς ἔθνεσιν ἀπαγγελεῖ."
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 16:25,ὃς γὰρ ἐὰν θέλῃ τὴν,αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δʼ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 16:25,ὃς γὰρ ἐὰν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δʼ ἂν ἀπολέσῃ τὴν,αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 16:26,τί γὰρ ὠφεληθήσεται ἄνθρωπος ἐὰν τὸν κόσμον ὅλον κερδήσῃ τὴν δὲ,αὐτοῦ ζημιωθῇ; ἢ τί δώσει ἄνθρωπος ἀντάλλαγμα τῆς ψυχῆς αὐτοῦ;
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Matthew 16:26,κερδήσῃ τὴν δὲ ψυχὴν αὐτοῦ ζημιωθῇ; ἢ τί δώσει ἄνθρωπος ἀντάλλαγμα τῆς,αὐτοῦ;
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Matthew 20:28,ὥσπερ ὁ υἱὸς τοῦ ἀνθρώπου οὐκ ἦλθεν διακονηθῆναι ἀλλὰ διακονῆσαι καὶ δοῦναι τὴν,αὐτοῦ λύτρον ἀντὶ πολλῶν.
ψυχῇ,ψυχή,—,—,—,—,feminine,dative,singular,Matthew 22:37,ὁ δὲ ἔφη αὐτῷ· ἀγαπήσεις κύριον τὸν θεόν σου ἐν ὅλῃ τῇ καρδίᾳ σου καὶ ἐν ὅλῃ τῇ,σου καὶ ἐν ὅλῃ τῇ διανοίᾳ σου·
ψυχή,ψυχή,—,—,—,—,feminine,nominative,singular,Matthew 26:38,τότε λέγει αὐτοῖς· περίλυπός ἐστιν ἡ,μου ἕως θανάτου· μείνατε  ὧδε καὶ γρηγορεῖτε μετʼ ἐμοῦ.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Mark 3:4,"καὶ λέγει αὐτοῖς· ἔξεστιν τοῖς σάββασιν ἀγαθὸν ποιῆσαι ἢ κακοποιῆσαι,",σῶσαι ἢ ἀποκτεῖναι; οἱ δὲ ἐσιώπων.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Mark 8:35,ὃς γὰρ ἐὰν θέλῃ τὴν,αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δʼ ἂν ἀπολέσει τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Mark 8:35,ὃς γὰρ ἐὰν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δʼ ἂν ἀπολέσει τὴν,αὐτοῦ ἕνεκεν ἐμοῦ καὶ τοῦ εὐαγγελίου σώσει αὐτήν.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Mark 8:36,τί γὰρ ὠφελεῖ ἄνθρωπον κερδῆσαι τὸν κόσμον ὅλον καὶ ζημιωθῆναι τὴν,αὐτοῦ;
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Mark 8:37,τί γὰρ δοῖ ἄνθρωπος ἀντάλλαγμα τῆς,αὐτοῦ;
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Mark 10:45,καὶ γὰρ ὁ υἱὸς τοῦ ἀνθρώπου οὐκ ἦλθεν διακονηθῆναι ἀλλὰ διακονῆσαι καὶ δοῦναι τὴν,αὐτοῦ λύτρον ἀντὶ πολλῶν.
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Mark 12:30,καὶ ἀγαπήσεις κύριον τὸν θεόν σου ἐξ ὅλης τῆς καρδίας σου καὶ ἐξ ὅλης τῆς,σου καὶ ἐξ ὅλης τῆς διανοίας σου καὶ ἐξ ὅλης τῆς ἰσχύος σου.
ψυχή,ψυχή,—,—,—,—,feminine,nominative,singular,Mark 14:34,καὶ λέγει αὐτοῖς· περίλυπός ἐστιν ἡ,μου ἕως θανάτου· μείνατε ὧδε καὶ γρηγορεῖτε.
ψυχή,ψυχή,—,—,—,—,feminine,nominative,singular,Luke 1:46,Καὶ εἶπεν Μαριάμ·        Μεγαλύνει ἡ,"μου τὸν κύριον,"
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Luke 2:35,καὶ σοῦ [δὲ] αὐτῆς τὴν,διελεύσεται ῥομφαία — ὅπως ἂν ἀποκαλυφθῶσιν ἐκ πολλῶν καρδιῶν διαλογισμοί.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Luke 6:9,"εἶπεν δὲ ὁ Ἰησοῦς πρὸς αὐτούς· ἐπερωτῶ ὑμᾶς εἰ ἔξεστιν τῷ σαββάτῳ ἀγαθοποιῆσαι ἢ κακοποιῆσαι,",σῶσαι ἢ ἀπολέσαι;
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Luke 9:24,ὃς γὰρ ἂν θέλῃ τὴν,αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δʼ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ οὗτος σώσει αὐτήν.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Luke 9:24,ὃς γὰρ ἂν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δʼ ἂν ἀπολέσῃ τὴν,αὐτοῦ ἕνεκεν ἐμοῦ οὗτος σώσει αὐτήν.
