Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀγαπήσεις,ἀγαπάω,future,active,indicative,second person,—,—,singular,verb,Matthew 5:43,Ἠκούσατε ὅτι ἐρρέθη·,τὸν πλησίον σου καὶ μισήσεις τὸν ἐχθρόν σου.
ἀγαπᾶτε,ἀγαπάω,present,active,imperative,second person,—,—,plural,verb,Matthew 5:44,ἐγὼ δὲ λέγω ὑμῖν·,"τοὺς ἐχθροὺς ὑμῶν  καὶ προσεύχεσθε ὑπὲρ τῶν διωκόντων ὑμᾶς,"
ἀγαπήσητε,ἀγαπάω,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 5:46,ἐὰν γὰρ,"τοὺς ἀγαπῶντας ὑμᾶς, τίνα μισθὸν ἔχετε; οὐχὶ καὶ οἱ τελῶναι τὸ αὐτὸ ποιοῦσιν;"
ἀγαπῶντας,ἀγαπάω,present,active,participle,—,masculine,accusative,plural,verb,Matthew 5:46,ἐὰν γὰρ ἀγαπήσητε τοὺς,"ὑμᾶς, τίνα μισθὸν ἔχετε; οὐχὶ καὶ οἱ τελῶναι τὸ αὐτὸ ποιοῦσιν;"
ἀγαπήσει,ἀγαπάω,future,active,indicative,third person,—,—,singular,verb,Matthew 6:24,Οὐδεὶς  δύναται δυσὶ κυρίοις δουλεύειν· ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον,", ἢ ἑνὸς ἀνθέξεται καὶ τοῦ ἑτέρου καταφρονήσει. οὐ δύνασθε θεῷ δουλεύειν καὶ μαμωνᾷ."
ἀγαπήσεις,ἀγαπάω,future,active,indicative,second person,—,—,singular,verb,Matthew 19:19,"τίμα τὸν πατέρα καὶ τὴν μητέρα, καὶ",τὸν πλησίον σου ὡς σεαυτόν.
ἀγαπήσεις,ἀγαπάω,future,active,indicative,second person,—,—,singular,verb,Matthew 22:37,ὁ δὲ ἔφη αὐτῷ·,κύριον τὸν θεόν σου ἐν ὅλῃ τῇ καρδίᾳ σου καὶ ἐν ὅλῃ τῇ
ἀγαπήσεις,ἀγαπάω,future,active,indicative,second person,—,—,singular,verb,Matthew 22:39,δευτέρα δὲ ὁμοία αὐτῇ·,τὸν πλησίον σου ὡς σεαυτόν.
ἠγάπησεν,ἀγαπάω,aorist,active,indicative,third person,—,—,singular,verb,Mark 10:21,Ὁ δὲ Ἰησοῦς ἐμβλέψας αὐτῷ,"αὐτὸν καὶ εἶπεν αὐτῷ·  ἕν σε ὑστερεῖ· ὕπαγε, ὅσα ἔχεις πώλησον καὶ δὸς"
ἀγαπήσεις,ἀγαπάω,future,active,indicative,second person,—,—,singular,verb,Mark 12:30,καὶ,κύριον τὸν θεόν σου ἐξ ὅλης τῆς καρδίας σου καὶ ἐξ ὅλης τῆς
ἀγαπήσεις,ἀγαπάω,future,active,indicative,second person,—,—,singular,verb,Mark 12:31,δευτέρα αὕτη·,τὸν πλησίον σου ὡς σεαυτόν. μείζων τούτων ἄλλη ἐντολὴ οὐκ ἔστιν.
ἀγαπᾶν,ἀγαπάω,present,active,infinitive,—,—,—,—,verb,Mark 12:33,καὶ τὸ,αὐτὸν ἐξ ὅλης τῆς καρδίας καὶ ἐξ ὅλης τῆς συνέσεως καὶ ἐξ ὅλης
ἀγαπᾶν,ἀγαπάω,present,active,infinitive,—,—,—,—,verb,Mark 12:33,καὶ ἐξ ὅλης τῆς συνέσεως καὶ ἐξ ὅλης τῆς ἰσχύος καὶ τὸ,τὸν πλησίον ὡς ἑαυτὸν περισσότερόν ἐστιν πάντων τῶν ὁλοκαυτωμάτων καὶ  θυσιῶν.
