Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀγαπητήν,ἀγαπητός,—,—,—,—,feminine,accusative,singular,adjective,Romans 16:12,ἀσπάσασθε Τρύφαιναν καὶ Τρυφῶσαν τὰς κοπιώσας ἐν κυρίῳ. ἀσπάσασθε Περσίδα τὴν,", ἥτις πολλὰ ἐκοπίασεν ἐν κυρίῳ."
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,Romans 12:19,"μὴ ἑαυτοὺς ἐκδικοῦντες,",", ἀλλὰ δότε τόπον τῇ ὀργῇ, γέγραπται γάρ· ἐμοὶ ἐκδίκησις, ἐγὼ ἀνταποδώσω, λέγει κύριος."
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,1 Corinthians 10:14,"Διόπερ,","μου, φεύγετε ἀπὸ τῆς εἰδωλολατρίας."
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,1 Corinthians 15:58,"Ὥστε, ἀδελφοί μου",", ἑδραῖοι γίνεσθε, ἀμετακίνητοι, περισσεύοντες ἐν τῷ ἔργῳ τοῦ κυρίου πάντοτε, εἰδότες ὅτι ὁ"
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,2 Corinthians 7:1,"Ταύτας οὖν ἔχοντες τὰς ἐπαγγελίας,",", καθαρίσωμεν ἑαυτοὺς ἀπὸ παντὸς μολυσμοῦ σαρκὸς καὶ πνεύματος, ἐπιτελοῦντες ἁγιωσύνην ἐν φόβῳ θεοῦ."
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,2 Corinthians 12:19,"Πάλαι δοκεῖτε ὅτι ὑμῖν ἀπολογούμεθα. κατέναντι θεοῦ ἐν Χριστῷ λαλοῦμεν· τὰ δὲ πάντα,",", ὑπὲρ τῆς ὑμῶν οἰκοδομῆς."
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,Philippians 2:12,"Ὥστε,","μου, καθὼς πάντοτε ὑπηκούσατε, μὴ ὡς ἐν τῇ παρουσίᾳ μου μόνον ἀλλὰ νῦν"
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,Philippians 4:1,"Ὥστε, ἀδελφοί μου ἀγαπητοὶ καὶ ἐπιπόθητοι, χαρὰ καὶ στέφανός μου, οὕτως στήκετε ἐν κυρίῳ,",.
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,Hebrews 6:9,"Πεπείσμεθα δὲ περὶ ὑμῶν,",", τὰ κρείσσονα καὶ ἐχόμενα σωτηρίας, εἰ καὶ οὕτως λαλοῦμεν."
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,James 1:16,"Μὴ πλανᾶσθε, ἀδελφοί μου",.
ἀγαπητοί,ἀγαπητός,—,—,—,—,masculine,vocative,plural,adjective,James 1:19,"Ἴστε, ἀδελφοί μου","· ἔστω δὲ πᾶς ἄνθρωπος ταχὺς εἰς τὸ ἀκοῦσαι, βραδὺς εἰς τὸ λαλῆσαι, βραδὺς εἰς ὀργήν·"
