Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 4:4,"ὁ δὲ ἀποκριθεὶς εἶπεν· γέγραπται· οὐκ ἐπʼ ἄρτῳ μόνῳ ζήσεται ὁ ἄνθρωπος,",ἀλλʼ,ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 5:15,οὐδὲ καίουσιν λύχνον καὶ τιθέασιν αὐτὸν ὑπὸ τὸν μόδιον,ἀλλʼ,"ἐπὶ τὴν λυχνίαν, καὶ λάμπει πᾶσιν τοῖς ἐν τῇ οἰκίᾳ.",ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 5:17,Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον ἢ τοὺς προφήτας· οὐκ ἦλθον καταλῦσαι,ἀλλὰ,πληρῶσαι.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 5:39,ἐγὼ δὲ λέγω ὑμῖν μὴ ἀντιστῆναι τῷ πονηρῷ·,ἀλλʼ,"ὅστις σε ῥαπίζει εἰς τὴν δεξιὰν σιαγόνα [σου], στρέψον αὐτῷ καὶ τὴν ἄλλην·",ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 6:13,"καὶ μὴ εἰσενέγκῃς ἡμᾶς εἰς πειρασμόν,",ἀλλὰ,ῥῦσαι ἡμᾶς ἀπὸ τοῦ πονηροῦ.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 6:18,ὅπως μὴ φανῇς τοῖς ἀνθρώποις νηστεύων,ἀλλὰ,τῷ πατρί σου τῷ ἐν τῷ κρυφαίῳ⸃· καὶ ὁ πατήρ σου ὁ βλέπων,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 7:21,"Οὐ πᾶς ὁ λέγων μοι· κύριε κύριε, εἰσελεύσεται εἰς τὴν βασιλείαν τῶν οὐρανῶν,",ἀλλʼ,ὁ ποιῶν τὸ θέλημα τοῦ πατρός μου τοῦ ἐν τοῖς οὐρανοῖς.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 8:4,"καὶ λέγει αὐτῷ ὁ Ἰησοῦς· ὅρα μηδενὶ εἴπῃς,",ἀλλʼ,"ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ καὶ προσένεγκον τὸ δῶρον ὃ προσέταξεν Μωϋσῆς, εἰς μαρτύριον αὐτοῖς.",ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 8:8,"καὶ ἀποκριθεὶς ὁ ἑκατόνταρχος ἔφη· κύριε, οὐκ εἰμὶ ἱκανὸς ἵνα μου ὑπὸ τὴν στέγην εἰσέλθῃς,",ἀλλὰ,"μόνον εἰπὲ λόγῳ, καὶ ἰαθήσεται ὁ παῖς μου.",ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 9:12,Ὁ δὲ  ἀκούσας εἶπεν · οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ,ἀλλʼ,οἱ κακῶς ἔχοντες.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
