Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 24:10,καὶ τότε σκανδαλισθήσονται πολλοὶ καὶ,ἀλλήλους,παραδώσουσιν καὶ μισήσουσιν ἀλλήλους·,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Matthew 24:10,καὶ τότε σκανδαλισθήσονται πολλοὶ καὶ ἀλλήλους παραδώσουσιν καὶ μισήσουσιν,ἀλλήλους,·,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Matthew 25:32,"καὶ συναχθήσονται ἔμπροσθεν αὐτοῦ πάντα τὰ ἔθνη, καὶ ἀφορίσει αὐτοὺς ἀπʼ",ἀλλήλων,", ὥσπερ ὁ ποιμὴν ἀφορίζει τὰ πρόβατα ἀπὸ τῶν ἐρίφων,",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Mark 4:41,καὶ ἐφοβήθησαν φόβον μέγαν καὶ ἔλεγον πρὸς,ἀλλήλους,· τίς ἄρα οὗτός ἐστιν ὅτι καὶ ὁ ἄνεμος καὶ ἡ θάλασσα ὑπακούει αὐτῷ;,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Mark 8:16,καὶ διελογίζοντο πρὸς,ἀλλήλους,ὅτι ἄρτους οὐκ ἔχουσιν.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Mark 9:34,οἱ δὲ ἐσιώπων· πρὸς,ἀλλήλους,γὰρ διελέχθησαν ἐν τῇ ὁδῷ τίς μείζων.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Mark 9:50,"γένηται, ἐν τίνι αὐτὸ ἀρτύσετε; ἔχετε ἐν ἑαυτοῖς ἅλα καὶ εἰρηνεύετε ἐν",ἀλλήλοις,.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Mark 15:31,ὁμοίως καὶ οἱ ἀρχιερεῖς ἐμπαίζοντες πρὸς,ἀλλήλους,"μετὰ τῶν γραμματέων ἔλεγον· ἄλλους ἔσωσεν, ἑαυτὸν οὐ δύναται σῶσαι·",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 2:15,"Καὶ ἐγένετο ὡς ἀπῆλθον ἀπʼ αὐτῶν εἰς τὸν οὐρανὸν οἱ ἄγγελοι,  οἱ ποιμένες ἐλάλουν πρὸς",ἀλλήλους,· διέλθωμεν δὴ ἕως Βηθλέεμ καὶ ἴδωμεν τὸ ῥῆμα τοῦτο τὸ γεγονὸς ὃ ὁ κύριος ἐγνώρισεν ἡμῖν.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 4:36,καὶ ἐγένετο θάμβος  ἐπὶ πάντας καὶ συνελάλουν πρὸς,ἀλλήλους,λέγοντες· τίς ὁ λόγος οὗτος ὅτι ἐν ἐξουσίᾳ καὶ δυνάμει ἐπιτάσσει τοῖς ἀκαθάρτοις πνεύμασιν καὶ ἐξέρχονται;,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 6:11,αὐτοὶ δὲ ἐπλήσθησαν ἀνοίας καὶ διελάλουν πρὸς,ἀλλήλους,τί ἂν ποιήσαιεν τῷ Ἰησοῦ.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 7:32,ὅμοιοί εἰσιν παιδίοις τοῖς ἐν ἀγορᾷ καθημένοις καὶ προσφωνοῦσιν,ἀλλήλοις,"ἃ λέγει·        ηὐλήσαμεν ὑμῖν καὶ οὐκ ὠρχήσασθε,        ἐθρηνήσαμεν  καὶ οὐκ ἐκλαύσατε.",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 8:25,εἶπεν δὲ αὐτοῖς· ποῦ  ἡ πίστις ὑμῶν; φοβηθέντες δὲ ἐθαύμασαν λέγοντες πρὸς,ἀλλήλους,"· τίς ἄρα οὗτός ἐστιν ὅτι καὶ τοῖς ἀνέμοις ἐπιτάσσει καὶ τῷ ὕδατι, καὶ ὑπακούουσιν αὐτῷ;",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 12:1,"Ἐν οἷς ἐπισυναχθεισῶν τῶν μυριάδων τοῦ ὄχλου, ὥστε καταπατεῖν",ἀλλήλους,"ἤρξατο λέγειν πρὸς τοὺς μαθητὰς αὐτοῦ πρῶτον· προσέχετε ἑαυτοῖς ἀπὸ τῆς ζύμης, ἥτις ἐστὶν ὑπόκρισις, τῶν Φαρισαίων.",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 20:14,ἰδόντες δὲ αὐτὸν οἱ γεωργοὶ διελογίζοντο πρὸς,ἀλλήλους,"λέγοντες· οὗτός ἐστιν ὁ κληρονόμος·  ἀποκτείνωμεν αὐτόν, ἵνα ἡμῶν γένηται ἡ κληρονομία.",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 23:12,ἐγένοντο δὲ φίλοι ὅ τε Ἡρῴδης καὶ ὁ Πιλᾶτος ἐν αὐτῇ τῇ ἡμέρᾳ μετʼ,ἀλλήλων,· προϋπῆρχον γὰρ ἐν ἔχθρᾳ ὄντες πρὸς αὐτούς.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 24:14,καὶ αὐτοὶ ὡμίλουν πρὸς,ἀλλήλους,περὶ πάντων τῶν συμβεβηκότων τούτων.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 24:17,εἶπεν δὲ πρὸς αὐτούς· τίνες οἱ λόγοι οὗτοι οὓς ἀντιβάλλετε πρὸς,ἀλλήλους,περιπατοῦντες; καὶ ἐστάθησαν σκυθρωποί.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,Luke 24:32,καὶ εἶπαν πρὸς,ἀλλήλους,· οὐχὶ ἡ καρδία ἡμῶν καιομένη ἦν [ἐν ἡμῖν] ὡς ἐλάλει ἡμῖν ἐν τῇ,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 4:33,ἔλεγον οὖν οἱ μαθηταὶ πρὸς,ἀλλήλους,· μή τις ἤνεγκεν αὐτῷ φαγεῖν;,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 5:44,πῶς δύνασθε ὑμεῖς πιστεῦσαι δόξαν παρὰ,ἀλλήλων,"λαμβάνοντες, καὶ τὴν δόξαν τὴν παρὰ τοῦ μόνου θεοῦ οὐ ζητεῖτε;",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 6:43,ἀπεκρίθη  Ἰησοῦς καὶ εἶπεν αὐτοῖς· μὴ γογγύζετε μετʼ,ἀλλήλων,.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 6:52,Ἐμάχοντο οὖν πρὸς,ἀλλήλους,οἱ Ἰουδαῖοι λέγοντες· πῶς δύναται οὗτος ἡμῖν δοῦναι τὴν σάρκα [αὐτοῦ] φαγεῖν;,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 11:56,ἐζήτουν οὖν τὸν Ἰησοῦν καὶ ἔλεγον μετʼ,ἀλλήλων,ἐν τῷ ἱερῷ ἑστηκότες· τί δοκεῖ ὑμῖν; ὅτι οὐ μὴ ἔλθῃ εἰς τὴν ἑορτήν;,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 13:14,"εἰ οὖν ἐγὼ ἔνιψα ὑμῶν τοὺς πόδας ὁ κύριος καὶ ὁ διδάσκαλος,  καὶ ὑμεῖς ὀφείλετε",ἀλλήλων,νίπτειν τοὺς πόδας·,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 13:22,ἔβλεπον  εἰς,ἀλλήλους,οἱ μαθηταὶ  ἀπορούμενοι περὶ τίνος λέγει.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 13:34,"Ἐντολὴν καινὴν δίδωμι ὑμῖν, ἵνα ἀγαπᾶτε",ἀλλήλους,", καθὼς  ἠγάπησα ὑμᾶς ἵνα καὶ ὑμεῖς ἀγαπᾶτε ἀλλήλους.",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 13:34,"Ἐντολὴν καινὴν δίδωμι ὑμῖν, ἵνα ἀγαπᾶτε ἀλλήλους, καθὼς  ἠγάπησα ὑμᾶς ἵνα καὶ ὑμεῖς ἀγαπᾶτε",ἀλλήλους,.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 13:35,"ἐν τούτῳ γνώσονται πάντες ὅτι ἐμοὶ μαθηταί ἐστε, ἐὰν ἀγάπην ἔχητε ἐν",ἀλλήλοις,.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 15:12,"Αὕτη ἐστὶν ἡ ἐντολὴ ἡ ἐμή, ἵνα ἀγαπᾶτε",ἀλλήλους,καθὼς ἠγάπησα ὑμᾶς.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 15:17,"Ταῦτα ἐντέλλομαι ὑμῖν, ἵνα ἀγαπᾶτε",ἀλλήλους,.,ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 16:17,εἶπαν οὖν ἐκ τῶν μαθητῶν αὐτοῦ πρὸς,ἀλλήλους,"· τί ἐστιν τοῦτο ὃ λέγει ἡμῖν· μικρὸν καὶ οὐ θεωρεῖτέ με, καὶ πάλιν",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 16:19,"Ἔγνω [ὁ] Ἰησοῦς ὅτι ἤθελον αὐτὸν ἐρωτᾶν, καὶ εἶπεν αὐτοῖς· περὶ τούτου ζητεῖτε μετʼ",ἀλλήλων,"ὅτι εἶπον· μικρὸν καὶ οὐ θεωρεῖτέ με, καὶ πάλιν μικρὸν καὶ ὄψεσθέ με;",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
NA28,John 19:24,εἶπαν οὖν πρὸς,ἀλλήλους,"· μὴ σχίσωμεν αὐτόν, ἀλλὰ λάχωμεν περὶ αὐτοῦ τίνος ἔσται· ἵνα ἡ γραφὴ πληρωθῇ",ἀλλήλων,Louw Nida 92.26,αλλος,pronoun,—
