Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 8:27,ἐξελθόντι δὲ αὐτῷ ἐπὶ τὴν γῆν ὑπήντησεν,τις ἐκ τῆς πόλεως ἔχων δαιμόνια καὶ χρόνῳ ἱκανῷ οὐκ ἐνεδύσατο ἱμάτιον καὶ
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,John 4:18,πέντε γὰρ ἄνδρας ἔσχες καὶ νῦν ὃν ἔχεις οὐκ ἔστιν σου,· τοῦτο ἀληθὲς εἴρηκας.
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 25:14,"ὡς δὲ πλείους ἡμέρας διέτριβον ἐκεῖ, ὁ Φῆστος τῷ βασιλεῖ ἀνέθετο τὰ κατὰ τὸν Παῦλον λέγων·","τίς ἐστιν καταλελειμμένος ὑπὸ Φήλικος δέσμιος,"
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Romans 7:2,ἡ γὰρ ὕπανδρος γυνὴ τῷ ζῶντι ἀνδρὶ δέδεται νόμῳ· ἐὰν δὲ ἀποθάνῃ ὁ,", κατήργηται ἀπὸ τοῦ νόμου τοῦ ἀνδρός."
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Romans 7:3,ἄρα οὖν ζῶντος τοῦ ἀνδρὸς μοιχαλὶς χρηματίσει ἐὰν γένηται ἀνδρὶ ἑτέρῳ· ἐὰν δὲ ἀποθάνῃ ὁ,", ἐλευθέρα ἐστὶν ἀπὸ τοῦ νόμου, τοῦ μὴ εἶναι αὐτὴν μοιχαλίδα γενομένην ἀνδρὶ ἑτέρῳ."
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,1 Corinthians 7:4,ἡ γυνὴ τοῦ ἰδίου σώματος οὐκ ἐξουσιάζει ἀλλʼ ὁ,", ὁμοίως δὲ καὶ ὁ ἀνὴρ τοῦ ἰδίου σώματος οὐκ ἐξουσιάζει ἀλλʼ ἡ γυνή."
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,1 Corinthians 7:39,Γυνὴ δέδεται  ἐφʼ ὅσον χρόνον ζῇ ὁ ἀνὴρ αὐτῆς· ἐὰν δὲ  κοιμηθῇ ὁ,", ἐλευθέρα ἐστὶν ᾧ θέλει γαμηθῆναι, μόνον ἐν κυρίῳ."
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,1 Corinthians 13:11,"ὅτε ἤμην νήπιος, ἐλάλουν ὡς νήπιος, ἐφρόνουν ὡς νήπιος, ἐλογιζόμην ὡς νήπιος· ὅτε  γέγονα",", κατήργηκα τὰ τοῦ νηπίου."
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Ephesians 5:23,ὅτι,"ἐστιν κεφαλὴ τῆς γυναικὸς ὡς καὶ ὁ Χριστὸς κεφαλὴ τῆς ἐκκλησίας, αὐτὸς σωτὴρ τοῦ σώματος·"
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Titus 1:6,"εἴ τίς ἐστιν ἀνέγκλητος, μιᾶς γυναικὸς",", τέκνα ἔχων πιστά, μὴ ἐν κατηγορίᾳ ἀσωτίας ἢ ἀνυπότακτα."
ἀνήρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,1 Corinthians 11:3,"Θέλω δὲ ὑμᾶς εἰδέναι ὅτι παντὸς ἀνδρὸς ἡ κεφαλὴ ὁ Χριστός ἐστιν, κεφαλὴ δὲ γυναικὸς ὁ",", κεφαλὴ δὲ τοῦ Χριστοῦ ὁ θεός."
ἀνδράσιν,ἀνήρ,—,—,—,—,masculine,dative,plural,noun,Acts 25:23,μετὰ πολλῆς φαντασίας καὶ εἰσελθόντων εἰς τὸ ἀκροατήριον σύν τε χιλιάρχοις καὶ,τοῖς κατʼ ἐξοχὴν τῆς πόλεως καὶ κελεύσαντος τοῦ Φήστου ἤχθη ὁ Παῦλος.
ἀνδράσιν,ἀνήρ,—,—,—,—,masculine,dative,plural,noun,Ephesians 5:22,αἱ γυναῖκες τοῖς ἰδίοις,"ὡς τῷ κυρίῳ,"
ἀνδράσιν,ἀνήρ,—,—,—,—,masculine,dative,plural,noun,Ephesians 5:24,"ἀλλʼ ὡς ἡ ἐκκλησία ὑποτάσσεται τῷ Χριστῷ, οὕτως καὶ αἱ γυναῖκες τοῖς",ἐν παντί.
ἀνδράσιν,ἀνήρ,—,—,—,—,masculine,dative,plural,noun,Colossians 3:18,"Αἱ γυναῖκες, ὑποτάσσεσθε τοῖς",ὡς ἀνῆκεν ἐν κυρίῳ.
ἀνδράσιν,ἀνήρ,—,—,—,—,masculine,dative,plural,noun,Titus 2:5,"σώφρονας ἁγνὰς οἰκουργοὺς ἀγαθάς, ὑποτασσομένας τοῖς ἰδίοις",", ἵνα μὴ ὁ λόγος τοῦ θεοῦ  βλασφημῆται."
ἀνδράσιν,ἀνήρ,—,—,—,—,masculine,dative,plural,noun,1 Peter 3:1,"Ὁμοίως αἱ γυναῖκες, ὑποτασσόμεναι τοῖς ἰδίοις",", ἵνα καὶ εἴ τινες ἀπειθοῦσιν τῷ λόγῳ, διὰ τῆς τῶν γυναικῶν ἀναστροφῆς ἄνευ λόγου κερδηθήσονται"
ἀνδράσιν,ἀνήρ,—,—,—,—,masculine,dative,plural,noun,1 Peter 3:5,οὕτως γάρ ποτε καὶ αἱ ἅγιαι γυναῖκες αἱ ἐλπίζουσαι εἰς θεὸν ἐκόσμουν ἑαυτὰς ὑποτασσόμεναι τοῖς ἰδίοις,","
ἀνδρί,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,1 Corinthians 7:3,"τῇ γυναικὶ ὁ ἀνὴρ τὴν ὀφειλὴν ἀποδιδότω, ὁμοίως δὲ καὶ ἡ γυνὴ τῷ",.
ἀνδρί,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,1 Corinthians 7:34,"τῷ πνεύματι· ἡ δὲ γαμήσασα μεριμνᾷ τὰ τοῦ κόσμου, πῶς ἀρέσῃ τῷ",.
ἀνδρός,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,Acts 11:12,ἐμοὶ καὶ οἱ ἓξ ἀδελφοὶ οὗτοι καὶ εἰσήλθομεν εἰς τὸν οἶκον τοῦ,.
ἀνδρός,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,1 Corinthians 11:8,οὐ γάρ ἐστιν ἀνὴρ ἐκ γυναικὸς ἀλλὰ γυνὴ ἐξ,·
ἀνδρός,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,1 Corinthians 11:12,ὥσπερ γὰρ ἡ γυνὴ ἐκ τοῦ,", οὕτως καὶ ὁ ἀνὴρ διὰ τῆς γυναικός· τὰ δὲ πάντα ἐκ τοῦ θεοῦ."
ἀνδρός,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,1 Timothy 2:12,διδάσκειν δὲ γυναικὶ οὐκ ἐπιτρέπω οὐδὲ αὐθεντεῖν,", ἀλλʼ εἶναι ἐν ἡσυχίᾳ."
ἀνδρός,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,Romans 7:2,"δέδεται νόμῳ· ἐὰν δὲ ἀποθάνῃ ὁ ἀνήρ, κατήργηται ἀπὸ τοῦ νόμου τοῦ",.
ἀνδρός,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,1 Corinthians 11:7,Ἀνὴρ μὲν γὰρ οὐκ ὀφείλει κατακαλύπτεσθαι τὴν κεφαλὴν εἰκὼν καὶ δόξα θεοῦ ὑπάρχων· ἡ γυνὴ δὲ δόξα,ἐστιν.
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Matthew 7:24,"Πᾶς οὖν ὅστις ἀκούει μου τοὺς λόγους τούτους καὶ ποιεῖ αὐτούς, ὁμοιωθήσεται","φρονίμῳ, ὅστις ᾠκοδόμησεν αὐτοῦ τὴν οἰκίαν ἐπὶ τὴν πέτραν·"
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Matthew 7:26,Καὶ πᾶς ὁ ἀκούων μου τοὺς λόγους τούτους καὶ μὴ ποιῶν αὐτοὺς ὁμοιωθήσεται,μωρῷ ὅστις ᾠκοδόμησεν αὐτοῦ τὴν οἰκίαν ἐπὶ τὴν ἄμμον·
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Mark 10:2,Καὶ προσελθόντες Φαρισαῖοι ἐπηρώτων αὐτὸν εἰ ἔξεστιν,"γυναῖκα ἀπολῦσαι, πειράζοντες αὐτόν."
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Luke 1:27,πρὸς παρθένον ἐμνηστευμένην,ᾧ ὄνομα Ἰωσὴφ ἐξ οἴκου  Δαυὶδ καὶ τὸ ὄνομα τῆς παρθένου Μαριάμ.
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Luke 6:8,"αὐτὸς δὲ ᾔδει τοὺς διαλογισμοὺς αὐτῶν, εἶπεν δὲ τῷ",τῷ ξηρὰν ἔχοντι τὴν χεῖρα· ἔγειρε καὶ στῆθι εἰς τὸ μέσον· καὶ ἀναστὰς ἔστη.
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Luke 19:7,καὶ ἰδόντες πάντες διεγόγγυζον λέγοντες ὅτι παρὰ ἁμαρτωλῷ,εἰσῆλθεν καταλῦσαι.
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Acts 10:28,ἔφη τε πρὸς αὐτούς· ὑμεῖς  ἐπίστασθε ὡς ἀθέμιτόν ἐστιν,Ἰουδαίῳ κολλᾶσθαι ἢ προσέρχεσθαι  ἀλλοφύλῳ· κἀμοὶ ὁ θεὸς ἔδειξεν μηδένα κοινὸν ἢ ἀκάθαρτον λέγειν ἄνθρωπον·
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Acts 13:7,"ὃς ἦν σὺν τῷ ἀνθυπάτῳ Σεργίῳ Παύλῳ,",συνετῷ. οὗτος προσκαλεσάμενος Βαρναβᾶν καὶ Σαῦλον ἐπεζήτησεν ἀκοῦσαι τὸν λόγον τοῦ θεοῦ.
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Acts 17:31,"καθότι ἔστησεν ἡμέραν ἐν ᾗ μέλλει κρίνειν τὴν οἰκουμένην ἐν δικαιοσύνῃ, ἐν","ᾧ ὥρισεν, πίστιν παρασχὼν πᾶσιν ἀναστήσας αὐτὸν ἐκ νεκρῶν."
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Acts 25:5,"οἱ οὖν ἐν ὑμῖν, φησίν, δυνατοὶ συγκαταβάντες εἴ τί ἐστιν ἐν τῷ",ἄτοπον κατηγορείτωσαν αὐτοῦ.
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Romans 7:2,ἡ γὰρ ὕπανδρος γυνὴ τῷ ζῶντι,"δέδεται νόμῳ· ἐὰν δὲ ἀποθάνῃ ὁ ἀνήρ, κατήργηται ἀπὸ τοῦ νόμου τοῦ ἀνδρός."
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,1 Corinthians 7:11,"— ἐὰν δὲ καὶ χωρισθῇ, μενέτω ἄγαμος ἢ τῷ","καταλλαγήτω, — καὶ ἄνδρα γυναῖκα μὴ ἀφιέναι."
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,2 Corinthians 11:2,"ζηλῶ γὰρ ὑμᾶς θεοῦ ζήλῳ, ἡρμοσάμην γὰρ ὑμᾶς ἑνὶ",παρθένον ἁγνὴν παραστῆσαι τῷ Χριστῷ·
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,James 1:23,"ὅτι εἴ τις ἀκροατὴς λόγου ἐστὶν καὶ οὐ ποιητής, οὗτος ἔοικεν",κατανοοῦντι τὸ πρόσωπον τῆς γενέσεως αὐτοῦ ἐν ἐσόπτρῳ·
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Revelation 21:2,καταβαίνουσαν ἐκ τοῦ οὐρανοῦ ἀπὸ τοῦ θεοῦ ἡτοιμασμένην ὡς νύμφην κεκοσμημένην τῷ,αὐτῆς.
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Romans 7:3,ἄρα οὖν ζῶντος τοῦ ἀνδρὸς μοιχαλὶς χρηματίσει ἐὰν γένηται,"ἑτέρῳ· ἐὰν δὲ ἀποθάνῃ ὁ ἀνήρ, ἐλευθέρα ἐστὶν ἀπὸ τοῦ νόμου, τοῦ μὴ"
ἀνδρὶ,ἀνήρ,—,—,—,—,masculine,dative,singular,noun,Romans 7:3,"ἀνήρ, ἐλευθέρα ἐστὶν ἀπὸ τοῦ νόμου, τοῦ μὴ εἶναι αὐτὴν μοιχαλίδα γενομένην",ἑτέρῳ.
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,Luke 2:36,"Καὶ ἦν Ἅννα προφῆτις, θυγάτηρ Φανουήλ, ἐκ φυλῆς Ἀσήρ· αὕτη προβεβηκυῖα ἐν ἡμέραις πολλαῖς, ζήσασα μετὰ",ἔτη ἑπτὰ ἀπὸ τῆς παρθενίας αὐτῆς
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,Luke 16:18,"Πᾶς ὁ ἀπολύων τὴν γυναῖκα αὐτοῦ καὶ γαμῶν ἑτέραν μοιχεύει, καὶ  ὁ ἀπολελυμένην ἀπὸ",γαμῶν μοιχεύει.
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,John 1:13,οἳ οὐκ ἐξ αἱμάτων οὐδὲ ἐκ θελήματος σαρκὸς οὐδὲ ἐκ θελήματος,ἀλλʼ ἐκ θεοῦ ἐγεννήθησαν.
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,Acts 9:13,"ἀπεκρίθη δὲ Ἁνανίας· κύριε, ἤκουσα ἀπὸ πολλῶν περὶ τοῦ",τούτου ὅσα κακὰ τοῖς ἁγίοις σου ἐποίησεν ἐν Ἰερουσαλήμ·
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,Romans 7:3,ἄρα οὖν ζῶντος τοῦ,"μοιχαλὶς χρηματίσει ἐὰν γένηται ἀνδρὶ ἑτέρῳ· ἐὰν δὲ ἀποθάνῃ ὁ ἀνήρ, ἐλευθέρα ἐστὶν"
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,1 Corinthians 7:10,"Τοῖς δὲ γεγαμηκόσιν παραγγέλλω, οὐκ ἐγὼ ἀλλʼ ὁ κύριος, γυναῖκα ἀπὸ","μὴ χωρισθῆναι,"
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,1 Corinthians 11:11,πλὴν οὔτε γυνὴ χωρὶς,οὔτε ἀνὴρ χωρὶς γυναικὸς ἐν κυρίῳ· ὥσπερ
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,1 Timothy 5:9,"Χήρα καταλεγέσθω μὴ ἔλαττον ἐτῶν ἑξήκοντα γεγονυῖα, ἑνὸς","γυνή,"
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,James 1:20,ὀργὴ γὰρ,δικαιοσύνην θεοῦ οὐ κατεργάζεται.
ἀνδρὸς,ἀνήρ,—,—,—,—,masculine,genitive,singular,noun,1 Corinthians 11:3,Θέλω δὲ ὑμᾶς εἰδέναι ὅτι παντὸς,"ἡ κεφαλὴ ὁ Χριστός ἐστιν, κεφαλὴ δὲ γυναικὸς ὁ ἀνήρ, κεφαλὴ δὲ τοῦ Χριστοῦ ὁ θεός."
ἀνδρῶν,ἀνήρ,—,—,—,—,masculine,genitive,plural,noun,Luke 11:31,βασίλισσα νότου ἐγερθήσεται ἐν τῇ κρίσει μετὰ τῶν,"τῆς γενεᾶς ταύτης καὶ κατακρινεῖ αὐτούς, ὅτι ἦλθεν ἐκ τῶν περάτων τῆς γῆς"
ἀνδρῶν,ἀνήρ,—,—,—,—,masculine,genitive,plural,noun,Luke 14:24,λέγω γὰρ ὑμῖν ὅτι οὐδεὶς τῶν,ἐκείνων τῶν κεκλημένων γεύσεταί μου τοῦ δείπνου.
ἀνδρῶν,ἀνήρ,—,—,—,—,masculine,genitive,plural,noun,Acts 1:21,δεῖ οὖν τῶν συνελθόντων ἡμῖν,"ἐν παντὶ χρόνῳ ᾧ εἰσῆλθεν καὶ ἐξῆλθεν ἐφʼ ἡμᾶς ὁ κύριος Ἰησοῦς,"
ἀνδρῶν,ἀνήρ,—,—,—,—,masculine,genitive,plural,noun,Acts 4:4,πολλοὶ δὲ τῶν ἀκουσάντων τὸν λόγον ἐπίστευσαν καὶ ἐγενήθη [ὁ] ἀριθμὸς τῶν,[ὡς] χιλιάδες πέντε.
ἀνδρῶν,ἀνήρ,—,—,—,—,masculine,genitive,plural,noun,Acts 5:14,"μᾶλλον δὲ προσετίθεντο πιστεύοντες τῷ κυρίῳ, πλήθη","τε καὶ γυναικῶν,"
ἀνδρῶν,ἀνήρ,—,—,—,—,masculine,genitive,plural,noun,Acts 5:36,"πρὸ γὰρ τούτων τῶν ἡμερῶν ἀνέστη Θευδᾶς λέγων εἶναί τινα ἑαυτόν, ᾧ προσεκλίθη","ἀριθμὸς ὡς τετρακοσίων· ὃς ἀνῃρέθη , καὶ πάντες ὅσοι ἐπείθοντο αὐτῷ διελύθησαν καὶ ἐγένοντο εἰς οὐδέν."
ἀνδρῶν,ἀνήρ,—,—,—,—,masculine,genitive,plural,noun,Acts 17:12,πολλοὶ μὲν οὖν ἐξ αὐτῶν ἐπίστευσαν  καὶ τῶν Ἑλληνίδων γυναικῶν τῶν εὐσχημόνων καὶ,οὐκ ὀλίγοι.
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Matthew 1:19,Ἰωσὴφ δὲ ὁ,"αὐτῆς, δίκαιος ὢν καὶ μὴ θέλων αὐτὴν δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν."
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 5:8,"Ἰδὼν δὲ Σίμων Πέτρος προσέπεσεν τοῖς γόνασιν  Ἰησοῦ λέγων·  ἔξελθε ἀπʼ ἐμοῦ, ὅτι","ἁμαρτωλός εἰμι, κύριε."
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 5:12,Καὶ ἐγένετο ἐν τῷ εἶναι αὐτὸν ἐν μιᾷ τῶν πόλεων καὶ ἰδοὺ,"πλήρης λέπρας· ἰδὼν δὲ τὸν Ἰησοῦν, πεσὼν ἐπὶ πρόσωπον ἐδεήθη αὐτοῦ λέγων· κύριε"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 8:38,ἐδεῖτο δὲ αὐτοῦ ὁ,ἀφʼ οὗ ἐξεληλύθει τὰ δαιμόνια εἶναι σὺν αὐτῷ· ἀπέλυσεν δὲ αὐτὸν λέγων·
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 8:41,καὶ ἰδοὺ ἦλθεν,"ᾧ ὄνομα Ἰάϊρος καὶ οὗτος ἄρχων τῆς συναγωγῆς ὑπῆρχεν, καὶ πεσὼν παρὰ τοὺς"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 9:38,καὶ ἰδοὺ,"ἀπὸ τοῦ ὄχλου ἐβόησεν λέγων· διδάσκαλε, δέομαί σου ἐπιβλέψαι ἐπὶ τὸν υἱόν μου, ὅτι μονογενής μοί ἐστιν,"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 19:2,Καὶ ἰδοὺ,"ὀνόματι καλούμενος Ζακχαῖος, καὶ αὐτὸς ἦν ἀρχιτελώνης καὶ αὐτὸς πλούσιος·"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 23:50,Καὶ ἰδοὺ,ὀνόματι Ἰωσὴφ βουλευτὴς ὑπάρχων [καὶ] ἀνὴρ ἀγαθὸς καὶ δίκαιος
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 23:50,Καὶ ἰδοὺ ἀνὴρ ὀνόματι Ἰωσὴφ βουλευτὴς ὑπάρχων [καὶ],ἀγαθὸς καὶ δίκαιος
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Luke 24:19,"καὶ εἶπεν αὐτοῖς· ποῖα; οἱ δὲ εἶπαν αὐτῷ· τὰ περὶ Ἰησοῦ τοῦ Ναζαρηνοῦ, ὃς ἐγένετο","προφήτης δυνατὸς ἐν ἔργῳ καὶ λόγῳ ἐναντίον τοῦ θεοῦ καὶ παντὸς τοῦ λαοῦ,"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,John 1:30,οὗτός ἐστιν ὑπὲρ οὗ ἐγὼ εἶπον· ὀπίσω μου ἔρχεται,"ὃς ἔμπροσθέν μου γέγονεν, ὅτι πρῶτός μου ἦν."
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 3:2,καί  τις,"χωλὸς ἐκ κοιλίας μητρὸς αὐτοῦ ὑπάρχων ἐβαστάζετο, ὃν ἐτίθουν καθʼ ἡμέραν πρὸς τὴν"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 8:27,καὶ ἀναστὰς ἐπορεύθη. καὶ ἰδοὺ,"Αἰθίοψ εὐνοῦχος δυνάστης Κανδάκης βασιλίσσης Αἰθιόπων, ὃς ἦν ἐπὶ πάσης τῆς γάζης αὐτῆς"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 10:22,"οἱ δὲ εἶπαν· Κορνήλιος  ἑκατοντάρχης,","δίκαιος καὶ φοβούμενος τὸν θεόν, μαρτυρούμενός τε ὑπὸ ὅλου τοῦ ἔθνους τῶν Ἰουδαίων"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 10:30,"τῆς ὥρας ἤμην τὴν ἐνάτην προσευχόμενος ἐν τῷ οἴκῳ μου, καὶ ἰδοὺ",ἔστη ἐνώπιόν μου ἐν ἐσθῆτι λαμπρᾷ
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 11:24,ὅτι ἦν,ἀγαθὸς καὶ πλήρης πνεύματος ἁγίου καὶ πίστεως. καὶ προσετέθη ὄχλος ἱκανὸς τῷ κυρίῳ.
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 14:8,Καί τις,"ἀδύνατος ἐν Λύστροις τοῖς ποσὶν ἐκάθητο, χωλὸς ἐκ κοιλίας μητρὸς αὐτοῦ ὃς οὐδέποτε περιεπάτησεν."
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 16:9,"Καὶ ὅραμα διὰ [τῆς] νυκτὸς τῷ Παύλῳ ὤφθη,",Μακεδών τις ἦν ἑστὼς καὶ παρακαλῶν αὐτὸν καὶ λέγων· διαβὰς εἰς Μακεδονίαν βοήθησον ἡμῖν.
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 18:24,"Ἰουδαῖος δέ τις Ἀπολλῶς ὀνόματι, Ἀλεξανδρεὺς τῷ γένει,","λόγιος, κατήντησεν εἰς Ἔφεσον, δυνατὸς ὢν ἐν ταῖς γραφαῖς."
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 22:3,ἐγώ  εἰμι,"Ἰουδαῖος, γεγεννημένος ἐν Ταρσῷ τῆς Κιλικίας, ἀνατεθραμμένος δὲ ἐν τῇ πόλει ταύτῃ, παρὰ"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Acts 22:12,"Ἁνανίας δέ τις,","εὐλαβὴς κατὰ τὸν νόμον, μαρτυρούμενος ὑπὸ πάντων τῶν κατοικούντων Ἰουδαίων,"
ἀνὴρ,ἀνήρ,—,—,—,—,masculine,nominative,singular,noun,Romans 4:8,μακάριος,οὗ οὐ μὴ λογίσηται κύριος ἁμαρτίαν.
