Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀπέλθητε,ἀπέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 10:5,Τούτους τοὺς δώδεκα ἀπέστειλεν ὁ Ἰησοῦς παραγγείλας αὐτοῖς λέγων· εἰς ὁδὸν ἐθνῶν μὴ,καὶ εἰς πόλιν Σαμαριτῶν μὴ εἰσέλθητε·
ἀπέλθητε,ἀπέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Luke 17:23,"καὶ ἐροῦσιν ὑμῖν· ἰδοὺ ἐκεῖ, [ἤ] ἰδοὺ ὧδε· μὴ",μηδὲ διώξητε.
ἀπέλθω,ἀπέρχομαι,aorist,active,subjunctive,first person,—,—,singular,verb,John 16:7,"ἀλλʼ ἐγὼ τὴν ἀλήθειαν λέγω ὑμῖν, συμφέρει ὑμῖν ἵνα ἐγὼ",". ἐὰν γὰρ  μὴ ἀπέλθω, ὁ παράκλητος οὐκ ἐλεύσεται πρὸς ὑμᾶς· ἐὰν δὲ πορευθῶ, πέμψω αὐτὸν πρὸς ὑμᾶς."
ἀπέλθω,ἀπέρχομαι,aorist,active,subjunctive,first person,—,—,singular,verb,John 16:7,"ἀλλʼ ἐγὼ τὴν ἀλήθειαν λέγω ὑμῖν, συμφέρει ὑμῖν ἵνα ἐγὼ ἀπέλθω. ἐὰν γὰρ  μὴ",", ὁ παράκλητος οὐκ ἐλεύσεται πρὸς ὑμᾶς· ἐὰν δὲ πορευθῶ, πέμψω αὐτὸν πρὸς ὑμᾶς."
ἀπέλθωσιν,ἀπέρχομαι,aorist,active,subjunctive,third person,—,—,plural,verb,Matthew 28:10,τότε λέγει αὐταῖς ὁ Ἰησοῦς· μὴ φοβεῖσθε· ὑπάγετε ἀπαγγείλατε τοῖς ἀδελφοῖς μου ἵνα,"εἰς τὴν Γαλιλαίαν, κἀκεῖ με ὄψονται."
ἀπέλθῃ,ἀπέρχομαι,aorist,active,subjunctive,third person,—,—,singular,verb,Matthew 5:30,ἓν τῶν μελῶν σου καὶ μὴ ὅλον τὸ σῶμά σου εἰς γέενναν,.
ἀπέρχεσθαι,ἀπέρχομαι,present,either middle or passive,infinitive,—,—,—,—,verb,Acts 23:32,τῇ δὲ ἐπαύριον ἐάσαντες τοὺς ἱππεῖς,σὺν αὐτῷ ὑπέστρεψαν εἰς τὴν παρεμβολήν·
ἀπέρχῃ,ἀπέρχομαι,present,either middle or passive,subjunctive,second person,—,—,singular,verb,Matthew 8:19,"καὶ προσελθὼν εἷς γραμματεὺς εἶπεν αὐτῷ· διδάσκαλε, ἀκολουθήσω σοι ὅπου ἐὰν",.
ἀπέρχῃ,ἀπέρχομαι,present,either middle or passive,subjunctive,second person,—,—,singular,verb,Luke 9:57,Καὶ πορευομένων αὐτῶν ἐν τῇ ὁδῷ εἶπέν τις πρὸς αὐτόν· ἀκολουθήσω σοι ὅπου ἐὰν,.
ἀπελήλυθεν,ἀπέρχομαι,perfect,active,indicative,third person,—,—,singular,verb,James 1:24,κατενόησεν γὰρ ἑαυτὸν καὶ,καὶ εὐθέως ἐπελάθετο ὁποῖος ἦν.
