Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀπέσταλκέν,ἀποστέλλω,perfect,active,indicative,third person,—,—,singular,verb,Luke 4:18,"πνεῦμα κυρίου ἐπʼ ἐμὲ           οὗ εἵνεκεν ἔχρισέν με        εὐαγγελίσασθαι πτωχοῖς,","με,        κηρύξαι αἰχμαλώτοις ἄφεσιν           καὶ τυφλοῖς ἀνάβλεψιν,        ἀποστεῖλαι τεθραυσμένους ἐν ἀφέσει,"
ἀπέσταλκέν,ἀποστέλλω,perfect,active,indicative,third person,—,—,singular,verb,John 20:21,εἶπεν οὖν αὐτοῖς [ὁ Ἰησοῦς] πάλιν· εἰρήνη ὑμῖν· καθὼς,"με ὁ πατήρ, κἀγὼ πέμπω ὑμᾶς."
ἀπέσταλκέν,ἀποστέλλω,perfect,active,indicative,third person,—,—,singular,verb,Acts 9:17,"οἰκίαν καὶ ἐπιθεὶς ἐπʼ αὐτὸν τὰς χεῖρας εἶπεν· Σαοὺλ ἀδελφέ, ὁ κύριος","με, Ἰησοῦς ὁ ὀφθείς σοι ἐν τῇ ὁδῷ ᾗ ἤρχου, ὅπως ἀναβλέψῃς καὶ πλησθῇς πνεύματος ἁγίου."
ἀπέσταλκα,ἀποστέλλω,perfect,active,indicative,first person,—,—,singular,verb,Acts 10:20,ἀλλʼ ἀναστὰς κατάβηθι καὶ πορεύου σὺν αὐτοῖς μηδὲν διακρινόμενος ὅτι ἐγὼ,αὐτούς.
ἀπέσταλκα,ἀποστέλλω,perfect,active,indicative,first person,—,—,singular,verb,2 Corinthians 12:17,μή τινα ὧν,"πρὸς ὑμᾶς, διʼ αὐτοῦ ἐπλεονέκτησα ὑμᾶς;"
ἀπέσταλκαν,ἀποστέλλω,perfect,active,indicative,third person,—,—,plural,verb,Acts 16:36,ἀπήγγειλεν δὲ ὁ δεσμοφύλαξ τοὺς λόγους [τούτους] πρὸς τὸν Παῦλον ὅτι,οἱ στρατηγοὶ ἵνα ἀπολυθῆτε· νῦν οὖν ἐξελθόντες πορεύεσθε ἐν εἰρήνῃ.
ἀπέσταλκεν,ἀποστέλλω,perfect,active,indicative,third person,—,—,singular,verb,John 5:36,αὐτὰ τὰ ἔργα ἃ ποιῶ μαρτυρεῖ περὶ ἐμοῦ ὅτι ὁ πατήρ με,.
ἀπέσταλκεν,ἀποστέλλω,perfect,active,indicative,third person,—,—,singular,verb,Acts 7:35,σε κατέστησεν ἄρχοντα καὶ δικαστήν; τοῦτον ὁ θεὸς [καὶ] ἄρχοντα καὶ λυτρωτὴν,σὺν χειρὶ ἀγγέλου τοῦ ὀφθέντος αὐτῷ ἐν τῇ βάτῳ.
ἀπέσταλκεν,ἀποστέλλω,perfect,active,indicative,third person,—,—,singular,verb,1 John 4:9,"ἐν τούτῳ ἐφανερώθη ἡ ἀγάπη τοῦ θεοῦ ἐν ἡμῖν,        ὅτι τὸν υἱὸν αὐτοῦ τὸν μονογενῆ","ὁ θεὸς        εἰς τὸν κόσμον, ἵνα ζήσωμεν διʼ αὐτοῦ."
ἀπέσταλκεν,ἀποστέλλω,perfect,active,indicative,third person,—,—,singular,verb,1 John 4:14,καὶ ἡμεῖς τεθεάμεθα καὶ μαρτυροῦμεν ὅτι ὁ πατὴρ,τὸν υἱὸν σωτῆρα τοῦ κόσμου.ὃς
