Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀποστόλοις,ἀπόστολος,—,—,—,—,masculine,dative,plural,noun,Acts 1:2,ἄχρι ἧς ἡμέρας  ἐντειλάμενος τοῖς,διὰ πνεύματος ἁγίου οὓς ἐξελέξατο ἀνελήμφθη.
ἀποστόλοις,ἀπόστολος,—,—,—,—,masculine,dative,plural,noun,Acts 14:4,"ἐσχίσθη δὲ τὸ πλῆθος τῆς πόλεως, καὶ οἱ μὲν ἦσαν σὺν τοῖς Ἰουδαίοις, οἱ δὲ σὺν τοῖς",.
ἀποστόλοις,ἀπόστολος,—,—,—,—,masculine,dative,plural,noun,Acts 15:22,Τότε ἔδοξεν τοῖς,καὶ τοῖς πρεσβυτέροις σὺν ὅλῃ τῇ ἐκκλησίᾳ ἐκλεξαμένους ἄνδρας ἐξ αὐτῶν πέμψαι εἰς
ἀποστόλοις,ἀπόστολος,—,—,—,—,masculine,dative,plural,noun,Romans 16:7,"ἀσπάσασθε Ἀνδρόνικον καὶ Ἰουνίαν τοὺς συγγενεῖς μου καὶ  συναιχμαλώτους μου, οἵτινές εἰσιν ἐπίσημοι ἐν τοῖς",", οἳ καὶ πρὸ ἐμοῦ γέγοναν ἐν Χριστῷ."
ἀποστόλοις,ἀπόστολος,—,—,—,—,masculine,dative,plural,noun,1 Corinthians 15:7,ἔπειτα ὤφθη Ἰακώβῳ εἶτα τοῖς,πᾶσιν·
ἀποστόλοις,ἀπόστολος,—,—,—,—,masculine,dative,plural,noun,Ephesians 3:5,ὃ ἑτέραις γενεαῖς οὐκ ἐγνωρίσθη τοῖς υἱοῖς τῶν ἀνθρώπων ὡς νῦν ἀπεκαλύφθη τοῖς ἁγίοις,"αὐτοῦ καὶ προφήταις ἐν πνεύματι,"
ἀποστόλου,ἀπόστολος,—,—,—,—,masculine,genitive,singular,noun,2 Corinthians 12:12,τὰ μὲν σημεῖα τοῦ,"κατειργάσθη ἐν ὑμῖν ἐν πάσῃ ὑπομονῇ, σημείοις τε καὶ τέρασιν καὶ δυνάμεσιν."
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Mark 3:14,Καὶ ἐποίησεν δώδεκα [οὓς καὶ,ὠνόμασεν] ἵνα ὦσιν μετʼ αὐτοῦ καὶ ἵνα ἀποστέλλῃ αὐτοὺς κηρύσσειν
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Luke 6:13,"Καὶ ὅτε ἐγένετο ἡμέρα, προσεφώνησεν τοὺς μαθητὰς αὐτοῦ, καὶ ἐκλεξάμενος ἀπʼ αὐτῶν δώδεκα, οὓς καὶ",ὠνόμασεν·
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Luke 11:49,διὰ τοῦτο καὶ ἡ σοφία τοῦ θεοῦ εἶπεν· ἀποστελῶ εἰς αὐτοὺς προφήτας καὶ,", καὶ ἐξ αὐτῶν ἀποκτενοῦσιν καὶ διώξουσιν,"
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Luke 24:10,καὶ Μαρία ἡ Ἰακώβου καὶ αἱ λοιπαὶ σὺν αὐταῖς. ἔλεγον πρὸς τοὺς,"ταῦτα,"
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Acts 2:37,Ἀκούσαντες δὲ κατενύγησαν τὴν καρδίαν εἶπόν τε πρὸς τὸν Πέτρον καὶ τοὺς λοιποὺς,"· τί  ποιήσωμεν, ἄνδρες ἀδελφοί ;"
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Acts 5:18,καὶ ἐπέβαλον τὰς χεῖρας  ἐπὶ τοὺς,καὶ ἔθεντο αὐτοὺς ἐν τηρήσει δημοσίᾳ.
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Acts 5:40,καὶ προσκαλεσάμενοι τοὺς,δείραντες παρήγγειλαν μὴ λαλεῖν ἐπὶ τῷ ὀνόματι τοῦ Ἰησοῦ καὶ ἀπέλυσαν.
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Acts 9:27,Βαρναβᾶς δὲ ἐπιλαβόμενος αὐτὸν ἤγαγεν πρὸς τοὺς,καὶ διηγήσατο αὐτοῖς πῶς ἐν τῇ ὁδῷ εἶδεν τὸν κύριον καὶ ὅτι ἐλάλησεν
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,Acts 15:2,ἔταξαν ἀναβαίνειν Παῦλον καὶ Βαρναβᾶν καί τινας ἄλλους ἐξ αὐτῶν πρὸς τοὺς,καὶ πρεσβυτέρους εἰς Ἰερουσαλὴμ  περὶ τοῦ ζητήματος τούτου.
ἀποστόλους,ἀπόστολος,—,—,—,—,masculine,accusative,plural,noun,1 Corinthians 4:9,"δοκῶ γάρ,  ὁ θεὸς ἡμᾶς τοὺς","ἐσχάτους ἀπέδειξεν ὡς ἐπιθανατίους, ὅτι θέατρον ἐγενήθημεν τῷ κόσμῳ καὶ ἀγγέλοις καὶ ἀνθρώποις."
