Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,Matthew 26:57,Οἱ δὲ κρατήσαντες τὸν Ἰησοῦν ἀπήγαγον πρὸς Καϊάφαν τὸν,", ὅπου οἱ γραμματεῖς καὶ οἱ πρεσβύτεροι συνήχθησαν."
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,Mark 14:53,Καὶ ἀπήγαγον τὸν Ἰησοῦν πρὸς τὸν,", καὶ συνέρχονται  πάντες οἱ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι καὶ οἱ γραμματεῖς."
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,John 18:24,ἀπέστειλεν οὖν αὐτὸν ὁ Ἅννας δεδεμένον πρὸς Καϊάφαν τὸν,.
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,Acts 23:4,οἱ δὲ παρεστῶτες εἶπαν· τὸν,τοῦ θεοῦ λοιδορεῖς;
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,Hebrews 3:1,"Ὅθεν, ἀδελφοὶ ἅγιοι, κλήσεως ἐπουρανίου μέτοχοι, κατανοήσατε τὸν ἀπόστολον καὶ","τῆς ὁμολογίας ἡμῶν Ἰησοῦν,"
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,Hebrews 4:14,Ἔχοντες οὖν,"μέγαν διεληλυθότα τοὺς οὐρανούς, Ἰησοῦν τὸν υἱὸν τοῦ θεοῦ, κρατῶμεν τῆς ὁμολογίας."
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,Hebrews 4:15,οὐ γὰρ ἔχομεν,"μὴ δυνάμενον συμπαθῆσαι ταῖς ἀσθενείαις ἡμῶν, πεπειρασμένον δὲ κατὰ πάντα καθʼ ὁμοιότητα χωρὶς ἁμαρτίας."
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,Hebrews 5:5,Οὕτως καὶ ὁ Χριστὸς οὐχ ἑαυτὸν ἐδόξασεν γενηθῆναι,"ἀλλʼ ὁ λαλήσας πρὸς αὐτόν·      υἱός μου εἶ σύ, ἐγὼ σήμερον γεγέννηκά σε·"
ἀρχιερέα,ἀρχιερεύς,—,—,—,—,masculine,accusative,singular,noun,Hebrews 8:1,"Κεφάλαιον δὲ ἐπὶ τοῖς λεγομένοις, τοιοῦτον ἔχομεν",", ὃς ἐκάθισεν ἐν δεξιᾷ τοῦ θρόνου τῆς μεγαλωσύνης ἐν τοῖς οὐρανοῖς,"
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Matthew 16:21,δεῖ αὐτὸν εἰς Ἱεροσόλυμα ἀπελθεῖν καὶ πολλὰ παθεῖν ἀπὸ τῶν πρεσβυτέρων καὶ,καὶ γραμματέων  καὶ ἀποκτανθῆναι καὶ τῇ τρίτῃ ἡμέρᾳ ἐγερθῆναι.
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Matthew 26:47,ἦλθεν καὶ μετʼ αὐτοῦ ὄχλος πολὺς μετὰ μαχαιρῶν καὶ ξύλων ἀπὸ τῶν,καὶ πρεσβυτέρων τοῦ λαοῦ.
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Matthew 27:12,καὶ ἐν τῷ κατηγορεῖσθαι αὐτὸν ὑπὸ τῶν,καὶ πρεσβυτέρων οὐδὲν ἀπεκρίνατο.
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Mark 8:31,υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ὑπὸ τῶν πρεσβυτέρων καὶ τῶν,καὶ τῶν γραμματέων καὶ ἀποκτανθῆναι καὶ μετὰ τρεῖς ἡμέρας ἀναστῆναι·
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Mark 14:43,τῶν δώδεκα καὶ μετʼ αὐτοῦ ὄχλος μετὰ μαχαιρῶν καὶ ξύλων παρὰ τῶν,καὶ τῶν γραμματέων καὶ τῶν πρεσβυτέρων.
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Luke 9:22,εἰπὼν ὅτι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ἀπὸ τῶν πρεσβυτέρων καὶ,καὶ γραμματέων καὶ ἀποκτανθῆναι καὶ τῇ τρίτῃ ἡμέρᾳ ἐγερθῆναι.
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,John 18:3,ὁ οὖν Ἰούδας λαβὼν τὴν σπεῖραν καὶ ἐκ τῶν,καὶ ἐκ τῶν Φαρισαίων ὑπηρέτας ἔρχεται ἐκεῖ μετὰ φανῶν καὶ λαμπάδων καὶ ὅπλων.
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Acts 9:14,καὶ ὧδε ἔχει ἐξουσίαν παρὰ τῶν,δῆσαι πάντας τοὺς ἐπικαλουμένους τὸ ὄνομά σου.
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Acts 26:10,"ὃ καὶ ἐποίησα ἐν Ἱεροσολύμοις, καὶ πολλούς τε τῶν ἁγίων ἐγὼ ἐν φυλακαῖς κατέκλεισα τὴν παρὰ τῶν",ἐξουσίαν λαβὼν ἀναιρουμένων τε αὐτῶν κατήνεγκα ψῆφον.
ἀρχιερέων,ἀρχιερεύς,—,—,—,—,masculine,genitive,plural,noun,Acts 26:12,Ἐν οἷς  πορευόμενος εἰς τὴν Δαμασκὸν μετʼ ἐξουσίας καὶ ἐπιτροπῆς τῆς  τῶν,""
ἀρχιερέως,ἀρχιερεύς,—,—,—,—,masculine,genitive,singular,noun,Matthew 26:3,Τότε συνήχθησαν οἱ ἀρχιερεῖς  καὶ οἱ πρεσβύτεροι τοῦ λαοῦ εἰς τὴν αὐλὴν τοῦ,τοῦ λεγομένου Καϊάφα
