Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀσπάζεσθαι,ἀσπάζομαι,present,either middle or passive,infinitive,—,—,—,—,verb,Mark 15:18,καὶ ἤρξαντο,"αὐτόν· χαῖρε, βασιλεῦ τῶν Ἰουδαίων·"
ἀσπάζεται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,Romans 16:23,—,ὑμᾶς Γάϊος ὁ ξένος μου καὶ ὅλης τῆς ἐκκλησίας. ἀσπάζεται ὑμᾶς Ἔραστος ὁ
ἀσπάζεται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,Romans 16:23,ἀσπάζεται ὑμᾶς Γάϊος ὁ ξένος μου καὶ ὅλης τῆς ἐκκλησίας.,ὑμᾶς Ἔραστος ὁ οἰκονόμος τῆς πόλεως καὶ Κούαρτος ὁ ἀδελφός.
ἀσπάζεται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,1 Corinthians 16:19,Ἀσπάζονται ὑμᾶς αἱ ἐκκλησίαι τῆς Ἀσίας.,ὑμᾶς ἐν κυρίῳ πολλὰ Ἀκύλας καὶ Πρίσκα σὺν τῇ κατʼ οἶκον αὐτῶν ἐκκλησίᾳ.
ἀσπάζεται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,Colossians 4:12,—,"ὑμᾶς Ἐπαφρᾶς ὁ ἐξ ὑμῶν, δοῦλος Χριστοῦ [Ἰησοῦ], πάντοτε ἀγωνιζόμενος ὑπὲρ ὑμῶν ἐν"
ἀσπάζεται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,Colossians 4:14,—,ὑμᾶς Λουκᾶς ὁ ἰατρὸς ὁ ἀγαπητὸς καὶ Δημᾶς.
ἀσπάζεται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,1 Peter 5:13,—,ὑμᾶς ἡ ἐν Βαβυλῶνι  συνεκλεκτὴ καὶ Μᾶρκος ὁ υἱός μου.
ἀσπάζομαι,ἀσπάζομαι,present,either middle or passive,indicative,first person,—,—,singular,verb,Romans 16:22,—,ὑμᾶς ἐγὼ Τέρτιος ὁ γράψας τὴν ἐπιστολὴν ἐν κυρίῳ.
ἀσπάζονταί,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,plural,verb,3 John 15,Εἰρήνη σοι.,σε οἱ φίλοι. ἀσπάζου τοὺς φίλους κατʼ ὄνομα.
ἀσπάζονται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,plural,verb,Romans 16:16,ἀσπάσασθε ἀλλήλους ἐν φιλήματι ἁγίῳ.,ὑμᾶς αἱ ἐκκλησίαι πᾶσαι τοῦ Χριστοῦ.
ἀσπάζονται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,plural,verb,1 Corinthians 16:20,—,ὑμᾶς οἱ ἀδελφοὶ πάντες. Ἀσπάσασθε ἀλλήλους ἐν φιλήματι ἁγίῳ.
ἀσπάζονται,ἀσπάζομαι,present,either middle or passive,indicative,third person,—,—,plural,verb,Philippians 4:21,Ἀσπάσασθε πάντα ἅγιον ἐν Χριστῷ Ἰησοῦ.,ὑμᾶς οἱ σὺν ἐμοὶ ἀδελφοί.
