Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀφέθησαν,ἀφίημι,aorist,passive,indicative,third person,—,—,plural,verb,Romans 4:7,μακάριοι ὧν,αἱ ἀνομίαι        καὶ ὧν ἐπεκαλύφθησαν αἱ ἁμαρτίαι·
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 4:20,οἱ δὲ εὐθέως,τὰ δίκτυα  ἠκολούθησαν αὐτῷ.
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 4:22,οἱ δὲ εὐθέως,τὸ πλοῖον καὶ τὸν πατέρα αὐτῶν ἠκολούθησαν αὐτῷ.
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 22:22,"καὶ ἀκούσαντες ἐθαύμασαν, καὶ",αὐτὸν ἀπῆλθαν.
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Matthew 26:56,τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῶσιν αἱ γραφαὶ τῶν προφητῶν. Τότε οἱ μαθηταὶ  πάντες,αὐτὸν ἔφυγον.
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Mark 1:18,καὶ εὐθὺς,τὰ δίκτυα ἠκολούθησαν αὐτῷ.
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Mark 1:20,καὶ εὐθὺς ἐκάλεσεν αὐτούς. καὶ,τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Mark 4:36,καὶ,"τὸν ὄχλον παραλαμβάνουσιν αὐτὸν ὡς ἦν ἐν τῷ πλοίῳ, καὶ ἄλλα πλοῖα ἦν μετʼ αὐτοῦ."
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Mark 7:8,—,τὴν ἐντολὴν τοῦ θεοῦ κρατεῖτε τὴν παράδοσιν τῶν ἀνθρώπων.
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Mark 12:12,"Καὶ ἐζήτουν αὐτὸν κρατῆσαι, καὶ ἐφοβήθησαν τὸν ὄχλον, ἔγνωσαν γὰρ ὅτι πρὸς αὐτοὺς τὴν παραβολὴν εἶπεν. καὶ",αὐτὸν ἀπῆλθον.
ἀφέντες,ἀφίημι,aorist,active,participle,—,masculine,nominative,plural,verb,Mark 14:50,Καὶ,αὐτὸν ἔφυγον πάντες.
