Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἁμάρτανε,ἁμαρτάνω,present,active,imperative,second person,—,—,singular,verb,John 5:14,"μετὰ ταῦτα εὑρίσκει αὐτὸν ὁ Ἰησοῦς ἐν τῷ ἱερῷ καὶ εἶπεν αὐτῷ· ἴδε ὑγιὴς γέγονας, μηκέτι",", ἵνα μὴ χεῖρόν σοί τι γένηται."
ἁμάρτανε,ἁμαρτάνω,present,active,imperative,second person,—,—,singular,verb,John 8:11,"ὁ Ἰησοῦς· οὐδὲ ἐγώ σε κατακρίνω· πορεύου, [καὶ] ἀπὸ τοῦ νῦν μηκέτι",.⟧
ἁμάρτητε,ἁμαρτάνω,aorist,active,subjunctive,second person,—,—,plural,verb,1 John 2:1,"Τεκνία μου, ταῦτα γράφω ὑμῖν ἵνα μὴ",". καὶ ἐάν τις ἁμάρτῃ, παράκλητον ἔχομεν πρὸς τὸν πατέρα Ἰησοῦν Χριστὸν δίκαιον·"
ἁμάρτῃ,ἁμαρτάνω,aorist,active,subjunctive,third person,—,—,singular,verb,Luke 17:3,προσέχετε ἑαυτοῖς.  Ἐὰν,"ὁ ἀδελφός σου ἐπιτίμησον αὐτῷ,  καὶ ἐὰν μετανοήσῃ ἄφες αὐτῷ."
ἁμάρτῃ,ἁμαρτάνω,aorist,active,subjunctive,third person,—,—,singular,verb,1 John 2:1,"Τεκνία μου, ταῦτα γράφω ὑμῖν ἵνα μὴ ἁμάρτητε. καὶ ἐάν τις",", παράκλητον ἔχομεν πρὸς τὸν πατέρα Ἰησοῦν Χριστὸν δίκαιον·"
ἁμαρτάνει,ἁμαρτάνω,present,active,indicative,third person,—,—,singular,verb,1 Corinthians 6:18,ἄνθρωπος ἐκτὸς τοῦ σώματός ἐστιν· ὁ δὲ πορνεύων εἰς τὸ ἴδιον σῶμα,.
ἁμαρτάνει,ἁμαρτάνω,present,active,indicative,third person,—,—,singular,verb,1 Corinthians 7:36,"νομίζει, ἐὰν ᾖ ὑπέρακμος καὶ οὕτως ὀφείλει γίνεσθαι, ὃ θέλει ποιείτω, οὐχ",", γαμείτωσαν."
ἁμαρτάνει,ἁμαρτάνω,present,active,indicative,third person,—,—,singular,verb,Titus 3:11,εἰδὼς ὅτι ἐξέστραπται ὁ τοιοῦτος καὶ,ὢν αὐτοκατάκριτος.
ἁμαρτάνει,ἁμαρτάνω,present,active,indicative,third person,—,—,singular,verb,1 John 3:6,πᾶς ὁ ἐν αὐτῷ μένων οὐχ,· πᾶς ὁ ἁμαρτάνων οὐχ ἑώρακεν αὐτὸν οὐδὲ ἔγνωκεν αὐτόν.
ἁμαρτάνει,ἁμαρτάνω,present,active,indicative,third person,—,—,singular,verb,1 John 3:8,"ὁ ποιῶν τὴν ἁμαρτίαν ἐκ τοῦ διαβόλου ἐστίν, ὅτι ἀπʼ ἀρχῆς ὁ διάβολος",". εἰς τοῦτο ἐφανερώθη ὁ υἱὸς τοῦ θεοῦ, ἵνα λύσῃ τὰ ἔργα τοῦ διαβόλου."
ἁμαρτάνει,ἁμαρτάνω,present,active,indicative,third person,—,—,singular,verb,1 John 5:18,Οἴδαμεν ὅτι πᾶς ὁ γεγεννημένος ἐκ τοῦ θεοῦ οὐχ,", ἀλλʼ ὁ γεννηθεὶς ἐκ τοῦ θεοῦ τηρεῖ ἑαυτὸν καὶ ὁ πονηρὸς οὐχ ἅπτεται αὐτοῦ."
ἁμαρτάνειν,ἁμαρτάνω,present,active,infinitive,—,—,—,—,verb,1 John 3:9,"Πᾶς ὁ γεγεννημένος ἐκ τοῦ θεοῦ ἁμαρτίαν οὐ ποιεῖ, ὅτι σπέρμα αὐτοῦ ἐν αὐτῷ μένει, καὶ οὐ δύναται",", ὅτι ἐκ τοῦ θεοῦ γεγέννηται."
ἁμαρτάνετε,ἁμαρτάνω,present,active,indicative,second person,—,—,plural,verb,1 Corinthians 8:12,οὕτως δὲ ἁμαρτάνοντες εἰς τοὺς ἀδελφοὺς καὶ τύπτοντες αὐτῶν τὴν συνείδησιν ἀσθενοῦσαν εἰς Χριστὸν,.
ἁμαρτάνετε,ἁμαρτάνω,present,active,imperative,second person,—,—,plural,verb,1 Corinthians 15:34,ἐκνήψατε δικαίως καὶ μὴ,", ἀγνωσίαν γὰρ θεοῦ τινες ἔχουσιν, πρὸς ἐντροπὴν ὑμῖν λαλῶ."
