Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἀρξάμενοι,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,plural,verb,Luke 24:47,καὶ κηρυχθῆναι ἐπὶ τῷ ὀνόματι αὐτοῦ μετάνοιαν εἰς ἄφεσιν ἁμαρτιῶν εἰς πάντα τὰ ἔθνη.,ἀπὸ Ἰερουσαλὴμ
ἀρξάμενοι,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,plural,verb,John 8:9,οἱ δὲ ἀκούσαντες ἐξήρχοντο εἷς καθʼ εἷς,ἀπὸ τῶν πρεσβυτέρων  καὶ κατελείφθη μόνος καὶ ἡ γυνὴ ἐν μέσῳ οὖσα.
ἀρξάμενος,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,singular,verb,Matthew 14:30,"βλέπων δὲ τὸν ἄνεμον [ἰσχυρὸν] ἐφοβήθη, καὶ","καταποντίζεσθαι ἔκραξεν λέγων· κύριε, σῶσόν με."
ἀρξάμενος,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,singular,verb,Matthew 20:8,ἀμπελῶνος τῷ ἐπιτρόπῳ αὐτοῦ· κάλεσον τοὺς ἐργάτας καὶ ἀπόδος αὐτοῖς τὸν μισθὸν,ἀπὸ τῶν ἐσχάτων ἕως τῶν πρώτων.
ἀρξάμενος,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,singular,verb,Luke 23:5,"οἱ δὲ ἐπίσχυον λέγοντες ὅτι ἀνασείει τὸν λαὸν διδάσκων καθʼ ὅλης τῆς Ἰουδαίας, καὶ",ἀπὸ τῆς Γαλιλαίας ἕως ὧδε.
ἀρξάμενος,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,singular,verb,Luke 24:27,καὶ,ἀπὸ Μωϋσέως καὶ ἀπὸ πάντων τῶν προφητῶν διερμήνευσεν αὐτοῖς  ἐν πάσαις ταῖς γραφαῖς τὰ περὶ ἑαυτοῦ.
ἀρξάμενος,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,singular,verb,Acts 1:22,—,"ἀπὸ τοῦ βαπτίσματος Ἰωάννου ἕως τῆς ἡμέρας ἧς ἀνελήμφθη ἀφʼ ἡμῶν, μάρτυρα τῆς"
ἀρξάμενος,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,singular,verb,Acts 8:35,ἀνοίξας δὲ ὁ Φίλιππος τὸ στόμα αὐτοῦ καὶ,ἀπὸ τῆς γραφῆς ταύτης εὐηγγελίσατο αὐτῷ τὸν Ἰησοῦν.
ἀρξάμενος,ἄρχομαι,aorist,middle,participle,—,masculine,nominative,singular,verb,Acts 10:37,"ὑμεῖς οἴδατε τὸ γενόμενον ῥῆμα καθʼ ὅλης τῆς Ἰουδαίας,","ἀπὸ τῆς Γαλιλαίας μετὰ τὸ βάπτισμα ὃ ἐκήρυξεν Ἰωάννης,"
ἀρξαμένου,ἄρχομαι,aorist,middle,participle,—,masculine,genitive,singular,verb,Matthew 18:24,—,δὲ αὐτοῦ συναίρειν προσηνέχθη αὐτῷ εἷς ὀφειλέτης μυρίων ταλάντων.
