Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐγγίζει,ἐγγίζω,present,active,indicative,third person,—,—,singular,verb,Luke 12:33,"ἑαυτοῖς βαλλάντια μὴ παλαιούμενα, θησαυρὸν ἀνέκλειπτον ἐν τοῖς οὐρανοῖς, ὅπου κλέπτης οὐκ",οὐδὲ σὴς διαφθείρει·
ἐγγίζει,ἐγγίζω,present,active,indicative,third person,—,—,singular,verb,Luke 21:28,"ἀρχομένων δὲ τούτων γίνεσθαι ἀνακύψατε καὶ ἐπάρατε τὰς κεφαλὰς ὑμῶν, διότι",ἡ ἀπολύτρωσις ὑμῶν.
ἐγγίζειν,ἐγγίζω,present,active,infinitive,—,—,—,—,verb,Luke 18:35,Ἐγένετο δὲ ἐν τῷ,αὐτὸν εἰς Ἰεριχὼ τυφλός τις ἐκάθητο παρὰ τὴν ὁδὸν ἐπαιτῶν.
ἐγγίζειν,ἐγγίζω,present,active,infinitive,—,—,—,—,verb,Acts 9:3,Ἐν δὲ τῷ πορεύεσθαι ἐγένετο αὐτὸν,"τῇ Δαμασκῷ, ἐξαίφνης τε αὐτὸν περιήστραψεν φῶς ἐκ τοῦ οὐρανοῦ"
ἐγγίζομεν,ἐγγίζω,present,active,indicative,first person,—,—,plural,verb,Hebrews 7:19,οὐδὲν γὰρ ἐτελείωσεν ὁ νόμος — ἐπεισαγωγὴ δὲ κρείττονος ἐλπίδος διʼ ἧς,τῷ θεῷ.
ἐγγίζοντες,ἐγγίζω,present,active,participle,—,masculine,nominative,plural,verb,Luke 15:1,Ἦσαν δὲ αὐτῷ,πάντες οἱ τελῶναι καὶ οἱ ἁμαρτωλοὶ ἀκούειν αὐτοῦ.
ἐγγίζοντι,ἐγγίζω,present,active,participle,—,masculine,dative,singular,verb,Acts 22:6,Ἐγένετο δέ μοι πορευομένῳ καὶ,"τῇ Δαμασκῷ περὶ μεσημβρίαν ἐξαίφνης ἐκ τοῦ οὐρανοῦ περιαστράψαι φῶς ἱκανὸν περὶ ἐμέ,"
ἐγγίζουσαν,ἐγγίζω,present,active,participle,—,feminine,accusative,singular,verb,Hebrews 10:25,"μὴ ἐγκαταλείποντες τὴν ἐπισυναγωγὴν ἑαυτῶν, καθὼς ἔθος τισίν, ἀλλὰ παρακαλοῦντες, καὶ τοσούτῳ μᾶλλον ὅσῳ βλέπετε",τὴν ἡμέραν.
ἐγγίζουσιν,ἐγγίζω,present,active,indicative,third person,—,—,plural,verb,Mark 11:1,Καὶ ὅτε,"εἰς Ἱεροσόλυμα εἰς Βηθφαγὴ καὶ Βηθανίαν πρὸς τὸ ὄρος τῶν ἐλαιῶν, ἀποστέλλει δύο τῶν μαθητῶν αὐτοῦ"
ἐγγίσαι,ἐγγίζω,aorist,active,infinitive,—,—,—,—,verb,Acts 23:15,ὑμᾶς ὡς μέλλοντας διαγινώσκειν ἀκριβέστερον τὰ περὶ αὐτοῦ· ἡμεῖς δὲ πρὸ τοῦ,αὐτὸν ἕτοιμοί ἐσμεν τοῦ ἀνελεῖν αὐτόν .
