Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐγέρθητε,ἐγείρω,aorist,passive,imperative,second person,—,—,plural,verb,Matthew 17:7,καὶ προσῆλθεν ὁ Ἰησοῦς καὶ ἁψάμενος αὐτῶν εἶπεν·,καὶ μὴ φοβεῖσθε.
ἐγέρθητι,ἐγείρω,aorist,passive,imperative,second person,—,—,singular,verb,Luke 7:14,"καὶ προσελθὼν ἥψατο τῆς σοροῦ, οἱ δὲ βαστάζοντες ἔστησαν, καὶ εἶπεν· νεανίσκε , σοὶ λέγω,",.
ἐγήγερται,ἐγείρω,perfect,passive,indicative,third person,—,—,singular,verb,Matthew 11:11,Ἀμὴν λέγω ὑμῖν· οὐκ,ἐν γεννητοῖς γυναικῶν μείζων Ἰωάννου τοῦ βαπτιστοῦ· ὁ δὲ μικρότερος ἐν τῇ βασιλείᾳ
ἐγήγερται,ἐγείρω,perfect,passive,indicative,third person,—,—,singular,verb,Mark 6:14,"Καὶ ἤκουσεν ὁ βασιλεὺς Ἡρῴδης, φανερὸν γὰρ ἐγένετο τὸ ὄνομα αὐτοῦ, καὶ ἔλεγον ὅτι Ἰωάννης ὁ βαπτίζων",ἐκ νεκρῶν καὶ διὰ τοῦτο ἐνεργοῦσιν αἱ δυνάμεις ἐν αὐτῷ.
ἐγήγερται,ἐγείρω,perfect,passive,indicative,third person,—,—,singular,verb,1 Corinthians 15:4,καὶ ὅτι ἐτάφη καὶ ὅτι,τῇ ἡμέρᾳ τῇ τρίτῃ κατὰ τὰς γραφὰς
ἐγήγερται,ἐγείρω,perfect,passive,indicative,third person,—,—,singular,verb,1 Corinthians 15:12,Εἰ δὲ Χριστὸς κηρύσσεται ὅτι ἐκ νεκρῶν,", πῶς λέγουσιν ἐν ὑμῖν τινες ὅτι ἀνάστασις νεκρῶν οὐκ ἔστιν;"
ἐγήγερται,ἐγείρω,perfect,passive,indicative,third person,—,—,singular,verb,1 Corinthians 15:13,"εἰ δὲ ἀνάστασις νεκρῶν οὐκ ἔστιν, οὐδὲ Χριστὸς",·
ἐγήγερται,ἐγείρω,perfect,passive,indicative,third person,—,—,singular,verb,1 Corinthians 15:14,εἰ δὲ Χριστὸς οὐκ,", κενὸν ἄρα [καὶ] τὸ κήρυγμα ἡμῶν, κενὴ καὶ ἡ πίστις ὑμῶν·"
ἐγήγερται,ἐγείρω,perfect,passive,indicative,third person,—,—,singular,verb,1 Corinthians 15:16,"εἰ γὰρ νεκροὶ οὐκ ἐγείρονται, οὐδὲ Χριστὸς",·
ἐγήγερται,ἐγείρω,perfect,passive,indicative,third person,—,—,singular,verb,1 Corinthians 15:17,εἰ δὲ Χριστὸς οὐκ,", ματαία ἡ πίστις ὑμῶν, ἔτι ἐστὲ ἐν ταῖς ἁμαρτίαις ὑμῶν,"
