Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 1:3,Ἰούδας δὲ ἐγέννησεν τὸν Φάρες καὶ τὸν Ζάρα,"τῆς Θαμάρ, Φάρες δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,"
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 1:5,Σαλμὼν δὲ ἐγέννησεν τὸν Βόες,"τῆς Ῥαχάβ, Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί,"
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 1:5,"Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ, Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ","τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί,"
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 1:6,Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα.  Δαυὶδ δὲ  ἐγέννησεν τὸν Σολομῶνα,"τῆς τοῦ Οὐρίου,"
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 1:18,"αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα",πνεύματος ἁγίου.
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 1:20,μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου· τὸ γὰρ ἐν αὐτῇ γεννηθὲν,πνεύματός ἐστιν ἁγίου.
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 2:6,"καὶ σὺ Βηθλέεμ, γῆ Ἰούδα,           οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα","σοῦ γὰρ ἐξελεύσεται ἡγούμενος,           ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ."
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 3:9,καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· πατέρα ἔχομεν τὸν Ἀβραάμ. λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς,τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 3:17,καὶ ἰδοὺ φωνὴ,"τῶν οὐρανῶν λέγουσα·  οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα."
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 5:37,"ἔστω δὲ ὁ λόγος ὑμῶν ναὶ ναί, οὒ οὔ· τὸ δὲ περισσὸν τούτων",τοῦ πονηροῦ ἐστιν.
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 7:4,ἢ πῶς ἐρεῖς τῷ ἀδελφῷ σου· ἄφες ἐκβάλω τὸ κάρφος,"τοῦ ὀφθαλμοῦ σου, καὶ ἰδοὺ ἡ δοκὸς ἐν τῷ ὀφθαλμῷ σοῦ;"
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 7:5,"ὑποκριτά, ἔκβαλε πρῶτον","τοῦ ὀφθαλμοῦ σοῦ τὴν δοκόν, καὶ τότε διαβλέψεις ἐκβαλεῖν τὸ κάρφος ἐκ τοῦ ὀφθαλμοῦ τοῦ ἀδελφοῦ σου."
ἐκ,ἐκ,—,—,—,—,—,—,—,preposition,Matthew 7:5,"ὑποκριτά, ἔκβαλε πρῶτον ἐκ τοῦ ὀφθαλμοῦ σοῦ τὴν δοκόν, καὶ τότε διαβλέψεις ἐκβαλεῖν τὸ κάρφος",τοῦ ὀφθαλμοῦ τοῦ ἀδελφοῦ σου.
