Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,Acts 9:31,Ἡ μὲν οὖν,καθʼ ὅλης τῆς Ἰουδαίας καὶ Γαλιλαίας καὶ Σαμαρείας εἶχεν εἰρήνην οἰκοδομουμένη καὶ πορευομένη
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,Acts 19:32,ἄλλοι μὲν οὖν ἄλλο τι ἔκραζον· ἦν γὰρ ἡ,συγκεχυμένη καὶ οἱ πλείους οὐκ ᾔδεισαν τίνος ἕνεκα συνεληλύθεισαν.
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 14:5,"ὁ προφητεύων ἢ ὁ λαλῶν γλώσσαις ἐκτὸς εἰ μὴ διερμηνεύῃ, ἵνα ἡ",οἰκοδομὴν λάβῃ.
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,1 Corinthians 14:23,Ἐὰν οὖν συνέλθῃ ἡ,"ὅλη ἐπὶ τὸ αὐτὸ καὶ πάντες λαλῶσιν γλώσσαις, εἰσέλθωσιν δὲ ἰδιῶται ἢ ἄπιστοι, οὐκ ἐροῦσιν ὅτι μαίνεσθε;"
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,Ephesians 5:24,ἀλλʼ ὡς ἡ,"ὑποτάσσεται τῷ Χριστῷ, οὕτως καὶ αἱ γυναῖκες τοῖς ἀνδράσιν ἐν παντί."
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,Philippians 4:15,"οἴδατε δὲ καὶ ὑμεῖς, Φιλιππήσιοι, ὅτι ἐν ἀρχῇ τοῦ εὐαγγελίου, ὅτε ἐξῆλθον ἀπὸ Μακεδονίας, οὐδεμία μοι","ἐκοινώνησεν εἰς λόγον δόσεως καὶ λήμψεως εἰ μὴ ὑμεῖς μόνοι,"
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,Colossians 1:24,"Χριστοῦ ἐν τῇ σαρκί μου ὑπὲρ τοῦ σώματος αὐτοῦ, ὅ ἐστιν ἡ",","
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,1 Timothy 3:15,"ἐὰν δὲ βραδύνω, ἵνα εἰδῇς πῶς δεῖ ἐν οἴκῳ θεοῦ ἀναστρέφεσθαι, ἥτις ἐστὶν","θεοῦ ζῶντος, στῦλος καὶ ἑδραίωμα τῆς ἀληθείας."
ἐκκλησία,ἐκκλησία,—,—,—,—,feminine,nominative,singular,noun,1 Timothy 5:16,"εἴ τις  πιστὴ ἔχει χήρας, ἐπαρκείτω αὐταῖς καὶ μὴ βαρείσθω ἡ",", ἵνα ταῖς ὄντως χήραις ἐπαρκέσῃ."
ἐκκλησίαι,ἐκκλησία,—,—,—,—,feminine,nominative,plural,noun,Acts 16:5,Αἱ μὲν οὖν,ἐστερεοῦντο τῇ πίστει καὶ ἐπερίσσευον τῷ ἀριθμῷ καθʼ ἡμέραν.
ἐκκλησίαι,ἐκκλησία,—,—,—,—,feminine,nominative,plural,noun,Romans 16:4,"οἵτινες ὑπὲρ τῆς ψυχῆς μου τὸν ἑαυτῶν τράχηλον ὑπέθηκαν, οἷς οὐκ ἐγὼ μόνος εὐχαριστῶ ἀλλὰ καὶ πᾶσαι αἱ","τῶν ἐθνῶν,"
ἐκκλησίαι,ἐκκλησία,—,—,—,—,feminine,nominative,plural,noun,Romans 16:16,ἀσπάσασθε ἀλλήλους ἐν φιλήματι ἁγίῳ. ἀσπάζονται ὑμᾶς αἱ,πᾶσαι τοῦ Χριστοῦ.
ἐκκλησίαι,ἐκκλησία,—,—,—,—,feminine,nominative,plural,noun,1 Corinthians 11:16,"Εἰ δέ τις δοκεῖ φιλόνεικος εἶναι, ἡμεῖς τοιαύτην συνήθειαν οὐκ ἔχομεν οὐδὲ αἱ",τοῦ θεοῦ.  Τοῦτο
ἐκκλησίαι,ἐκκλησία,—,—,—,—,feminine,nominative,plural,noun,1 Corinthians 16:19,Ἀσπάζονται ὑμᾶς αἱ,τῆς Ἀσίας. ἀσπάζεται ὑμᾶς ἐν κυρίῳ πολλὰ Ἀκύλας καὶ Πρίσκα σὺν τῇ κατʼ οἶκον αὐτῶν ἐκκλησίᾳ.
ἐκκλησίαι,ἐκκλησία,—,—,—,—,feminine,nominative,plural,noun,Revelation 1:20,ἀστέρες ἄγγελοι τῶν ἑπτὰ ἐκκλησιῶν εἰσιν καὶ αἱ λυχνίαι αἱ ἑπτὰ ἑπτὰ,εἰσίν.
ἐκκλησίαι,ἐκκλησία,—,—,—,—,feminine,nominative,plural,noun,Revelation 2:23,καὶ τὰ τέκνα αὐτῆς ἀποκτενῶ ἐν θανάτῳ. καὶ γνώσονται πᾶσαι αἱ,"ὅτι ἐγώ εἰμι ὁ ἐραυνῶν νεφροὺς καὶ καρδίας, καὶ δώσω ὑμῖν ἑκάστῳ κατὰ τὰ ἔργα ὑμῶν."
ἐκκλησίαις,ἐκκλησία,—,—,—,—,feminine,dative,plural,noun,1 Corinthians 7:17,"Εἰ μὴ ἑκάστῳ ὡς ἐμέρισεν ὁ κύριος, ἕκαστον ὡς κέκληκεν ὁ θεός, οὕτως περιπατείτω. καὶ οὕτως ἐν ταῖς",πάσαις διατάσσομαι.
ἐκκλησίαις,ἐκκλησία,—,—,—,—,feminine,dative,plural,noun,1 Corinthians 14:33,οὐ γάρ ἐστιν ἀκαταστασίας ὁ θεὸς ἀλλʼ εἰρήνης.  Ὡς ἐν πάσαις ταῖς,τῶν ἁγίων
ἐκκλησίαις,ἐκκλησία,—,—,—,—,feminine,dative,plural,noun,1 Corinthians 14:34,αἱ γυναῖκες  ἐν ταῖς,"σιγάτωσαν· οὐ γὰρ ἐπιτρέπεται αὐταῖς λαλεῖν, ἀλλʼ ὑποτασσέσθωσαν, καθὼς καὶ ὁ νόμος λέγει."
ἐκκλησίαις,ἐκκλησία,—,—,—,—,feminine,dative,plural,noun,1 Corinthians 16:1,Περὶ δὲ τῆς λογείας τῆς εἰς τοὺς ἁγίους ὥσπερ διέταξα ταῖς,"τῆς Γαλατίας, οὕτως καὶ ὑμεῖς ποιήσατε."
ἐκκλησίαις,ἐκκλησία,—,—,—,—,feminine,dative,plural,noun,2 Corinthians 8:1,"Γνωρίζομεν δὲ ὑμῖν, ἀδελφοί, τὴν χάριν τοῦ θεοῦ τὴν δεδομένην ἐν ταῖς","τῆς Μακεδονίας,"
ἐκκλησίαις,ἐκκλησία,—,—,—,—,feminine,dative,plural,noun,Galatians 1:2,καὶ οἱ σὺν ἐμοὶ πάντες ἀδελφοὶ ταῖς,"τῆς Γαλατίας,"
ἐκκλησίαις,ἐκκλησία,—,—,—,—,feminine,dative,plural,noun,Galatians 1:22,ἤμην δὲ ἀγνοούμενος τῷ προσώπῳ ταῖς,τῆς Ἰουδαίας ταῖς ἐν Χριστῷ.
