Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 8:9,"καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ἐξουσίαν , ἔχων ὑπʼ",ἐμαυτὸν,"στρατιώτας, καὶ λέγω τούτῳ· πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· ἔρχου, καὶ ἔρχεται, καὶ",ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,Luke 7:7,διὸ οὐδὲ,ἐμαυτὸν,"ἠξίωσα πρὸς σὲ ἐλθεῖν· ἀλλʼ εἰπὲ λόγῳ, καὶ ἰαθήτω ὁ παῖς μου.",ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,Luke 7:8,καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ἐξουσίαν τασσόμενος ἔχων ὑπʼ,ἐμαυτὸν,"στρατιώτας, καὶ λέγω τούτῳ· πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· ἔρχου, καὶ ἔρχεται, καὶ",ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,John 5:30,Οὐ δύναμαι ἐγὼ ποιεῖν ἀπʼ,ἐμαυτοῦ,"οὐδέν· καθὼς ἀκούω κρίνω, καὶ ἡ κρίσις ἡ ἐμὴ δικαία ἐστίν,  ὅτι οὐ",ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,John 5:31,Ἐὰν ἐγὼ μαρτυρῶ περὶ,ἐμαυτοῦ,", ἡ μαρτυρία μου οὐκ ἔστιν ἀληθής·",ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,John 7:17,γνώσεται περὶ τῆς διδαχῆς πότερον ἐκ τοῦ θεοῦ ἐστιν ἢ ἐγὼ ἀπʼ,ἐμαυτοῦ,λαλῶ.,ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,John 7:28,ἔκραξεν οὖν ἐν τῷ ἱερῷ διδάσκων ὁ Ἰησοῦς καὶ λέγων· κἀμὲ οἴδατε καὶ οἴδατε πόθεν εἰμί· καὶ ἀπʼ,ἐμαυτοῦ,"οὐκ ἐλήλυθα, ἀλλʼ ἔστιν ἀληθινὸς ὁ πέμψας με, ὃν ὑμεῖς οὐκ οἴδατε·",ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,John 8:14,ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτοῖς· κἂν ἐγὼ μαρτυρῶ περὶ,ἐμαυτοῦ,", ἀληθής ἐστιν ἡ μαρτυρία μου, ὅτι οἶδα πόθεν ἦλθον καὶ ποῦ ὑπάγω· ὑμεῖς",ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,John 8:18,ἐγώ εἰμι ὁ μαρτυρῶν περὶ,ἐμαυτοῦ,καὶ μαρτυρεῖ περὶ ἐμοῦ ὁ πέμψας με πατήρ.,ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
NA28,John 8:28,"εἶπεν οὖν [αὐτοῖς] ὁ Ἰησοῦς·  ὅταν ὑψώσητε τὸν υἱὸν τοῦ ἀνθρώπου, τότε γνώσεσθε ὅτι ἐγώ εἰμι, καὶ ἀπʼ",ἐμαυτοῦ,"ποιῶ οὐδέν, ἀλλὰ καθὼς ἐδίδαξέν με ὁ πατὴρ  ταῦτα λαλῶ.",ἐμαυτοῦ,Louw Nida 92.3,"αυτος, εγω
",pronoun,—
