Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 18:20,οὗ γάρ εἰσιν δύο ἢ τρεῖς συνηγμένοι εἰς τὸ,ἐμὸν,"ὄνομα, ἐκεῖ εἰμι ἐν μέσῳ αὐτῶν.",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Matthew 20:15,[ἢ] οὐκ ἔξεστίν μοι ὃ θέλω ποιῆσαι ἐν τοῖς,ἐμοῖς,; ἢ ὁ ὀφθαλμός σου πονηρός ἐστιν ὅτι ἐγὼ ἀγαθός εἰμι;,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,Matthew 20:23,"λέγει αὐτοῖς·  τὸ μὲν ποτήριόν μου πίεσθε, τὸ δὲ καθίσαι ἐκ δεξιῶν μου καὶ ἐξ εὐωνύμων  οὐκ ἔστιν",ἐμὸν,"[τοῦτο] δοῦναι, ἀλλʼ οἷς ἡτοίμασται ὑπὸ τοῦ πατρός μου.",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,Matthew 25:27,"ἔδει σε οὖν βαλεῖν τὰ ἀργύριά μου τοῖς τραπεζίταις, καὶ ἐλθὼν ἐγὼ ἐκομισάμην ἂν τὸ",ἐμὸν,σὺν τόκῳ.,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,Mark 8:38,ὃς γὰρ ἐὰν ἐπαισχυνθῇ με καὶ τοὺς,ἐμοὺς,"λόγους ἐν τῇ γενεᾷ ταύτῃ τῇ μοιχαλίδι καὶ ἁμαρτωλῷ, καὶ ὁ υἱὸς τοῦ",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Mark 10:40,τὸ δὲ καθίσαι ἐκ δεξιῶν μου ἢ ἐξ εὐωνύμων οὐκ ἔστιν,ἐμὸν,"δοῦναι, ἀλλʼ οἷς ἡτοίμασται.",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Luke 9:26,ὃς γὰρ ἂν ἐπαισχυνθῇ με καὶ τοὺς,ἐμοὺς,"λόγους, τοῦτον ὁ υἱὸς τοῦ ἀνθρώπου ἐπαισχυνθήσεται, ὅταν ἔλθῃ ἐν τῇ δόξῃ αὐτοῦ",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Luke 15:31,"ὁ δὲ εἶπεν αὐτῷ· τέκνον, σὺ πάντοτε μετʼ ἐμοῦ εἶ, καὶ πάντα τὰ",ἐμὰ,σά ἐστιν·,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,Luke 22:19,ἐστιν τὸ σῶμά μου τὸ ὑπὲρ ὑμῶν διδόμενον· τοῦτο ποιεῖτε εἰς τὴν,ἐμὴν,ἀνάμνησιν.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,John 3:29,χαρᾷ χαίρει διὰ τὴν φωνὴν τοῦ νυμφίου. αὕτη οὖν ἡ χαρὰ ἡ,ἐμὴ,πεπλήρωται.,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 4:34,λέγει αὐτοῖς ὁ Ἰησοῦς·,ἐμὸν,βρῶμά ἐστιν ἵνα ποιήσω τὸ θέλημα τοῦ πέμψαντός με καὶ τελειώσω αὐτοῦ τὸ ἔργον.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,John 5:30,"Οὐ δύναμαι ἐγὼ ποιεῖν ἀπʼ ἐμαυτοῦ οὐδέν· καθὼς ἀκούω κρίνω, καὶ ἡ κρίσις ἡ",ἐμὴ,"δικαία ἐστίν,  ὅτι οὐ ζητῶ τὸ θέλημα τὸ ἐμὸν ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 5:30,"ἡ κρίσις ἡ ἐμὴ δικαία ἐστίν,  ὅτι οὐ ζητῶ τὸ θέλημα τὸ",ἐμὸν,ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 5:47,"εἰ δὲ τοῖς ἐκείνου γράμμασιν οὐ πιστεύετε, πῶς τοῖς",ἐμοῖς,ῥήμασιν πιστεύσετε;,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,John 6:38,ὅτι καταβέβηκα ἀπὸ τοῦ οὐρανοῦ οὐχ ἵνα ποιῶ τὸ θέλημα τὸ,ἐμὸν,ἀλλὰ τὸ θέλημα τοῦ πέμψαντός με.,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 7:6,λέγει οὖν αὐτοῖς ὁ Ἰησοῦς· ὁ καιρὸς ὁ,ἐμὸς,"οὔπω πάρεστιν, ὁ δὲ καιρὸς ὁ ὑμέτερος πάντοτέ ἐστιν ἕτοιμος.",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 7:8,"ὑμεῖς ἀνάβητε εἰς τὴν ἑορτήν· ἐγὼ οὐκ ἀναβαίνω εἰς τὴν ἑορτὴν ταύτην, ὅτι ὁ",ἐμὸς,καιρὸς οὔπω πεπλήρωται.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,John 7:16,ἀπεκρίθη οὖν αὐτοῖς [ὁ] Ἰησοῦς καὶ εἶπεν· ἡ,ἐμὴ,διδαχὴ οὐκ ἔστιν ἐμὴ ἀλλὰ τοῦ πέμψαντός με·,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,John 7:16,ἀπεκρίθη οὖν αὐτοῖς [ὁ] Ἰησοῦς καὶ εἶπεν· ἡ ἐμὴ διδαχὴ οὐκ ἔστιν,ἐμὴ,ἀλλὰ τοῦ πέμψαντός με·,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,John 8:16,"καὶ ἐὰν κρίνω δὲ ἐγώ, ἡ κρίσις ἡ",ἐμὴ,"ἀληθινή ἐστιν, ὅτι μόνος οὐκ εἰμί, ἀλλʼ ἐγὼ καὶ ὁ πέμψας με πατήρ.",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 8:31,Ἔλεγεν οὖν ὁ Ἰησοῦς πρὸς τοὺς πεπιστευκότας αὐτῷ Ἰουδαίους· ἐὰν ὑμεῖς μείνητε ἐν τῷ λόγῳ τῷ,ἐμῷ,", ἀληθῶς μαθηταί μού ἐστε",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 8:37,"Οἶδα ὅτι σπέρμα Ἀβραάμ ἐστε· ἀλλὰ ζητεῖτέ με ἀποκτεῖναι, ὅτι ὁ λόγος ὁ",ἐμὸς,οὐ χωρεῖ ἐν ὑμῖν.,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 8:43,διὰ τί τὴν λαλιὰν τὴν,ἐμὴν,οὐ γινώσκετε; ὅτι οὐ δύνασθε ἀκούειν τὸν λόγον τὸν ἐμόν.,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 8:43,διὰ τί τὴν λαλιὰν τὴν ἐμὴν οὐ γινώσκετε; ὅτι οὐ δύνασθε ἀκούειν τὸν λόγον τὸν,ἐμόν,.,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 8:51,"ἀμὴν ἀμὴν λέγω ὑμῖν, ἐάν τις τὸν",ἐμὸν,"λόγον τηρήσῃ, θάνατον οὐ μὴ θεωρήσῃ εἰς τὸν αἰῶνα.",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,John 8:56,Ἀβραὰμ ὁ πατὴρ ὑμῶν ἠγαλλιάσατο ἵνα ἴδῃ τὴν ἡμέραν τὴν,ἐμήν,", καὶ εἶδεν καὶ ἐχάρη.",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 10:14,Ἐγώ εἰμι ὁ ποιμὴν ὁ καλὸς καὶ γινώσκω τὰ,ἐμὰ,"καὶ γινώσκουσίν με τὰ ἐμά,",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 10:14,Ἐγώ εἰμι ὁ ποιμὴν ὁ καλὸς καὶ γινώσκω τὰ ἐμὰ καὶ γινώσκουσίν με τὰ,ἐμά,",",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 10:26,"ἀλλʼ ὑμεῖς οὐ πιστεύετε, ὅτι οὐκ ἐστὲ ἐκ τῶν προβάτων τῶν",ἐμῶν,.,ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
NA28,John 10:27,τὰ πρόβατα τὰ,ἐμὰ,"τῆς φωνῆς μου ἀκούουσιν, κἀγὼ γινώσκω αὐτὰ καὶ ἀκολουθοῦσίν μοι,",ἐμός,Louw Nida 92.2,εγω,"pronoun, adjective",—
