Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἐξέλθατε,ἐξέρχομαι,aorist,active,imperative,second person,—,—,plural,verb,2 Corinthians 6:17,διὸ,"ἐκ μέσου αὐτῶν        καὶ ἀφορίσθητε, λέγει κύριος,      καὶ ἀκαθάρτου μὴ ἅπτεσθε·        κἀγὼ εἰσδέξομαι ὑμᾶς"
ἐξέλθατε,ἐξέρχομαι,aorist,active,imperative,second person,—,—,plural,verb,Revelation 18:4,Καὶ ἤκουσα ἄλλην φωνὴν ἐκ τοῦ οὐρανοῦ λέγουσαν·,"ὁ λαός μου ἐξ αὐτῆς ἵνα μὴ συγκοινωνήσητε ταῖς ἁμαρτίαις αὐτῆς, καὶ ἐκ"
ἐξέλθητε,ἐξέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 10:11,"Εἰς ἣν δʼ ἂν πόλιν ἢ κώμην εἰσέλθητε, ἐξετάσατε τίς ἐν αὐτῇ ἄξιός ἐστιν· κἀκεῖ μείνατε ἕως ἂν",.
ἐξέλθητε,ἐξέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Matthew 24:26,"ἐὰν οὖν εἴπωσιν ὑμῖν· ἰδοὺ ἐν τῇ ἐρήμῳ ἐστίν, μὴ","· ἰδοὺ ἐν τοῖς ταμείοις, μὴ πιστεύσητε·"
ἐξέλθητε,ἐξέρχομαι,aorist,active,subjunctive,second person,—,—,plural,verb,Mark 6:10,"καὶ ἔλεγεν αὐτοῖς· ὅπου ἐὰν εἰσέλθητε εἰς οἰκίαν, ἐκεῖ μένετε ἕως ἂν",ἐκεῖθεν.
ἐξέλθῃ,ἐξέρχομαι,aorist,active,subjunctive,third person,—,—,singular,verb,Matthew 12:43,Ὅταν δὲ τὸ ἀκάθαρτον πνεῦμα,"ἀπὸ τοῦ ἀνθρώπου, διέρχεται διʼ ἀνύδρων τόπων ζητοῦν ἀνάπαυσιν καὶ οὐχ εὑρίσκει."
ἐξέλθῃ,ἐξέρχομαι,aorist,active,subjunctive,third person,—,—,singular,verb,Luke 11:24,Ὅταν  τὸ ἀκάθαρτον πνεῦμα,"ἀπὸ τοῦ ἀνθρώπου, διέρχεται διʼ ἀνύδρων τόπων ζητοῦν ἀνάπαυσιν καὶ μὴ εὑρίσκον· [τότε"
ἐξέλθῃ,ἐξέρχομαι,aorist,active,subjunctive,third person,—,—,singular,verb,Revelation 3:12,Ὁ νικῶν ποιήσω αὐτὸν στῦλον ἐν τῷ ναῷ τοῦ θεοῦ μου καὶ ἔξω οὐ μὴ,ἔτι καὶ γράψω ἐπʼ αὐτὸν τὸ ὄνομα τοῦ θεοῦ μου καὶ τὸ ὄνομα
ἐξέλθῃς,ἐξέρχομαι,aorist,active,subjunctive,second person,—,—,singular,verb,Matthew 5:26,"ἀμὴν λέγω σοι, οὐ μὴ","ἐκεῖθεν, ἕως ἂν ἀποδῷς τὸν ἔσχατον κοδράντην."
ἐξέλθῃς,ἐξέρχομαι,aorist,active,subjunctive,second person,—,—,singular,verb,Luke 12:59,"λέγω σοι, οὐ μὴ","ἐκεῖθεν, ἕως  καὶ τὸ ἔσχατον λεπτὸν ἀποδῷς."
ἐξέρχεσθε,ἐξέρχομαι,present,either middle or passive,imperative,second person,—,—,plural,verb,Matthew 25:6,"μέσης δὲ νυκτὸς κραυγὴ γέγονεν· ἰδοὺ ὁ νυμφίος,",εἰς ἀπάντησιν [αὐτοῦ].
ἐξέρχεσθε,ἐξέρχομαι,present,either middle or passive,imperative,second person,—,—,plural,verb,Luke 9:4,"καὶ εἰς ἣν ἂν οἰκίαν εἰσέλθητε, ἐκεῖ μένετε καὶ ἐκεῖθεν",.
ἐξέρχεται,ἐξέρχομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,Matthew 15:18,τὰ δὲ ἐκπορευόμενα ἐκ τοῦ στόματος ἐκ τῆς καρδίας,", κἀκεῖνα κοινοῖ τὸν ἄνθρωπον."
ἐξέρχεται,ἐξέρχομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,Matthew 24:27,ὥσπερ γὰρ ἡ ἀστραπὴ,"ἀπὸ ἀνατολῶν καὶ φαίνεται ἕως δυσμῶν, οὕτως ἔσται ἡ παρουσία τοῦ υἱοῦ τοῦ ἀνθρώπου·"
ἐξέρχεται,ἐξέρχομαι,present,either middle or passive,indicative,third person,—,—,singular,verb,James 3:10,ἐκ τοῦ αὐτοῦ στόματος,"εὐλογία καὶ κατάρα. οὐ χρή, ἀδελφοί μου, ταῦτα οὕτως γίνεσθαι."
ἐξέρχονται,ἐξέρχομαι,present,either middle or passive,indicative,third person,—,—,plural,verb,Matthew 15:19,ἐκ γὰρ τῆς καρδίας,"διαλογισμοὶ πονηροί, φόνοι, μοιχεῖαι, πορνεῖαι, κλοπαί, ψευδομαρτυρίαι, βλασφημίαι."
ἐξέρχονται,ἐξέρχομαι,present,either middle or passive,indicative,third person,—,—,plural,verb,Luke 4:36,λόγος οὗτος ὅτι ἐν ἐξουσίᾳ καὶ δυνάμει ἐπιτάσσει τοῖς ἀκαθάρτοις πνεύμασιν καὶ,;
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Matthew 11:7,Τούτων δὲ πορευομένων ἤρξατο ὁ Ἰησοῦς λέγειν τοῖς ὄχλοις περὶ Ἰωάννου· τί,εἰς τὴν ἔρημον θεάσασθαι; κάλαμον ὑπὸ ἀνέμου σαλευόμενον;
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Matthew 11:8,ἀλλὰ τί,ἰδεῖν; ἄνθρωπον ἐν μαλακοῖς  ἠμφιεσμένον; ἰδοὺ οἱ τὰ μαλακὰ φοροῦντες ἐν τοῖς οἴκοις τῶν βασιλέων εἰσίν.
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Matthew 11:9,ἀλλὰ τί,"ἰδεῖν; προφήτην; ναὶ λέγω ὑμῖν, καὶ περισσότερον προφήτου."
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Matthew 26:55,Ἐν ἐκείνῃ τῇ ὥρᾳ εἶπεν ὁ Ἰησοῦς τοῖς ὄχλοις· ὡς ἐπὶ λῃστὴν,μετὰ μαχαιρῶν καὶ ξύλων συλλαβεῖν με; καθʼ ἡμέραν ἐν τῷ ἱερῷ ἐκαθεζόμην διδάσκων καὶ οὐκ ἐκρατήσατέ με.
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Mark 14:48,Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν αὐτοῖς· ὡς ἐπὶ λῃστὴν,μετὰ μαχαιρῶν καὶ ξύλων συλλαβεῖν με;
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Luke 7:24,Ἀπελθόντων δὲ τῶν ἀγγέλων Ἰωάννου ἤρξατο λέγειν πρὸς τοὺς ὄχλους περὶ Ἰωάννου· τί,εἰς τὴν ἔρημον θεάσασθαι; κάλαμον ὑπὸ ἀνέμου σαλευόμενον;
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Luke 7:25,ἀλλὰ τί,ἰδεῖν; ἄνθρωπον ἐν μαλακοῖς ἱματίοις ἠμφιεσμένον; ἰδοὺ οἱ ἐν ἱματισμῷ ἐνδόξῳ καὶ τρυφῇ
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Luke 7:26,ἀλλὰ τί,"ἰδεῖν; προφήτην; ναὶ λέγω ὑμῖν, καὶ περισσότερον προφήτου."
ἐξήλθατε,ἐξέρχομαι,aorist,active,indicative,second person,—,—,plural,verb,Luke 22:52,Εἶπεν δὲ Ἰησοῦς πρὸς τοὺς παραγενομένους ἐπʼ αὐτὸν ἀρχιερεῖς καὶ στρατηγοὺς τοῦ ἱεροῦ καὶ πρεσβυτέρους· ὡς ἐπὶ λῃστὴν,μετὰ μαχαιρῶν καὶ ξύλων;
ἐξήλθομεν,ἐξέρχομαι,aorist,active,indicative,first person,—,—,plural,verb,Acts 16:13,τῇ τε ἡμέρᾳ τῶν σαββάτων,"ἔξω τῆς πύλης παρὰ  ποταμὸν οὗ ἐνομίζομεν προσευχὴν εἶναι, καὶ καθίσαντες ἐλαλοῦμεν ταῖς συνελθούσαις γυναιξίν."
ἐξήρχετο,ἐξέρχομαι,imperfect,either middle or passive,indicative,third person,—,—,singular,verb,Luke 4:41,—,δὲ καὶ δαιμόνια ἀπὸ πολλῶν κραυγάζοντα καὶ λέγοντα ὅτι σὺ εἶ  ὁ υἱὸς
ἐξήρχετο,ἐξέρχομαι,imperfect,either middle or passive,indicative,third person,—,—,singular,verb,Luke 6:19,"καὶ πᾶς ὁ ὄχλος ἐζήτουν ἅπτεσθαι αὐτοῦ, ὅτι δύναμις παρʼ αὐτοῦ",καὶ ἰᾶτο πάντας.
ἐξήρχοντο,ἐξέρχομαι,imperfect,either middle or passive,indicative,third person,—,—,plural,verb,John 8:9,οἱ δὲ ἀκούσαντες,εἷς καθʼ εἷς ἀρξάμενοι ἀπὸ τῶν πρεσβυτέρων  καὶ κατελείφθη μόνος καὶ ἡ γυνὴ ἐν μέσῳ οὖσα.
ἐξήρχοντο,ἐξέρχομαι,imperfect,either middle or passive,indicative,third person,—,—,plural,verb,Acts 8:7,πολλοὶ γὰρ τῶν ἐχόντων πνεύματα ἀκάθαρτα βοῶντα φωνῇ μεγάλῃ,", πολλοὶ δὲ παραλελυμένοι καὶ χωλοὶ ἐθεραπεύθησαν·"
