Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἠρώτουν,ἐρωτάω,imperfect,active,indicative,third person,—,—,plural,verb,Matthew 15:23,ὁ δὲ οὐκ ἀπεκρίθη αὐτῇ λόγον. καὶ προσελθόντες οἱ μαθηταὶ αὐτοῦ,"αὐτὸν λέγοντες· ἀπόλυσον αὐτήν, ὅτι κράζει ὄπισθεν ἡμῶν."
ἠρώτα,ἐρωτάω,imperfect,active,indicative,third person,—,—,singular,verb,Matthew 16:13,Ἐλθὼν δὲ ὁ Ἰησοῦς εἰς τὰ μέρη Καισαρείας τῆς Φιλίππου,τοὺς μαθητὰς αὐτοῦ λέγων· τίνα  λέγουσιν οἱ ἄνθρωποι εἶναι τὸν υἱὸν τοῦ ἀνθρώπου;
ἐρωτᾷς,ἐρωτάω,present,active,indicative,second person,—,—,singular,verb,Matthew 19:17,ὁ δὲ εἶπεν αὐτῷ· τί με,"περὶ τοῦ ἀγαθοῦ; εἷς ἐστιν ὁ ἀγαθός · εἰ δὲ θέλεις εἰς τὴν ζωὴν εἰσελθεῖν, τήρησον τὰς ἐντολάς."
ἐρωτήσω,ἐρωτάω,future,active,indicative,first person,—,—,singular,verb,Matthew 21:24,ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτοῖς·,"ὑμᾶς κἀγὼ λόγον ἕνα, ὃν ἐὰν εἴπητέ μοι κἀγὼ ὑμῖν ἐρῶ ἐν ποίᾳ ἐξουσίᾳ ταῦτα ποιῶ·"
ἠρώτων,ἐρωτάω,imperfect,active,indicative,third person,—,—,plural,verb,Mark 4:10,"Καὶ ὅτε ἐγένετο κατὰ μόνας,",αὐτὸν οἱ περὶ αὐτὸν σὺν τοῖς δώδεκα τὰς παραβολάς.
ἠρώτα,ἐρωτάω,imperfect,active,indicative,third person,—,—,singular,verb,Mark 7:26,"ἡ δὲ γυνὴ ἦν Ἑλληνίς, Συροφοινίκισσα τῷ γένει· καὶ",αὐτὸν ἵνα τὸ δαιμόνιον ἐκβάλῃ ἐκ τῆς θυγατρὸς αὐτῆς.
ἠρώτα,ἐρωτάω,imperfect,active,indicative,third person,—,—,singular,verb,Mark 8:5,καὶ,αὐτούς· πόσους ἔχετε ἄρτους; οἱ δὲ εἶπαν· ἑπτά.
ἠρώτησαν,ἐρωτάω,aorist,active,indicative,third person,—,—,plural,verb,Luke 4:38,τὴν οἰκίαν Σίμωνος . πενθερὰ δὲ τοῦ Σίμωνος ἦν συνεχομένη πυρετῷ μεγάλῳ καὶ,αὐτὸν περὶ αὐτῆς.
ἠρώτησεν,ἐρωτάω,aorist,active,indicative,third person,—,—,singular,verb,Luke 5:3,"ἐμβὰς δὲ εἰς ἓν τῶν πλοίων, ὃ ἦν  Σίμωνος,",αὐτὸν ἀπὸ τῆς γῆς ἐπαναγαγεῖν ὀλίγον· καθίσας δὲ ἐκ τοῦ πλοίου ἐδίδασκεν τοὺς ὄχλους.
ἐρωτῶν,ἐρωτάω,present,active,participle,—,masculine,nominative,singular,verb,Luke 7:3,ἀκούσας δὲ περὶ τοῦ Ἰησοῦ ἀπέστειλεν πρὸς αὐτὸν πρεσβυτέρους τῶν Ἰουδαίων,αὐτὸν ὅπως ἐλθὼν διασώσῃ τὸν δοῦλον αὐτοῦ.
Ἠρώτα,ἐρωτάω,imperfect,active,indicative,third person,—,—,singular,verb,Luke 7:36,—,"δέ τις αὐτὸν τῶν Φαρισαίων ἵνα φάγῃ μετʼ αὐτοῦ, καὶ εἰσελθὼν εἰς τὸν οἶκον τοῦ Φαρισαίου κατεκλίθη."
ἠρώτησεν,ἐρωτάω,aorist,active,indicative,third person,—,—,singular,verb,Luke 8:37,καὶ,"αὐτὸν ἅπαν τὸ πλῆθος τῆς περιχώρου τῶν Γερασηνῶν ἀπελθεῖν ἀπʼ αὐτῶν, ὅτι φόβῳ"
ἐρωτῆσαι,ἐρωτάω,aorist,active,infinitive,—,—,—,—,verb,Luke 9:45,"οἱ δὲ ἠγνόουν τὸ ῥῆμα τοῦτο καὶ ἦν παρακεκαλυμμένον ἀπʼ αὐτῶν ἵνα μὴ αἴσθωνται αὐτό, καὶ ἐφοβοῦντο",αὐτὸν περὶ τοῦ ῥήματος τούτου.
ἐρωτᾷ,ἐρωτάω,present,active,indicative,third person,—,—,singular,verb,Luke 11:37,Ἐν δὲ τῷ λαλῆσαι,αὐτὸν Φαρισαῖος  ὅπως ἀριστήσῃ παρʼ αὐτῷ· εἰσελθὼν δὲ ἀνέπεσεν.
ἐρωτῶ,ἐρωτάω,present,active,indicative,first person,—,—,singular,verb,Luke 14:18,καὶ ἤρξαντο ἀπὸ μιᾶς πάντες παραιτεῖσθαι. ὁ πρῶτος εἶπεν αὐτῷ· ἀγρὸν ἠγόρασα καὶ ἔχω ἀνάγκην ἐξελθὼν ἰδεῖν αὐτόν·,"σε, ἔχε με παρῃτημένον."
ἐρωτῶ,ἐρωτάω,present,active,indicative,first person,—,—,singular,verb,Luke 14:19,καὶ ἕτερος εἶπεν· ζεύγη βοῶν ἠγόρασα πέντε καὶ πορεύομαι δοκιμάσαι αὐτά·,"σε, ἔχε με παρῃτημένον."
ἐρωτᾷ,ἐρωτάω,present,active,indicative,third person,—,—,singular,verb,Luke 14:32,"εἰ δὲ μή γε, ἔτι αὐτοῦ πόρρω ὄντος πρεσβείαν ἀποστείλας",τὰ πρὸς εἰρήνην.
ἐρωτῶ,ἐρωτάω,present,active,indicative,first person,—,—,singular,verb,Luke 16:27,εἶπεν δέ·,"σε οὖν, πάτερ , ἵνα πέμψῃς αὐτὸν εἰς τὸν οἶκον τοῦ πατρός μου,"
ἐρωτᾷ,ἐρωτάω,present,active,subjunctive,third person,—,—,singular,verb,Luke 19:31,καὶ ἐάν τις ὑμᾶς,· διὰ τί λύετε; οὕτως ἐρεῖτε· ὅτι ὁ κύριος αὐτοῦ χρείαν ἔχει.
ἐρωτήσω,ἐρωτάω,future,active,indicative,first person,—,—,singular,verb,Luke 20:3,ἀποκριθεὶς δὲ εἶπεν πρὸς αὐτούς·,"ὑμᾶς κἀγὼ λόγον, καὶ εἴπατέ μοι·"
ἐρωτήσω,ἐρωτάω,aorist,active,subjunctive,first person,—,—,singular,verb,Luke 22:68,ἐὰν δὲ,", οὐ μὴ ἀποκριθῆτε."
ἠρώτησεν,ἐρωτάω,aorist,active,indicative,third person,—,—,singular,verb,Luke 23:3,ὁ δὲ Πιλᾶτος,αὐτὸν λέγων· σὺ εἶ ὁ βασιλεὺς τῶν Ἰουδαίων; ὁ δὲ ἀποκριθεὶς αὐτῷ ἔφη· σὺ λέγεις.
ἐρωτήσωσιν,ἐρωτάω,aorist,active,subjunctive,third person,—,—,plural,verb,John 1:19,ὅτε ἀπέστειλαν [πρὸς αὐτὸν] οἱ Ἰουδαῖοι ἐξ Ἱεροσολύμων ἱερεῖς καὶ Λευίτας ἵνα,αὐτόν· σὺ τίς εἶ;
ἠρώτησαν,ἐρωτάω,aorist,active,indicative,third person,—,—,plural,verb,John 1:21,καὶ,αὐτόν· τί οὖν; σὺ Ἠλίας εἶ; καὶ λέγει· οὐκ εἰμί. ὁ προφήτης εἶ σύ; καὶ ἀπεκρίθη· οὔ.
ἠρώτησαν,ἐρωτάω,aorist,active,indicative,third person,—,—,plural,verb,John 1:25,καὶ,αὐτὸν καὶ εἶπαν αὐτῷ· τί οὖν βαπτίζεις εἰ σὺ οὐκ εἶ ὁ χριστὸς
ἠρώτων,ἐρωτάω,imperfect,active,indicative,third person,—,—,plural,verb,John 4:31,Ἐν τῷ μεταξὺ,"αὐτὸν οἱ μαθηταὶ λέγοντες· ῥαββί, φάγε."
