Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
αὑτῷ,ἑαυτοῦ,—,—,—,third person,masculine,dative,singular,pronoun,1 John 5:10,ὁ πιστεύων εἰς τὸν υἱὸν τοῦ θεοῦ ἔχει τὴν μαρτυρίαν  ἐν,", ὁ μὴ πιστεύων τῷ θεῷ ψεύστην πεποίηκεν αὐτόν, ὅτι οὐ πεπίστευκεν εἰς τὴν"
ἑαυτάς,ἑαυτοῦ,—,—,—,third person,feminine,accusative,plural,pronoun,Mark 16:3,καὶ ἔλεγον πρὸς,· τίς ἀποκυλίσει ἡμῖν τὸν λίθον ἐκ τῆς θύρας τοῦ μνημείου;
ἑαυτάς,ἑαυτοῦ,—,—,—,third person,feminine,accusative,plural,pronoun,1 Timothy 2:9,Ὡσαύτως [καὶ] γυναῖκας ἐν καταστολῇ κοσμίῳ μετὰ αἰδοῦς καὶ σωφροσύνης κοσμεῖν,", μὴ ἐν πλέγμασιν καὶ χρυσίῳ ἢ μαργαρίταις ἢ ἱματισμῷ πολυτελεῖ,"
ἑαυτήν,ἑαυτοῦ,—,—,—,third person,feminine,accusative,singular,pronoun,James 2:17,"οὕτως καὶ ἡ πίστις, ἐὰν μὴ ἔχῃ ἔργα, νεκρά ἐστιν καθʼ",.
ἑαυταῖς,ἑαυτοῦ,—,—,—,third person,feminine,dative,plural,pronoun,Matthew 25:9,μὴ ἀρκέσῃ ἡμῖν καὶ ὑμῖν· πορεύεσθε μᾶλλον πρὸς τοὺς πωλοῦντας καὶ ἀγοράσατε,.
ἑαυτούς,ἑαυτοῦ,—,—,—,third person,masculine,accusative,plural,pronoun,Mark 10:26,οἱ δὲ περισσῶς ἐξεπλήσσοντο λέγοντες πρὸς,·  καὶ τίς δύναται σωθῆναι;
ἑαυτούς,ἑαυτοῦ,—,—,—,second person,masculine,accusative,plural,pronoun,Mark 13:9,Βλέπετε δὲ ὑμεῖς,· παραδώσουσιν ὑμᾶς εἰς συνέδρια καὶ εἰς συναγωγὰς δαρήσεσθε καὶ ἐπὶ ἡγεμόνων καὶ βασιλέων
ἑαυτούς,ἑαυτοῦ,—,—,—,third person,masculine,accusative,plural,pronoun,Mark 14:4,ἦσαν δέ τινες ἀγανακτοῦντες πρὸς,· εἰς τί ἡ ἀπώλεια αὕτη τοῦ μύρου γέγονεν;
ἑαυτούς,ἑαυτοῦ,—,—,—,second person,masculine,accusative,plural,pronoun,Luke 22:17,καὶ δεξάμενος  ποτήριον εὐχαριστήσας εἶπεν· λάβετε τοῦτο καὶ διαμερίσατε εἰς,·
ἑαυτούς,ἑαυτοῦ,—,—,—,third person,masculine,accusative,plural,pronoun,John 7:35,εἶπον οὖν οἱ Ἰουδαῖοι πρὸς,· ποῦ οὗτος μέλλει πορεύεσθαι ὅτι ἡμεῖς οὐχ εὑρήσομεν αὐτόν; μὴ εἰς τὴν διασπορὰν
ἑαυτούς,ἑαυτοῦ,—,—,—,third person,masculine,accusative,plural,pronoun,John 11:55,ἀνέβησαν πολλοὶ εἰς Ἱεροσόλυμα ἐκ τῆς χώρας πρὸ τοῦ πάσχα ἵνα ἁγνίσωσιν,.
ἑαυτούς,ἑαυτοῦ,—,—,—,third person,masculine,accusative,plural,pronoun,John 12:19,οἱ οὖν Φαρισαῖοι εἶπαν πρὸς,· θεωρεῖτε ὅτι οὐκ ὠφελεῖτε οὐδέν· ἴδε ὁ κόσμος  ὀπίσω αὐτοῦ ἀπῆλθεν.
ἑαυτούς,ἑαυτοῦ,—,—,—,third person,masculine,accusative,plural,pronoun,1 Corinthians 16:15,"Στεφανᾶ, ὅτι ἐστὶν ἀπαρχὴ τῆς Ἀχαΐας καὶ εἰς διακονίαν τοῖς ἁγίοις ἔταξαν",·
