Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 5:17,Μὴ νομίσητε ὅτι ἦλθον καταλῦσαι τὸν νόμον,τοὺς προφήτας· οὐκ ἦλθον καταλῦσαι ἀλλὰ πληρῶσαι.
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 5:18,"ἀμὴν γὰρ λέγω ὑμῖν· ἕως ἂν παρέλθῃ ὁ οὐρανὸς καὶ ἡ γῆ, ἰῶτα ἓν","μία κεραία οὐ μὴ παρέλθῃ ἀπὸ τοῦ νόμου , ἕως ἂν πάντα γένηται."
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 5:36,"μήτε ἐν τῇ κεφαλῇ σου ὀμόσῃς, ὅτι οὐ δύνασαι μίαν τρίχα λευκὴν ποιῆσαι",μέλαιναν.
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 6:24,Οὐδεὶς  δύναται δυσὶ κυρίοις δουλεύειν·,"γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει, ἢ ἑνὸς ἀνθέξεται καὶ τοῦ"
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 6:24,"Οὐδεὶς  δύναται δυσὶ κυρίοις δουλεύειν· ἢ γὰρ τὸν ἕνα μισήσει καὶ τὸν ἕτερον ἀγαπήσει,",ἑνὸς ἀνθέξεται καὶ τοῦ ἑτέρου καταφρονήσει. οὐ δύνασθε θεῷ δουλεύειν καὶ μαμωνᾷ.
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 6:25,Διὰ τοῦτο λέγω ὑμῖν· μὴ μεριμνᾶτε τῇ ψυχῇ ὑμῶν τί φάγητε [,"τί πίητε], μηδὲ τῷ σώματι ὑμῶν τί ἐνδύσησθε. οὐχὶ ἡ ψυχὴ πλεῖόν ἐστιν"
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 7:4,—,πῶς ἐρεῖς τῷ ἀδελφῷ σου· ἄφες ἐκβάλω τὸ κάρφος ἐκ τοῦ ὀφθαλμοῦ σου
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 7:9,—,"τίς ἐστιν ἐξ ὑμῶν ἄνθρωπος, ὃν αἰτήσει ὁ υἱὸς αὐτοῦ ἄρτον, μὴ λίθον ἐπιδώσει αὐτῷ;"
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 7:10,—,"καὶ ἰχθὺν αἰτήσει, μὴ ὄφιν ἐπιδώσει αὐτῷ;"
ἢ,ἤ,—,—,—,—,—,—,—,conjunction,Matthew 7:16,ἀπὸ τῶν καρπῶν αὐτῶν ἐπιγνώσεσθε αὐτούς. μήτι συλλέγουσιν ἀπὸ ἀκανθῶν σταφυλὰς,ἀπὸ τριβόλων σῦκα;
