Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,genitive,singular,noun,Matthew 1:1,Βίβλος γενέσεως,Χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,genitive,singular,noun,Matthew 1:18,Τοῦ δὲ,"Χριστοῦ ἡ γένεσις οὕτως ἦν. μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν"
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,genitive,singular,noun,Matthew 2:1,Τοῦ δὲ,"γεννηθέντος ἐν Βηθλέεμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδοὺ μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα"
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,dative,singular,noun,Matthew 8:34,καὶ ἰδοὺ πᾶσα ἡ πόλις ἐξῆλθεν εἰς ὑπάντησιν τῷ,καὶ ἰδόντες αὐτὸν παρεκάλεσαν ὅπως μεταβῇ ἀπὸ τῶν ὁρίων αὐτῶν.
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,dative,singular,noun,Matthew 9:10,"καὶ ἐγένετο αὐτοῦ ἀνακειμένου ἐν τῇ οἰκίᾳ, καὶ ἰδοὺ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ ἐλθόντες συνανέκειντο τῷ",καὶ τοῖς μαθηταῖς αὐτοῦ.
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,dative,singular,noun,Matthew 9:27,Καὶ παράγοντι ἐκεῖθεν τῷ,"ἠκολούθησαν [αὐτῷ] δύο τυφλοὶ κράζοντες καὶ λέγοντες· ἐλέησον ἡμᾶς, υἱὸς Δαυίδ."
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,genitive,singular,noun,Matthew 14:1,Ἐν ἐκείνῳ  τῷ καιρῷ ἤκουσεν Ἡρῴδης ὁ τετραάρχης τὴν ἀκοὴν,","
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,dative,singular,noun,Matthew 14:12,καὶ προσελθόντες οἱ μαθηταὶ αὐτοῦ ἦραν τὸ πτῶμα  καὶ ἔθαψαν αὐτὸ[ν] καὶ ἐλθόντες ἀπήγγειλαν τῷ,.
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,dative,singular,noun,Matthew 15:1,Τότε προσέρχονται τῷ,ἀπὸ Ἱεροσολύμων Φαρισαῖοι καὶ γραμματεῖς λέγοντες·
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,dative,singular,noun,Matthew 17:4,ἀποκριθεὶς δὲ ὁ Πέτρος εἶπεν τῷ,"· κύριε, καλόν ἐστιν ἡμᾶς ὧδε εἶναι· εἰ θέλεις, ποιήσω ὧδε τρεῖς σκηνάς, σοὶ"
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,dative,singular,noun,Matthew 17:19,Τότε προσελθόντες οἱ μαθηταὶ τῷ,κατʼ ἰδίαν εἶπον· διὰ τί ἡμεῖς οὐκ ἠδυνήθημεν ἐκβαλεῖν αὐτό;
Ἰησοῦ,Ἰησοῦς,—,—,—,—,masculine,dative,singular,noun,Matthew 18:1,Ἐν ἐκείνῃ  τῇ ὥρᾳ προσῆλθον οἱ μαθηταὶ τῷ,λέγοντες· τίς ἄρα μείζων ἐστὶν ἐν τῇ βασιλείᾳ τῶν οὐρανῶν;
