Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 3:1,Ἐν δὲ ταῖς ἡμέραις ἐκείναις παραγίνεται,Ἰωάννης,ὁ βαπτιστὴς κηρύσσων ἐν τῇ ἐρήμῳ τῆς Ἰουδαίας,Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 3:4,αὐτὸς δὲ ὁ,Ἰωάννης,εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν,Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 3:13,Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν,Ἰωάννην,τοῦ βαπτισθῆναι ὑπʼ αὐτοῦ.,Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 3:14,ὁ δὲ,Ἰωάννης,"διεκώλυεν αὐτὸν λέγων· ἐγὼ χρείαν ἔχω ὑπὸ σοῦ βαπτισθῆναι, καὶ σὺ ἔρχῃ πρός με;",Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 4:12,Ἀκούσας δὲ  ὅτι,Ἰωάννης,παρεδόθη ἀνεχώρησεν εἰς τὴν Γαλιλαίαν.,Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 4:21,"καὶ προβὰς ἐκεῖθεν εἶδεν ἄλλους δύο ἀδελφούς, Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ",Ἰωάννην,"τὸν ἀδελφὸν αὐτοῦ, ἐν τῷ πλοίῳ μετὰ Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας τὰ",Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 9:14,Τότε προσέρχονται αὐτῷ οἱ μαθηταὶ,Ἰωάννου,"λέγοντες· διὰ τί ἡμεῖς καὶ οἱ Φαρισαῖοι νηστεύομεν [πολλά], οἱ δὲ μαθηταί σου οὐ νηστεύουσιν;",Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 10:2,"Πέτρος καὶ Ἀνδρέας ὁ ἀδελφὸς αὐτοῦ, καὶ Ἰάκωβος ὁ τοῦ Ζεβεδαίου καὶ",Ἰωάννης,"ὁ ἀδελφὸς αὐτοῦ,",Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 11:2,Ὁ δὲ,Ἰωάννης,ἀκούσας ἐν τῷ δεσμωτηρίῳ τὰ ἔργα τοῦ Χριστοῦ πέμψας διὰ τῶν μαθητῶν αὐτοῦ,Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
NA28,Matthew 11:4,Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν αὐτοῖς· πορευθέντες ἀπαγγείλατε,Ἰωάννῃ,ἃ ἀκούετε καὶ βλέπετε·,Ἰωάννης,Louw Nida 93.190,Ιωαννης,noun,—
