Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ἑωράκαμεν,ὁράω,perfect,active,indicative,first person,—,—,plural,verb,John 3:11,ἀμὴν ἀμὴν λέγω σοι ὅτι ὃ οἴδαμεν λαλοῦμεν καὶ ὃ,"μαρτυροῦμεν, καὶ τὴν μαρτυρίαν ἡμῶν οὐ λαμβάνετε."
ἑωράκαμεν,ὁράω,perfect,active,indicative,first person,—,—,plural,verb,John 20:25,ἔλεγον οὖν αὐτῷ οἱ ἄλλοι μαθηταί·,τὸν κύριον. ὁ δὲ εἶπεν αὐτοῖς· ἐὰν μὴ ἴδω ἐν ταῖς χερσὶν αὐτοῦ
ἑωράκαμεν,ὁράω,perfect,active,indicative,first person,—,—,plural,verb,1 John 1:1,"Ὃ ἦν ἀπʼ ἀρχῆς, ὃ ἀκηκόαμεν, ὃ","τοῖς ὀφθαλμοῖς ἡμῶν, ὃ ἐθεασάμεθα καὶ αἱ χεῖρες ἡμῶν ἐψηλάφησαν περὶ τοῦ λόγου τῆς ζωῆς —"
ἑωράκαμεν,ὁράω,perfect,active,indicative,first person,—,—,plural,verb,1 John 1:2,"καὶ ἡ ζωὴ ἐφανερώθη, καὶ",καὶ μαρτυροῦμεν καὶ ἀπαγγέλλομεν ὑμῖν τὴν ζωὴν τὴν αἰώνιον ἥτις ἦν πρὸς τὸν πατέρα καὶ ἐφανερώθη ἡμῖν —
ἑωράκαμεν,ὁράω,perfect,active,indicative,first person,—,—,plural,verb,1 John 1:3,ὃ,"καὶ ἀκηκόαμεν, ἀπαγγέλλομεν καὶ ὑμῖν, ἵνα καὶ ὑμεῖς κοινωνίαν ἔχητε μεθʼ ἡμῶν. καὶ"
ἑωράκασιν,ὁράω,perfect,active,indicative,third person,—,—,plural,verb,John 15:24,"εἰ τὰ ἔργα μὴ ἐποίησα ἐν αὐτοῖς ἃ οὐδεὶς ἄλλος ἐποίησεν, ἁμαρτίαν οὐκ εἴχοσαν· νῦν δὲ καὶ",καὶ μεμισήκασιν καὶ ἐμὲ καὶ τὸν πατέρα μου.
ἑωράκατέ,ὁράω,perfect,active,indicative,second person,—,—,plural,verb,John 6:36,Ἀλλʼ εἶπον ὑμῖν ὅτι καὶ,[με] καὶ οὐ πιστεύετε.
ἑωράκατε,ὁράω,perfect,active,indicative,second person,—,—,plural,verb,John 5:37,καὶ ὁ πέμψας με πατὴρ ἐκεῖνος μεμαρτύρηκεν περὶ ἐμοῦ. οὔτε φωνὴν αὐτοῦ πώποτε ἀκηκόατε οὔτε εἶδος αὐτοῦ,","
ἑωράκατε,ὁράω,perfect,active,indicative,second person,—,—,plural,verb,John 14:7,"εἰ ἐγνώκατέ με, καὶ τὸν πατέρα μου γνώσεσθε. καὶ ἀπʼ ἄρτι γινώσκετε αὐτὸν καὶ",αὐτόν.
ἑωράκει,ὁράω,pluperfect,active,indicative,third person,—,—,singular,verb,Acts 7:44,καθὼς διετάξατο ὁ λαλῶν τῷ Μωϋσῇ ποιῆσαι αὐτὴν κατὰ τὸν τύπον ὃν,·
