Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 4:25,καὶ ἠκολούθησαν αὐτῷ,πολλοὶ ἀπὸ τῆς Γαλιλαίας καὶ Δεκαπόλεως καὶ Ἱεροσολύμων καὶ Ἰουδαίας καὶ πέραν τοῦ Ἰορδάνου.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 7:28,"Καὶ ἐγένετο ὅτε ἐτέλεσεν ὁ Ἰησοῦς τοὺς λόγους τούτους, ἐξεπλήσσοντο οἱ",ἐπὶ τῇ διδαχῇ αὐτοῦ·
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 8:1,Καταβάντος δὲ αὐτοῦ ἀπὸ τοῦ ὄρους ἠκολούθησαν αὐτῷ,πολλοί.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 9:8,ἰδόντες δὲ οἱ,ἐφοβήθησαν καὶ ἐδόξασαν τὸν θεὸν τὸν δόντα ἐξουσίαν τοιαύτην τοῖς ἀνθρώποις.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 9:33,καὶ ἐκβληθέντος τοῦ δαιμονίου ἐλάλησεν ὁ κωφός. καὶ ἐθαύμασαν οἱ,λέγοντες· οὐδέποτε ἐφάνη οὕτως ἐν τῷ Ἰσραήλ.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 12:15,Ὁ δὲ Ἰησοῦς γνοὺς ἀνεχώρησεν ἐκεῖθεν.  καὶ ἠκολούθησαν αὐτῷ [,"] πολλοί, καὶ ἐθεράπευσεν αὐτοὺς πάντας"
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 12:23,καὶ ἐξίσταντο πάντες οἱ,καὶ ἔλεγον· μήτι οὗτός ἐστιν ὁ υἱὸς Δαυίδ;
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 13:2,καὶ συνήχθησαν πρὸς αὐτὸν,"πολλοί, ὥστε αὐτὸν εἰς  πλοῖον ἐμβάντα καθῆσθαι, καὶ πᾶς ὁ ὄχλος ἐπὶ τὸν αἰγιαλὸν εἱστήκει."
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 14:13,Ἀκούσας δὲ ὁ Ἰησοῦς ἀνεχώρησεν ἐκεῖθεν ἐν πλοίῳ εἰς ἔρημον τόπον κατʼ ἰδίαν· καὶ ἀκούσαντες οἱ,ἠκολούθησαν αὐτῷ πεζῇ ἀπὸ τῶν πόλεων.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 15:30,καὶ προσῆλθον αὐτῷ,"πολλοὶ ἔχοντες μεθʼ ἑαυτῶν χωλούς, τυφλούς, κυλλούς, κωφούς, καὶ ἑτέρους πολλοὺς καὶ ἔρριψαν"
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 19:2,καὶ ἠκολούθησαν αὐτῷ,"πολλοί, καὶ ἐθεράπευσεν αὐτοὺς ἐκεῖ."
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 21:9,οἱ δὲ,οἱ προάγοντες αὐτὸν καὶ οἱ ἀκολουθοῦντες ἔκραζον λέγοντες·           ὡσαννὰ τῷ υἱῷ Δαυίδ·        εὐλογημένος
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 21:11,οἱ δὲ,ἔλεγον· οὗτός ἐστιν ὁ προφήτης Ἰησοῦς ὁ ἀπὸ Ναζαρὲθ τῆς Γαλιλαίας.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Matthew 22:33,καὶ ἀκούσαντες οἱ,ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Mark 10:1,"Καὶ ἐκεῖθεν ἀναστὰς ἔρχεται εἰς τὰ ὅρια τῆς Ἰουδαίας [καὶ] πέραν τοῦ Ἰορδάνου, καὶ συμπορεύονται πάλιν","πρὸς αὐτόν, καὶ ὡς εἰώθει πάλιν ἐδίδασκεν αὐτούς."
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Luke 3:10,Καὶ ἐπηρώτων αὐτὸν οἱ,λέγοντες· τί οὖν ποιήσωμεν;
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Luke 4:42,Γενομένης δὲ ἡμέρας ἐξελθὼν ἐπορεύθη εἰς ἔρημον τόπον· καὶ οἱ,ἐπεζήτουν αὐτὸν καὶ ἦλθον ἕως αὐτοῦ καὶ κατεῖχον αὐτὸν τοῦ μὴ πορεύεσθαι ἀπʼ αὐτῶν.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Luke 5:15,"διήρχετο δὲ μᾶλλον ὁ λόγος περὶ αὐτοῦ, καὶ συνήρχοντο",πολλοὶ ἀκούειν καὶ θεραπεύεσθαι  ἀπὸ τῶν ἀσθενειῶν αὐτῶν·
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Luke 8:42,ὅτι θυγάτηρ μονογενὴς ἦν αὐτῷ ὡς ἐτῶν δώδεκα καὶ αὐτὴ ἀπέθνῃσκεν. Ἐν δὲ τῷ ὑπάγειν αὐτὸν οἱ,συνέπνιγον αὐτόν.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Luke 8:45,"καὶ εἶπεν ὁ Ἰησοῦς· τίς ὁ ἁψάμενός μου; ἀρνουμένων δὲ πάντων εἶπεν ὁ Πέτρος· ἐπιστάτα, οἱ",συνέχουσίν σε καὶ ἀποθλίβουσιν.
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Luke 9:11,οἱ δὲ,γνόντες ἠκολούθησαν αὐτῷ· καὶ ἀποδεξάμενος αὐτοὺς ἐλάλει αὐτοῖς περὶ τῆς βασιλείας τοῦ θεοῦ
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Luke 9:18,"συνῆσαν αὐτῷ οἱ μαθηταί, καὶ ἐπηρώτησεν αὐτοὺς λέγων· τίνα με λέγουσιν οἱ",εἶναι;
ὄχλοι,ὄχλος,—,—,—,—,masculine,nominative,plural,noun,Luke 11:14,κωφόν· ἐγένετο δὲ τοῦ δαιμονίου ἐξελθόντος ἐλάλησεν ὁ κωφὸς καὶ ἐθαύμασαν οἱ,.
