Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
Οἷς,ὅς,—,—,—,—,masculine,dative,plural,pronoun,Acts 1:3,—,"καὶ παρέστησεν ἑαυτὸν ζῶντα μετὰ τὸ παθεῖν αὐτὸν ἐν πολλοῖς τεκμηρίοις, διʼ ἡμερῶν"
Οὓς,ὅς,—,—,—,—,masculine,accusative,plural,pronoun,Romans 9:24,—,"καὶ ἐκάλεσεν ἡμᾶς οὐ μόνον ἐξ Ἰουδαίων ἀλλὰ καὶ ἐξ ἐθνῶν,"
αἳ,ὅς,—,—,—,—,feminine,nominative,plural,pronoun,Mark 15:41,—,"ὅτε ἦν ἐν τῇ Γαλιλαίᾳ ἠκολούθουν αὐτῷ καὶ διηκόνουν αὐτῷ, καὶ ἄλλαι πολλαὶ"
αἳ,ὅς,—,—,—,—,feminine,nominative,plural,pronoun,Luke 8:2,καὶ γυναῖκές τινες,"ἦσαν τεθεραπευμέναι ἀπὸ πνευμάτων πονηρῶν καὶ ἀσθενειῶν, Μαρία ἡ καλουμένη Μαγδαληνή, ἀφʼ ἧς δαιμόνια ἑπτὰ ἐξεληλύθει,"
αἳ,ὅς,—,—,—,—,feminine,nominative,plural,pronoun,Luke 23:27,Ἠκολούθει δὲ αὐτῷ πολὺ πλῆθος τοῦ λαοῦ καὶ γυναικῶν,ἐκόπτοντο καὶ ἐθρήνουν αὐτόν.
αἳ,ὅς,—,—,—,—,feminine,nominative,plural,pronoun,Luke 23:29,ὅτι ἰδοὺ ἔρχονται ἡμέραι ἐν αἷς ἐροῦσιν· μακάριαι αἱ στεῖραι καὶ αἱ κοιλίαι,οὐκ ἐγέννησαν καὶ μαστοὶ οἳ οὐκ ἔθρεψαν.
αἵ,ὅς,—,—,—,—,feminine,nominative,plural,pronoun,Revelation 5:8,"ἔπεσαν ἐνώπιον τοῦ ἀρνίου ἔχοντες ἕκαστος κιθάραν καὶ φιάλας χρυσᾶς γεμούσας θυμιαμάτων,","εἰσιν αἱ προσευχαὶ τῶν ἁγίων,"
αἷς,ὅς,—,—,—,—,feminine,dative,plural,pronoun,Matthew 11:20,Τότε ἤρξατο  ὀνειδίζειν τὰς πόλεις ἐν,"ἐγένοντο αἱ πλεῖσται δυνάμεις αὐτοῦ, ὅτι οὐ μετενόησαν·"
αἷς,ὅς,—,—,—,—,feminine,dative,plural,pronoun,Matthew 27:56,ἐν,ἦν Μαρία ἡ Μαγδαληνὴ καὶ Μαρία ἡ τοῦ Ἰακώβου καὶ Ἰωσὴφ μήτηρ καὶ
αἷς,ὅς,—,—,—,—,feminine,dative,plural,pronoun,Mark 15:40,"Ἦσαν δὲ καὶ γυναῖκες ἀπὸ μακρόθεν θεωροῦσαι, ἐν","καὶ Μαρία ἡ Μαγδαληνὴ καὶ Μαρία ἡ Ἰακώβου τοῦ μικροῦ καὶ Ἰωσῆτος μήτηρ καὶ Σαλώμη,"
αἷς,ὅς,—,—,—,—,feminine,dative,plural,pronoun,Luke 1:25,ὅτι οὕτως μοι πεποίηκεν  κύριος ἐν ἡμέραις,ἐπεῖδεν ἀφελεῖν  ὄνειδός μου ἐν ἀνθρώποις.
αἷς,ὅς,—,—,—,—,feminine,dative,plural,pronoun,Luke 13:14,"σαββάτῳ ἐθεράπευσεν ὁ Ἰησοῦς, ἔλεγεν τῷ ὄχλῳ ὅτι ἓξ ἡμέραι εἰσὶν ἐν",δεῖ ἐργάζεσθαι· ἐν αὐταῖς οὖν ἐρχόμενοι θεραπεύεσθε καὶ μὴ τῇ ἡμέρᾳ τοῦ σαββάτου.
αἷς,ὅς,—,—,—,—,feminine,dative,plural,pronoun,Luke 21:6,ταῦτα ἃ θεωρεῖτε ἐλεύσονται ἡμέραι ἐν,οὐκ ἀφεθήσεται λίθος ἐπὶ λίθῳ  ὃς οὐ καταλυθήσεται.
