Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 7:12,Πάντα οὖν,ὅσα,"ἐὰν θέλητε ἵνα ποιῶσιν ὑμῖν οἱ ἄνθρωποι, οὕτως καὶ ὑμεῖς ποιεῖτε αὐτοῖς· οὗτος",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 9:15,καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· μὴ δύνανται οἱ υἱοὶ τοῦ νυμφῶνος πενθεῖν ἐφʼ,ὅσον,"μετʼ αὐτῶν ἐστιν ὁ νυμφίος; ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ ἀπʼ αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν.",ὅσος,Louw Nida 67.139,οσος,pronoun,—
NA28,Matthew 13:44,"εὑρὼν ἄνθρωπος ἔκρυψεν, καὶ ἀπὸ τῆς χαρᾶς αὐτοῦ ὑπάγει καὶ πωλεῖ πάντα",ὅσα,ἔχει καὶ ἀγοράζει τὸν ἀγρὸν ἐκεῖνον.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 13:46,εὑρὼν δὲ ἕνα πολύτιμον μαργαρίτην ἀπελθὼν πέπρακεν πάντα,ὅσα,εἶχεν καὶ ἠγόρασεν αὐτόν.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 14:36,καὶ παρεκάλουν αὐτὸν ἵνα μόνον ἅψωνται τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ· καὶ,ὅσοι,ἥψαντο διεσώθησαν.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 17:12,"λέγω δὲ ὑμῖν ὅτι Ἠλίας ἤδη ἦλθεν, καὶ οὐκ ἐπέγνωσαν αὐτὸν ἀλλʼ ἐποίησαν ἐν αὐτῷ",ὅσα,ἠθέλησαν· οὕτως καὶ ὁ υἱὸς τοῦ ἀνθρώπου μέλλει πάσχειν ὑπʼ αὐτῶν.,ὅσος,Louw Nida 59.19,οσος,pronoun,—
NA28,Matthew 18:18,Ἀμὴν λέγω ὑμῖν·,ὅσα,"ἐὰν δήσητε ἐπὶ τῆς γῆς ἔσται δεδεμένα ἐν οὐρανῷ, καὶ ὅσα ἐὰν λύσητε",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 18:18,"Ἀμὴν λέγω ὑμῖν· ὅσα ἐὰν δήσητε ἐπὶ τῆς γῆς ἔσται δεδεμένα ἐν οὐρανῷ, καὶ",ὅσα,ἐὰν λύσητε ἐπὶ τῆς γῆς ἔσται λελυμένα ἐν οὐρανῷ.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 18:25,μὴ ἔχοντος δὲ αὐτοῦ ἀποδοῦναι ἐκέλευσεν αὐτὸν ὁ κύριος πραθῆναι καὶ τὴν γυναῖκα  καὶ τὰ τέκνα καὶ πάντα,ὅσα,"ἔχει, καὶ ἀποδοθῆναι.",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 21:22,καὶ πάντα,ὅσα,ἂν αἰτήσητε ἐν τῇ προσευχῇ πιστεύοντες λήμψεσθε.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 22:9,πορεύεσθε οὖν ἐπὶ τὰς διεξόδους τῶν ὁδῶν καὶ,ὅσους,ἐὰν εὕρητε καλέσατε εἰς τοὺς γάμους.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 23:3,πάντα οὖν,ὅσα,"ἐὰν εἴπωσιν ὑμῖν  ποιήσατε καὶ τηρεῖτε, κατὰ δὲ τὰ ἔργα αὐτῶν μὴ ποιεῖτε",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 25:40,"καὶ ἀποκριθεὶς ὁ βασιλεὺς ἐρεῖ αὐτοῖς· ἀμὴν λέγω ὑμῖν, ἐφʼ",ὅσον,"ἐποιήσατε ἑνὶ τούτων τῶν ἀδελφῶν μου τῶν ἐλαχίστων, ἐμοὶ ἐποιήσατε.",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 25:45,"τότε ἀποκριθήσεται αὐτοῖς λέγων· ἀμὴν λέγω ὑμῖν, ἐφʼ",ὅσον,"οὐκ ἐποιήσατε ἑνὶ τούτων τῶν ἐλαχίστων, οὐδὲ ἐμοὶ ἐποιήσατε.",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Matthew 28:20,διδάσκοντες αὐτοὺς τηρεῖν πάντα,ὅσα,ἐνετειλάμην ὑμῖν· καὶ ἰδοὺ ἐγὼ μεθʼ ὑμῶν εἰμι πάσας τὰς ἡμέρας ἕως τῆς συντελείας τοῦ αἰῶνος.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 2:19,οἱ υἱοὶ τοῦ νυμφῶνος ἐν ᾧ ὁ νυμφίος μετʼ αὐτῶν ἐστιν νηστεύειν;,ὅσον,χρόνον ἔχουσιν τὸν νυμφίον μετʼ αὐτῶν οὐ δύνανται νηστεύειν.,ὅσος,Louw Nida 67.139,οσος,"adjective, pronoun",—
NA28,Mark 3:8,καὶ  πέραν τοῦ Ἰορδάνου καὶ  περὶ Τύρον καὶ Σιδῶνα πλῆθος πολὺ ἀκούοντες,ὅσα,ἐποίει ἦλθον πρὸς αὐτόν.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 3:10,"πολλοὺς γὰρ ἐθεράπευσεν, ὥστε ἐπιπίπτειν αὐτῷ ἵνα αὐτοῦ ἅψωνται",ὅσοι,εἶχον μάστιγας.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 3:28,Ἀμὴν λέγω ὑμῖν ὅτι πάντα ἀφεθήσεται τοῖς υἱοῖς τῶν ἀνθρώπων τὰ ἁμαρτήματα καὶ αἱ βλασφημίαι,ὅσα,ἐὰν βλασφημήσωσιν·,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 5:19,"καὶ οὐκ ἀφῆκεν αὐτόν, ἀλλὰ λέγει αὐτῷ· ὕπαγε εἰς τὸν οἶκόν σου πρὸς τοὺς σοὺς καὶ ἀπάγγειλον αὐτοῖς",ὅσα,ὁ κύριός σοι πεποίηκεν καὶ ἠλέησέν σε.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 5:20,καὶ ἀπῆλθεν καὶ ἤρξατο κηρύσσειν ἐν τῇ Δεκαπόλει,ὅσα,"ἐποίησεν αὐτῷ ὁ Ἰησοῦς, καὶ πάντες ἐθαύμαζον.",ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 6:30,Καὶ συνάγονται οἱ ἀπόστολοι πρὸς τὸν Ἰησοῦν καὶ ἀπήγγειλαν αὐτῷ πάντα,ὅσα,ἐποίησαν καὶ ὅσα ἐδίδαξαν.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 6:30,Καὶ συνάγονται οἱ ἀπόστολοι πρὸς τὸν Ἰησοῦν καὶ ἀπήγγειλαν αὐτῷ πάντα ὅσα ἐποίησαν καὶ,ὅσα,ἐδίδαξαν.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 6:56,καὶ παρεκάλουν αὐτὸν ἵνα κἂν τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ ἅψωνται· καὶ,ὅσοι,ἂν ἥψαντο αὐτοῦ ἐσῴζοντο.,ὅσος,Louw Nida 59.7,οσος,pronoun,—
NA28,Mark 7:36,καὶ διεστείλατο αὐτοῖς ἵνα μηδενὶ λέγωσιν·,ὅσον,"δὲ αὐτοῖς διεστέλλετο, αὐτοὶ μᾶλλον περισσότερον ἐκήρυσσον.",ὅσος,Louw Nida 78.52,οσος,pronoun,—
NA28,Mark 9:13,"ἀλλὰ λέγω ὑμῖν ὅτι καὶ Ἠλίας ἐλήλυθεν, καὶ ἐποίησαν αὐτῷ",ὅσα,"ἤθελον, καθὼς γέγραπται ἐπʼ αὐτόν.",ὅσος,Louw Nida 59.7,οσος,pronoun,—
