Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὑπάρχει,ὑπάρχω,present,active,indicative,third person,—,—,singular,verb,Acts 3:6,εἶπεν δὲ Πέτρος· ἀργύριον καὶ χρυσίον οὐχ,"μοι, ὃ δὲ ἔχω τοῦτό σοι δίδωμι· ἐν τῷ ὀνόματι Ἰησοῦ Χριστοῦ τοῦ Ναζωραίου [ἔγειρε καὶ] περιπάτει."
ὑπάρχει,ὑπάρχω,present,active,indicative,third person,—,—,singular,verb,Acts 27:34,διὸ παρακαλῶ ὑμᾶς μεταλαβεῖν τροφῆς· τοῦτο γὰρ πρὸς τῆς ὑμετέρας σωτηρίας,", οὐδενὸς γὰρ ὑμῶν θρὶξ ἀπὸ τῆς κεφαλῆς ἀπολεῖται."
ὑπάρχει,ὑπάρχω,present,active,indicative,third person,—,—,singular,verb,Philippians 3:20,ἡμῶν γὰρ τὸ πολίτευμα ἐν οὐρανοῖς,", ἐξ οὗ καὶ σωτῆρα ἀπεκδεχόμεθα κύριον Ἰησοῦν Χριστόν,"
ὑπάρχειν,ὑπάρχω,present,active,infinitive,—,—,—,—,verb,Acts 19:36,ἀναντιρρήτων οὖν ὄντων τούτων δέον ἐστὶν ὑμᾶς κατεσταλμένους,καὶ μηδὲν προπετὲς πράσσειν.
ὑπάρχειν,ὑπάρχω,present,active,infinitive,—,—,—,—,verb,Acts 28:18,οἵτινες  ἀνακρίναντές με ἐβούλοντο ἀπολῦσαι διὰ τὸ μηδεμίαν αἰτίαν θανάτου,ἐν ἐμοί.
ὑπάρχειν,ὑπάρχω,present,active,infinitive,—,—,—,—,verb,1 Corinthians 7:26,Νομίζω οὖν τοῦτο καλὸν,"διὰ τὴν ἐνεστῶσαν ἀνάγκην, ὅτι καλὸν ἀνθρώπῳ τὸ οὕτως εἶναι."
ὑπάρχειν,ὑπάρχω,present,active,infinitive,—,—,—,—,verb,1 Corinthians 11:18,πρῶτον μὲν γὰρ συνερχομένων ὑμῶν ἐν ἐκκλησίᾳ ἀκούω σχίσματα ἐν ὑμῖν,καὶ μέρος τι πιστεύω.
ὑπάρχειν,ὑπάρχω,present,active,infinitive,—,—,—,—,verb,1 Corinthians 12:22,ἀλλὰ πολλῷ μᾶλλον τὰ δοκοῦντα μέλη τοῦ σώματος ἀσθενέστερα,"ἀναγκαῖά ἐστιν,"
ὑπάρχειν,ὑπάρχω,present,active,infinitive,—,—,—,—,verb,2 Peter 3:11,Τούτων οὕτως πάντων λυομένων ποταποὺς δεῖ,ὑμᾶς ἐν ἁγίαις ἀναστροφαῖς καὶ εὐσεβείαις
ὑπάρχοντά,ὑπάρχω,present,active,participle,—,neuter,accusative,plural,verb,1 Corinthians 13:3,κἂν ψωμίσω πάντα τὰ,"μου καὶ ἐὰν παραδῶ τὸ σῶμά μου ἵνα καυχήσωμαι, ἀγάπην δὲ μὴ ἔχω, οὐδὲν ὠφελοῦμαι."
ὑπάρχοντα,ὑπάρχω,present,active,participle,—,neuter,accusative,plural,verb,Matthew 19:21,"ἔφη αὐτῷ ὁ Ἰησοῦς· εἰ θέλεις τέλειος εἶναι, ὕπαγε πώλησόν σου τὰ","καὶ δὸς [τοῖς] πτωχοῖς, καὶ ἕξεις θησαυρὸν ἐν οὐρανοῖς, καὶ δεῦρο ἀκολούθει μοι."
ὑπάρχοντα,ὑπάρχω,present,active,participle,—,neuter,accusative,plural,verb,Matthew 25:14,Ὥσπερ γὰρ ἄνθρωπος ἀποδημῶν ἐκάλεσεν τοὺς ἰδίους δούλους καὶ παρέδωκεν αὐτοῖς τὰ,"αὐτοῦ,"
ὑπάρχοντα,ὑπάρχω,present,active,participle,—,neuter,nominative,plural,verb,Luke 11:21,"ὅταν ὁ ἰσχυρὸς καθωπλισμένος φυλάσσῃ τὴν ἑαυτοῦ αὐλήν, ἐν εἰρήνῃ ἐστὶν τὰ",αὐτοῦ·
ὑπάρχοντα,ὑπάρχω,present,active,participle,—,neuter,accusative,plural,verb,Luke 12:33,Πωλήσατε τὰ,"ὑμῶν καὶ δότε ἐλεημοσύνην·  ποιήσατε ἑαυτοῖς βαλλάντια μὴ παλαιούμενα, θησαυρὸν ἀνέκλειπτον ἐν τοῖς"
ὑπάρχοντα,ὑπάρχω,present,active,participle,—,neuter,accusative,plural,verb,Luke 16:1,"ἦν πλούσιος ὃς εἶχεν οἰκονόμον, καὶ οὗτος διεβλήθη αὐτῷ ὡς διασκορπίζων τὰ",αὐτοῦ.
ὑπάρχοντα,ὑπάρχω,present,active,participle,—,masculine,accusative,singular,verb,Acts 17:27,"ζητεῖν τὸν θεόν, εἰ ἄρα γε ψηλαφήσειαν αὐτὸν καὶ εὕροιεν, καί γε οὐ μακρὰν ἀπὸ ἑνὸς ἑκάστου ἡμῶν",.
ὑπάρχοντα,ὑπάρχω,present,active,participle,—,neuter,nominative,plural,verb,2 Peter 1:8,ταῦτα γὰρ ὑμῖν,καὶ πλεονάζοντα οὐκ ἀργοὺς οὐδὲ ἀκάρπους καθίστησιν εἰς τὴν τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ ἐπίγνωσιν·
ὑπάρχοντας,ὑπάρχω,present,active,participle,—,masculine,accusative,plural,verb,Acts 16:37,"ὁ δὲ Παῦλος ἔφη πρὸς αὐτούς·  δείραντες ἡμᾶς δημοσίᾳ ἀκατακρίτους, ἀνθρώπους Ῥωμαίους",", ἔβαλαν εἰς φυλακήν, καὶ νῦν λάθρᾳ ἡμᾶς ἐκβάλλουσιν; οὐ γάρ, ἀλλʼ ἐλθόντες αὐτοὶ ἡμᾶς ἐξαγαγέτωσαν."
ὑπάρχοντες,ὑπάρχω,present,active,participle,—,masculine,nominative,plural,verb,Luke 7:25,ἀλλὰ τί ἐξήλθατε ἰδεῖν; ἄνθρωπον ἐν μαλακοῖς ἱματίοις ἠμφιεσμένον; ἰδοὺ οἱ ἐν ἱματισμῷ ἐνδόξῳ καὶ τρυφῇ,ἐν τοῖς βασιλείοις εἰσίν.
ὑπάρχοντες,ὑπάρχω,present,active,participle,—,masculine,nominative,plural,verb,Luke 11:13,εἰ οὖν ὑμεῖς πονηροὶ,"οἴδατε δόματα ἀγαθὰ διδόναι τοῖς τέκνοις ὑμῶν, πόσῳ μᾶλλον ὁ πατὴρ [ὁ] ἐξ"
ὑπάρχοντες,ὑπάρχω,present,active,participle,—,masculine,nominative,plural,verb,Luke 16:14,Ἤκουον δὲ ταῦτα πάντα οἱ Φαρισαῖοι φιλάργυροι,καὶ ἐξεμυκτήριζον αὐτόν.
ὑπάρχοντες,ὑπάρχω,present,active,participle,—,masculine,nominative,plural,verb,Acts 16:20,"καὶ προσαγαγόντες αὐτοὺς τοῖς στρατηγοῖς εἶπαν· οὗτοι οἱ ἄνθρωποι ἐκταράσσουσιν ἡμῶν τὴν πόλιν, Ἰουδαῖοι",","
ὑπάρχοντες,ὑπάρχω,present,active,participle,—,masculine,nominative,plural,verb,Acts 17:29,γένος οὖν,"τοῦ θεοῦ οὐκ ὀφείλομεν νομίζειν χρυσῷ ἢ ἀργύρῳ ἢ λίθῳ, χαράγματι τέχνης καὶ"
ὑπάρχοντες,ὑπάρχω,present,active,participle,—,masculine,nominative,plural,verb,2 Peter 2:19,ἐλευθερίαν αὐτοῖς ἐπαγγελλόμενοι αὐτοὶ δοῦλοι,"τῆς φθορᾶς· ᾧ γάρ τις ἥττηται, τούτῳ  δεδούλωται."
ὑπάρχοντος,ὑπάρχω,present,active,participle,—,masculine,genitive,singular,verb,Acts 4:37,—,αὐτῷ ἀγροῦ πωλήσας ἤνεγκεν τὸ χρῆμα καὶ ἔθηκεν πρὸς τοὺς πόδας τῶν ἀποστόλων.
ὑπάρχοντος,ὑπάρχω,present,active,participle,—,neuter,genitive,singular,verb,Acts 19:40,"καὶ γὰρ κινδυνεύομεν ἐγκαλεῖσθαι στάσεως περὶ τῆς σήμερον, μηδενὸς αἰτίου",περὶ οὗ [οὐ] δυνησόμεθα ἀποδοῦναι λόγον περὶ τῆς συστροφῆς ταύτης. καὶ ταῦτα εἰπὼν ἀπέλυσεν τὴν ἐκκλησίαν.
ὑπάρχοντος,ὑπάρχω,present,active,participle,—,masculine,genitive,singular,verb,Acts 27:12,ἀνευθέτου δὲ τοῦ λιμένος,"πρὸς παραχειμασίαν οἱ πλείονες ἔθεντο βουλὴν ἀναχθῆναι ἐκεῖθεν, εἴ πως δύναιντο καταντήσαντες εἰς"
ὑπάρχουσιν,ὑπάρχω,present,active,participle,—,neuter,dative,plural,verb,Matthew 24:47,ἀμὴν λέγω ὑμῖν ὅτι ἐπὶ πᾶσιν τοῖς,αὐτοῦ καταστήσει αὐτόν.
ὑπάρχουσιν,ὑπάρχω,present,active,participle,—,neuter,dative,plural,verb,Luke 12:44,ἀληθῶς λέγω ὑμῖν ὅτι ἐπὶ πᾶσιν τοῖς,αὐτοῦ καταστήσει αὐτόν.
ὑπάρχουσιν,ὑπάρχω,present,active,participle,—,neuter,dative,plural,verb,Luke 14:33,οὕτως οὖν πᾶς ἐξ ὑμῶν ὃς οὐκ ἀποτάσσεται πᾶσιν τοῖς ἑαυτοῦ,οὐ δύναται εἶναί μου μαθητής.
ὑπάρχουσιν,ὑπάρχω,present,active,indicative,third person,—,—,plural,verb,Acts 21:20,μυριάδες εἰσὶν ἐν τοῖς Ἰουδαίοις τῶν πεπιστευκότων καὶ πάντες  ζηλωταὶ τοῦ νόμου,·
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Luke 9:48,"ἐμὲ δέξηται, δέχεται τὸν ἀποστείλαντά με· ὁ γὰρ μικρότερος ἐν πᾶσιν ὑμῖν",οὗτός ἐστιν  μέγας.
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Luke 16:23,"καὶ ἐν τῷ ᾅδῃ ἐπάρας τοὺς ὀφθαλμοὺς αὐτοῦ,","ἐν βασάνοις, ὁρᾷ Ἀβραὰμ ἀπὸ μακρόθεν καὶ Λάζαρον ἐν τοῖς κόλποις αὐτοῦ."
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Luke 23:50,Καὶ ἰδοὺ ἀνὴρ ὀνόματι Ἰωσὴφ βουλευτὴς,[καὶ] ἀνὴρ ἀγαθὸς καὶ δίκαιος
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Acts 2:30,προφήτης οὖν,καὶ εἰδὼς ὅτι ὅρκῳ ὤμοσεν αὐτῷ ὁ θεὸς ἐκ καρποῦ τῆς ὀσφύος αὐτοῦ
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Acts 3:2,καί  τις ἀνὴρ χωλὸς ἐκ κοιλίας μητρὸς αὐτοῦ,"ἐβαστάζετο, ὃν ἐτίθουν καθʼ ἡμέραν πρὸς τὴν θύραν τοῦ ἱεροῦ τὴν λεγομένην Ὡραίαν"
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Acts 7:55,—,δὲ πλήρης πνεύματος ἁγίου ἀτενίσας εἰς τὸν οὐρανὸν εἶδεν δόξαν θεοῦ καὶ Ἰησοῦν
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Acts 17:24,"ὁ θεὸς ὁ ποιήσας τὸν κόσμον καὶ πάντα τὰ ἐν αὐτῷ, οὗτος οὐρανοῦ καὶ γῆς",κύριος οὐκ ἐν χειροποιήτοις ναοῖς κατοικεῖ
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Acts 22:3,"ταύτῃ, παρὰ τοὺς πόδας Γαμαλιὴλ πεπαιδευμένος κατὰ ἀκρίβειαν τοῦ πατρῴου νόμου, ζηλωτὴς",τοῦ θεοῦ καθὼς πάντες ὑμεῖς ἐστε σήμερον·
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,Romans 4:19,"καὶ μὴ ἀσθενήσας  τῇ πίστει  κατενόησεν τὸ ἑαυτοῦ σῶμα [ἤδη] νενεκρωμένον, ἑκατονταετής που",", καὶ τὴν νέκρωσιν τῆς μήτρας Σάρρας·"
ὑπάρχων,ὑπάρχω,present,active,participle,—,masculine,nominative,singular,verb,1 Corinthians 11:7,Ἀνὴρ μὲν γὰρ οὐκ ὀφείλει κατακαλύπτεσθαι τὴν κεφαλὴν εἰκὼν καὶ δόξα θεοῦ,· ἡ γυνὴ δὲ δόξα ἀνδρός ἐστιν.
