Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 7:17,ὅτι τὸ ἀρνίον τὸ ἀνὰ μέσον τοῦ θρόνου ποιμανεῖ αὐτοὺς        καὶ ὁδηγήσει αὐτοὺς ἐπὶ ζωῆς πηγὰς,",      καὶ ἐξαλείψει ὁ θεὸς πᾶν δάκρυον ἐκ τῶν ὀφθαλμῶν αὐτῶν."
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 8:10,καὶ ἔπεσεν ἐπὶ τὸ τρίτον τῶν ποταμῶν καὶ ἐπὶ τὰς πηγὰς τῶν,","
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 8:11,"καὶ τὸ ὄνομα τοῦ ἀστέρος λέγεται ὁ Ἄψινθος, καὶ ἐγένετο τὸ τρίτον τῶν",εἰς ἄψινθον καὶ πολλοὶ τῶν ἀνθρώπων ἀπέθανον ἐκ τῶν ὑδάτων ὅτι ἐπικράνθησαν.  Καὶ
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 8:11,τρίτον τῶν ὑδάτων εἰς ἄψινθον καὶ πολλοὶ τῶν ἀνθρώπων ἀπέθανον ἐκ τῶν,ὅτι ἐπικράνθησαν.  Καὶ
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 11:6,"ὑετὸς βρέχῃ τὰς ἡμέρας τῆς προφητείας αὐτῶν, καὶ ἐξουσίαν ἔχουσιν ἐπὶ τῶν",στρέφειν αὐτὰ εἰς αἷμα καὶ πατάξαι τὴν γῆν ἐν πάσῃ πληγῇ ὁσάκις ἐὰν θελήσωσιν.
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 14:7,προσκυνήσατε τῷ ποιήσαντι τὸν οὐρανὸν καὶ τὴν γῆν καὶ  θάλασσαν καὶ πηγὰς,.
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 16:4,Καὶ ὁ τρίτος  ἐξέχεεν τὴν φιάλην αὐτοῦ εἰς τοὺς ποταμοὺς καὶ  τὰς πηγὰς τῶν,", καὶ ἐγένετο αἷμα."
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 16:5,Καὶ ἤκουσα τοῦ ἀγγέλου τῶν,"λέγοντος·        δίκαιος εἶ, ὁ ὢν καὶ ὁ ἦν, ὁ ὅσιος,           ὅτι ταῦτα ἔκρινας,"
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 1:15,καὶ οἱ πόδες αὐτοῦ ὅμοιοι χαλκολιβάνῳ ὡς ἐν καμίνῳ πεπυρωμένης καὶ ἡ φωνὴ αὐτοῦ ὡς φωνὴ,"πολλῶν,"
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 14:2,καὶ ἤκουσα φωνὴν  ἐκ τοῦ οὐρανοῦ ὡς φωνὴν,"πολλῶν καὶ ὡς φωνὴν βροντῆς μεγάλης, καὶ ἡ φωνὴ ἣν ἤκουσα ὡς  κιθαρῳδῶν"
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 17:1,"δεῦρο, δείξω σοι τὸ κρίμα τῆς πόρνης τῆς μεγάλης τῆς καθημένης ἐπὶ","πολλῶν,"
ὑδάτων,ὕδωρ,—,—,—,—,neuter,genitive,plural,noun,Revelation 19:6,Καὶ ἤκουσα ὡς φωνὴν ὄχλου πολλοῦ καὶ ὡς φωνὴν,"πολλῶν καὶ ὡς φωνὴν βροντῶν ἰσχυρῶν λεγόντων·      ἁλληλουϊά,      ὅτι ἐβασίλευσεν κύριος ὁ θεὸς [ἡμῶν] ὁ παντοκράτωρ."
ὕδασιν,ὕδωρ,—,—,—,—,neuter,dative,plural,noun,Matthew 8:32,ἡ ἀγέλη  κατὰ τοῦ κρημνοῦ εἰς τὴν θάλασσαν καὶ ἀπέθανον ἐν τοῖς,.
ὕδατα,ὕδωρ,—,—,—,—,neuter,accusative,plural,noun,Matthew 14:28,"Ἀποκριθεὶς δὲ αὐτῷ ὁ Πέτρος εἶπεν· κύριε, εἰ σὺ εἶ, κέλευσόν με ἐλθεῖν πρός σε ἐπὶ τὰ",.
ὕδατα,ὕδωρ,—,—,—,—,neuter,accusative,plural,noun,Matthew 14:29,ὁ δὲ εἶπεν· ἐλθέ. καὶ καταβὰς ἀπὸ τοῦ πλοίου [ὁ] Πέτρος περιεπάτησεν ἐπὶ τὰ,καὶ ἦλθεν πρὸς τὸν Ἰησοῦν.
ὕδατα,ὕδωρ,—,—,—,—,neuter,accusative,plural,noun,Mark 9:22,καὶ πολλάκις καὶ εἰς πῦρ αὐτὸν ἔβαλεν καὶ εἰς,"ἵνα ἀπολέσῃ αὐτόν· ἀλλʼ εἴ τι δύνῃ, βοήθησον ἡμῖν σπλαγχνισθεὶς ἐφʼ ἡμᾶς."
ὕδατα,ὕδωρ,—,—,—,—,neuter,nominative,plural,noun,John 3:23,"Ἦν δὲ καὶ ὁ Ἰωάννης βαπτίζων ἐν Αἰνὼν ἐγγὺς τοῦ Σαλείμ, ὅτι","πολλὰ ἦν ἐκεῖ, καὶ παρεγίνοντο καὶ ἐβαπτίζοντο· οὔπω"
