Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Part of Speech,Reference,Previous Context,Next Context
ὡρῶν,ὥρα,—,—,—,—,feminine,genitive,plural,noun,Acts 5:7,Ἐγένετο δὲ ὡς,τριῶν διάστημα καὶ ἡ γυνὴ αὐτοῦ μὴ εἰδυῖα τὸ γεγονὸς εἰσῆλθεν.
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Matthew 14:15,Ὀψίας δὲ γενομένης προσῆλθον αὐτῷ οἱ μαθηταὶ  λέγοντες· ἔρημός ἐστιν ὁ τόπος καὶ ἡ,"ἤδη παρῆλθεν· ἀπόλυσον  τοὺς ὄχλους, ἵνα ἀπελθόντες εἰς τὰς  κώμας ἀγοράσωσιν ἑαυτοῖς βρώματα."
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Matthew 26:45,τότε ἔρχεται πρὸς τοὺς μαθητὰς  καὶ λέγει αὐτοῖς· καθεύδετε [τὸ] λοιπὸν καὶ ἀναπαύεσθε·  ἰδοὺ ἤγγικεν ἡ,καὶ ὁ υἱὸς τοῦ ἀνθρώπου παραδίδοται εἰς χεῖρας ἁμαρτωλῶν.
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Mark 6:35,Καὶ ἤδη ὥρας πολλῆς γενομένης προσελθόντες αὐτῷ οἱ μαθηταὶ αὐτοῦ ἔλεγον ὅτι ἔρημός ἐστιν ὁ τόπος καὶ ἤδη,πολλή·
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Mark 14:35,καὶ προελθὼν μικρὸν ἔπιπτεν ἐπὶ τῆς γῆς καὶ προσηύχετο ἵνα εἰ δυνατόν ἐστιν παρέλθῃ ἀπʼ αὐτοῦ ἡ,","
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Mark 14:41,Καὶ ἔρχεται τὸ τρίτον καὶ λέγει αὐτοῖς· καθεύδετε τὸ λοιπὸν καὶ ἀναπαύεσθε· ἀπέχει· ἦλθεν ἡ,", ἰδοὺ παραδίδοται ὁ υἱὸς τοῦ ἀνθρώπου εἰς τὰς χεῖρας τῶν ἁμαρτωλῶν."
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Mark 15:25,ἦν δὲ,τρίτη καὶ ἐσταύρωσαν αὐτόν.
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Luke 22:14,Καὶ ὅτε ἐγένετο ἡ,", ἀνέπεσεν καὶ οἱ ἀπόστολοι σὺν αὐτῷ."
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Luke 22:53,"ἱερῷ οὐκ ἐξετείνατε τὰς χεῖρας ἐπʼ ἐμέ, ἀλλʼ αὕτη ἐστὶν ὑμῶν ἡ",καὶ ἡ ἐξουσία τοῦ σκότους.
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,Luke 23:44,Καὶ ἦν ἤδη ὡσεὶ,ἕκτη καὶ σκότος ἐγένετο ἐφʼ ὅλην τὴν γῆν ἕως ὥρας ἐνάτης
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,John 1:39,λέγει αὐτοῖς· ἔρχεσθε καὶ ὄψεσθε. ἦλθαν οὖν καὶ εἶδαν ποῦ μένει καὶ παρʼ αὐτῷ ἔμειναν τὴν ἡμέραν ἐκείνην·,ἦν ὡς δεκάτη.
ὥρα,ὥρα,—,—,—,—,feminine,nominative,singular,noun,John 2:4,"[καὶ] λέγει αὐτῇ ὁ Ἰησοῦς· τί ἐμοὶ καὶ σοί, γύναι; οὔπω ἥκει ἡ",μου.
