Lemma	Gloss	Part	Chapter
ἀπό	+gen., from	preposition	13
διά	+gen., through; +acc., because of	preposition	13
εἰς	+acc., unto, into, to, in	preposition	13
ἐκ	+gen., out of, from	preposition	13
ἐν	+dat., in, on, among, by (means of)	preposition	13
ἐπί	+gen., on, upon; +dat., upon, on the basis of; +acc., against, upon	preposition	13
κατά	+gen., down from, against; +acc., according to	preposition	13
μετά	+gen., with; +acc., after	preposition	13
παρά	+gen., from, with; +dat., with, beside; +acc., beside	preposition	13
περί	+gen., concerning, about; +acc., around	preposition	13
πρός	+acc., to, toward, in the presence of	preposition	13
σύν	+dat., with, along with	preposition	13
ὑπέρ	+gen., on behalf of, for the sake of; +acc., above	preposition	13
ὑπό	+gen., by; +acc., under	preposition	13
