Lemma	Gloss	Part	Chapter
καί	and; also	conjunction	14
δέ	but; and; now	conjunction	17
εἰ	if; whether; that	conjunction	17
ὅτι	that; because	conjunction	17
ἀλλά	but; yet; rather	conjunction	21
γάρ	for; because	conjunction	21
εὐθύς	immediately; at once	conjunction	21
οὖν	so; then; therefore	conjunction	21
ἄν	if; ever; perchance	conjunction	22
ἐάν	if; if perhaps	conjunction	22
ἵνα	in order that; so that; that	conjunction	22
ὅπως	in order that; so that	conjunction	22
ὅταν	whenever; when	conjunction	22
ὅτε	when	conjunction	22
οὕτως	thus; in this way; so	conjunction	22
ὡς	as; like	conjunction	22
ἤ	or	conjunction	25
ὥστε	so that; therefore; so then	conjunction	26
διό	therefore; for this reason	conjunction	28
εἴτε	or; whether; if	conjunction	28
καθώς	as; just as	conjunction	28
τέ	and; both	conjunction	28
