Lemma	Gloss	Part	Chapter
ἀκούω	I hear; I listen to	verb	4
βάλλω	I throw; I put	verb	4
βλέπω	I see	verb	4
γίνομαι	I become; it happens	verb	4
δέχομαι	I receive	verb	4
ἔρχομαι	I come, go	verb	4
ἐσθίω	I eat	verb	4
ἔχω	I have, possess; I hold	verb	4
λύω	I loose, loosen, untie; I destroy	verb	4
πορεύομαι	I go, travel	verb	4
ἄγω	I lead, drive	verb	5
βαπτίζω	I baptize	verb	5
γράφω	I write	verb	5
διδάσκω	I teach	verb	5
θεραπεύω	I heal	verb	5
λέγω	I say, speak	verb	5
λογίζομαι	I consider, reckon	verb	5
μένω	I remain	verb	5
πιστεύω	I believe	verb	5
σῴζω	I save; I heal	verb	5
ἀγαπάω	I love	verb	6
αἰτέω	I ask for, request	verb	6
γεννάω	I sire, beget; I give birth to	verb	6
ἐρωτάω	I ask, question	verb	6
ζητέω	I seek; I try to	verb	6
καλέω	I call; I name	verb	6
λαλέω	I talk, speak	verb	6
πληρόω	I fulfill, complete; I fill	verb	6
ποιέω	I do, practice; I make	verb	6
φοβέομαι	I fear, am afraid	verb	6
ἀκολουθέω	I follow	verb	7
ἅπτομαι	I touch	verb	7
ἄρχομαι	I begin	verb	7
διώκω	I pursue; I persecute	verb	7
δοξάζω	I glorify	verb	7
εὐαγγελίζω	I preach the gospel, announce good news	verb	7
κηρύσσω	I announce, proclaim	verb	7
κόπτω	I cut	verb	7
πέμπω	I send	verb	7
πράσσω	I do	verb	7
ἀνοίγω	I open	verb	8
ἀποκαλύπτω	I reveal, uncover	verb	8
ἀπολύω	I release, send away; I destroy	verb	8
ἀσπάζομαι	I greet	verb	8
εἰσέρχομαι	I go into, enter	verb	8
ἐκβάλλω	I throw out; I send away; I divorce	verb	8
περιπατέω	I walk	verb	8
περισσεύω	I increase; I provide in abundance	verb	8
συνάγω	I gather together, assemble	verb	8
ὑποτάσσω	I subject	verb	8
ἁμαρτάνω	I sin; I err	verb	9
ἀναβαίνω	I go up; I ascend	verb	9
ἀποθνῄσκω	I die	verb	9
γινώσκω	I know; I understand, discern	verb	9
ἐξέρχομαι	I go out, depart	verb	9
εὑρίσκω	I find, I obtain	verb	9
καταβαίνω	I go down, descend	verb	9
λαμβάνω	I take, receive	verb	9
πίνω	I drink	verb	9
πίπτω	I fall	verb	9
ἀπέρχομαι	go away; go; depart	verb	14
ἐγγίζω	come near; draw near	verb	14
μαρτυρέω	testify; bear witness	verb	14
ὁράω	see; appear; become visible	verb	14
πείθω	persuade; convince	verb	14
προσέρχομαι	approach; come up; come	verb	14
τηρέω	keep; observe	verb	14
ἐπερωτάω	ask; put a question to	verb	15
ζάω	live	verb	15
θεωρέω	see; observe	verb	15
παρακαλέω	urge; implore; exhort	verb	15
προσεύχομαι	pray	verb	15
προσκυνέω	worship	verb	15
ὑπάγω	go away; go	verb	15
αἴρω	take away; take up; pick up	verb	18
ἀπαγγέλλω	announce; report; tell	verb	18
ἀποκρίνομαι	answer; reply	verb	18
ἀποκτείνω	kill	verb	18
ἀποστέλλω	send; send out	verb	18
ἐγείρω	raise up; rise; get up	verb	18
κρίνω	judge; pass judgment on	verb	18
σπείρω	sow (seed)	verb	18
κράζω	cry out; call out; shout	verb	19
φέρω	bring; carry; bear	verb	19
ὑπάρχω	be	verb	20
χαίρω	rejoice; be glad	verb	20
οἶδα	know	verb	23
δεῖ	it is necessary	verb	26
δοκέω	think; suppose	verb	26
δύναμαι	be able; can	verb	26
θέλω	wish; want	verb	26
μέλλω	be about to; is going to	verb	26
κάθημαι	sit; be seated; sit down	verb	28
