Lemma	Gloss	Part	Chapter
ἁμαρτάνω	I sin; I err	verb	9
ἀναβαίνω	I go up; I ascend	verb	9
ἀποθνῄσκω	I die	verb	9
γινώσκω	I know; I understand, discern	verb	9
ἐξέρχομαι	I go out, depart	verb	9
εὑρίσκω	I find, I obtain	verb	9
καταβαίνω	I go down, descend	verb	9
λαμβάνω	I take, receive	verb	9
πίνω	I drink	verb	9
πίπτω	I fall	verb	9
ἄγω	I lead, drive	verb	5
λέγω	I say, speak	verb	5
βάλλω	I throw; I put	verb	4
βλέπω	I see	verb	4
γίνομαι	I become; it happens	verb	4
ἔρχομαι	I come, go	verb	4
ἐσθίω	I eat	verb	4
ἔχω	I have, possess; I hold	verb	4
ἐκβάλλω	I throw out; I send away; I divorce	verb	8
συνάγω	I gather together, assemble	verb	8
ὁράω	see; appear; become visible	verb	14
γεννάω	I sire, beget; I give birth to	verb	6
αἴρω	take away; take up; pick up	verb	18
ἀπαγγέλλω	announce; report; tell	verb	18
ἀποκρίνομαι	answer; reply	verb	18
ἀποκτείνω	kill	verb	18
ἀποστέλλω	send; send out	verb	18
ἐγείρω	raise up; rise; get up	verb	18
κρίνω	judge; pass judgment on	verb	18
σπείρω	sow (seed)	verb	18
μένω	I remain	verb	5
οἶδα	know	verb	23
πείθω	persuade; convince	verb	14
ὑπάγω	go away; go	verb	15
φέρω	bring; carry; bear	verb	19
