Lemma	Gloss	Part	Chapter
ἀγάπη	love	noun	2
ἀλήθεια	truth	noun	2
δικαιοσύνη	righteousness	noun	2
εἰρήνη	peace	noun	2
καρδία	heart	noun	2
κεφαλή	head	noun	2
σοφία	wisdom	noun	2
φωνή	voice; sound	noun	2
χαρά	joy	noun	2
ψυχή	soul; life	noun	2
ἄνθρωπος	man; mankind	noun	3
δαιμόνιον	demon	noun	3
δοῦλος	slave	noun	3
εὐαγγέλιον	good news; gospel	noun	3
θεός	God	noun	3
κύριος	lord; Lord	noun	3
λόγος	word; reason; account	noun	3
παιδίον	little child; dear child	noun	3
τέκνον	child	noun	3
υἱός	son	noun	3
ἀκούω	I hear; I listen to	verb	4
βάλλω	I throw; I put	verb	4
βλέπω	I see	verb	4
γίνομαι	I become; it happens	verb	4
δέχομαι	I receive	verb	4
ἔρχομαι	I come, go	verb	4
ἐσθίω	I eat	verb	4
ἔχω	I have, possess; I hold	verb	4
λύω	I loose, loosen, untie; I destroy	verb	4
πορεύομαι	I go, travel	verb	4
ἄγω	I lead, drive	verb	5
βαπτίζω	I baptize	verb	5
γράφω	I write	verb	5
διδάσκω	I teach	verb	5
θεραπεύω	I heal	verb	5
λέγω	I say, speak	verb	5
λογίζομαι	I consider, reckon	verb	5
μένω	I remain	verb	5
πιστεύω	I believe	verb	5
σῴζω	I save; I heal	verb	5
ἀγαπάω	I love	verb	6
αἰτέω	I ask for, request	verb	6
γεννάω	I sire, beget; I give birth to	verb	6
ἐρωτάω	I ask, question	verb	6
ζητέω	I seek; I try to	verb	6
καλέω	I call; I name	verb	6
λαλέω	I talk, speak	verb	6
πληρόω	I fulfill, complete; I fill	verb	6
ποιέω	I do, practice; I make	verb	6
φοβέομαι	I fear, am afraid	verb	6
οὐ	no; not	adverb	6
οὐχί	no!	adverb	6
ἀκολουθέω	I follow	verb	7
ἅπτομαι	I touch	verb	7
ἄρχομαι	I begin	verb	7
διώκω	I pursue; I persecute	verb	7
δοξάζω	I glorify	verb	7
εὐαγγελίζω	I preach the gospel, announce good news	verb	7
κηρύσσω	I announce, proclaim	verb	7
κόπτω	I cut	verb	7
πέμπω	I send	verb	7
πράσσω	I do	verb	7
ἀνοίγω	I open	verb	8
ἀποκαλύπτω	I reveal, uncover	verb	8
ἀπολύω	I release, send away; I destroy	verb	8
ἀσπάζομαι	I greet	verb	8
εἰσέρχομαι	I go into, enter	verb	8
ἐκβάλλω	I throw out; I send away; I divorce	verb	8
περιπατέω	I walk	verb	8
περισσεύω	I increase; I provide in abundance	verb	8
συνάγω	I gather together, assemble	verb	8
ὑποτάσσω	I subject	verb	8
ἁμαρτάνω	I sin; I err	verb	9
ἀναβαίνω	I go up; I ascend	verb	9
ἀποθνῄσκω	I die	verb	9
γινώσκω	I know; I understand, discern	verb	9
ἐξέρχομαι	I go out, depart	verb	9
εὑρίσκω	I find, I obtain	verb	9
καταβαίνω	I go down, descend	verb	9
λαμβάνω	I take, receive	verb	9
πίνω	I drink	verb	9
πίπτω	I fall	verb	9
εἰμί	I am; I exist	verb	10
ἀγαθός	good	adjective	10
ἀγαπητός	beloved, dear	adjective	10
ἅγιος	holy; saints (pl. substantive)	adjective	10
δίκαιος	righteous, just	adjective	10
ἕτερος	other, another, different	adjective	10
κακός	bad, evil	adjective	10
καλός	good, excellent; beautiful, handsome	adjective	10
νεκρός	dead	adjective	10
πιστός	faithful, believing	adjective	10
πονηρός	evil, wicked	adjective	10
αἰών	age; the world	noun	11
αἰώνιος	eternal	adjective	11
ἀνήρ	man; husband	noun	11
γυνή	woman; wife	noun	11
ὄνομα	name	noun	11
πνεῦμα	Spirit; spirit; breath; wind	noun	11
πούς	foot	noun	11
σάρξ	flesh	noun	11
σῶμα	body	noun	11
φῶς	light	noun	11
χείρ	hand	noun	11
ἀρχιερεύς	high priest	noun	12
βασιλεύς	king	noun	12
γραμματεύς	scribe	noun	12
δύναμις	power	noun	12
ἔθνος	nation; Gentiles	noun	12
μήτηρ	mother	noun	12
ὄρος	mountain	noun	12
πᾶς	all, every; whole	adjective	12
πατήρ	father	noun	12
πίστις	faith, trust	noun	12
πόλις	city	noun	12
ἀπό	+gen., from	preposition	13
διά	+gen., through; +acc., because of	preposition	13
εἰς	+acc., unto, into, to, in	preposition	13
ἐκ	+gen., out of, from	preposition	13
ἐν	+dat., in, on, among, by (means of)	preposition	13
ἐπί	+gen., on, upon; +dat., upon, on the basis of; +acc., against, upon	preposition	13
κατά	+gen., down from, against; +acc., according to	preposition	13
μετά	+gen., with; +acc., after	preposition	13
παρά	+gen., from, with; +dat., with, beside; +acc., beside	preposition	13
περί	+gen., concerning, about; +acc., around	preposition	13
πρός	+acc., to, toward, in the presence of	preposition	13
σύν	+dat., with, along with	preposition	13
ὑπέρ	+gen., on behalf of, for the sake of; +acc., above	preposition	13
ὑπό	+gen., by; +acc., under	preposition	13
ἀπέρχομαι	go away; go; depart	verb	14
ἐγγίζω	come near; draw near	verb	14
μαρτυρέω	testify; bear witness	verb	14
ὁράω	see; appear; become visible	verb	14
πείθω	persuade; convince	verb	14
προσέρχομαι	approach; come up; come	verb	14
τηρέω	keep; observe	verb	14
βασιλεία	kingdom	noun	14
ἔργον	work; deed	noun	14
καί	and; also	conjunction	14
ἐπερωτάω	ask; put a question to	verb	15
ζάω	live	verb	15
θεωρέω	see; observe	verb	15
παρακαλέω	urge; implore; exhort	verb	15
προσεύχομαι	pray	verb	15
προσκυνέω	worship	verb	15
ὑπάγω	go away; go	verb	15
ἤδη	already; now; by this time	adverb	15
λαός	people	noun	15
ὄχλος	crowd	noun	15
αὐτός	he	pronoun	16
ἑαυτοῦ	oneself	pronoun	16
ἐγώ	I; we	pronoun	16
ἐμαυτοῦ	myself	pronoun	16
ἐμός	my	pronoun	16
ἴδιος	one's own	pronoun	16
οἰκία	house	noun	16
οἶκος	house	noun	16
σεαυτοῦ	yourself	pronoun	16
σύ	you	pronoun	16
ὧδε	here	adverb	16
δέ	but; and; now	conjunction	17
εἰ	if; whether; that	conjunction	17
ἐκεῖνος	that; that one	pronoun	17
ἐκκλησία	church; assembly	noun	17
νόμος	law	noun	17
ὅτι	that; because	conjunction	17
οὗτος	this (demons. pron.)	pronoun	17
σάββατον	Sabbath	noun	17
τίς	what; who; why	pronoun	17
τὶς	anyone; some; someone	pronoun	17
αἴρω	take away; take up; pick up	verb	18
ἀπαγγέλλω	announce; report; tell	verb	18
ἀποκρίνομαι	answer; reply	verb	18
ἀποκτείνω	kill	verb	18
ἀποστέλλω	send; send out	verb	18
ἐγείρω	raise up; rise; get up	verb	18
κρίνω	judge; pass judgment on	verb	18
σπείρω	sow (seed)	verb	18
ἄγγελος	angel	noun	18
ἀπόστολος	apostle	noun	18
κράζω	cry out; call out; shout	verb	19
φέρω	bring; carry; bear	verb	19
ἀρχή	beginning; ruler	noun	19
γῆ	earth; land	noun	19
ζωή	life	noun	19
ἡμέρα	day	noun	19
θάνατος	death	noun	19
κόσμος	world; order; ornament	noun	19
νύξ	night	noun	19
οὐρανός	heaven; sky	noun	19
στόμα	mouth; edge	noun	19
ὑπάρχω	be	verb	20
χαίρω	rejoice; be glad	verb	20
ἄρτος	bread; loaf	noun	20
γλῶσσα	tongue; language	noun	20
δόξα	glory	noun	20
θάλασσα	sea; lake	noun	20
καρπός	fruit	noun	20
μή	not	adverb	20
ὀφθαλμός	eye	noun	20
πρόσωπον	face; presence	noun	20
τυφλός	blind	adjective	20
γραφή	scripture; writing	noun	21
ἐντολή	commandment	noun	21
καιρός	time; season	noun	21
παραβολή	parable	noun	21
ῥῆμα	word; saying; statement	noun	21
χρόνος	time	noun	21
ὥρα	hour; time	noun	21
ἀλλά	but; yet; rather	conjunction	21
γάρ	for; because	conjunction	21
εὐθύς	immediately; at once	conjunction	21
οὖν	so; then; therefore	conjunction	21
ἀμήν	truly; amen	indeclinable	22
ἄν	if; ever; perchance	conjunction	22
ἐάν	if; if perhaps	conjunction	22
ἕως	until; to; as far as	preposition	22
ἵνα	in order that; so that; that	conjunction	22
ὅπου	where; wherever	adverb	22
ὅπως	in order that; so that	conjunction	22
ὅταν	whenever; when	conjunction	22
ὅτε	when	conjunction	22
οὕτως	thus; in this way; so	conjunction	22
ὡς	as; like	conjunction	22
οἶδα	know	verb	23
ἀδελφός	brother	noun	23
ἀλλήλων	one another	pronoun	23
ἄλλος	other, another	adjective	23
ἐξουσία	authority; power	23
ἰδού	behold; look; see	interjection	23
λοιπός	remaining, rest	adjective	23
ὅς	rel. who; rel. which	pronoun	23
ὅσος	whatever; as many as	pronoun	23
τοιοῦτος	such as this; such	pronoun	23
διδάσκαλος	teacher	noun	24
ἔρημος	wilderness; desert	noun	24
θρόνος	throne	noun	24
Ἰησοῦς	Jesus	noun	24
Ἰωάννης	John	noun	24
μαθητής	disciple	noun	24
ὁδός	way; road; path	noun	24
προφήτης	prophet	noun	24
σημεῖον	sign; sign miracle	noun	24
συναγωγή	synagogue	noun	24
Χριστός	Christ	noun	24
ἕκαστος	each	adjective	25
ἐνώπιον	before; in the sight of	preposition	25
ἐπαγγελία	promise	noun	25
ἤ	or	conjunction	25
κἀγώ	and + I; and I	pronoun	25
μέν	on the one hand; be sure	particle	25
μηδέ	and not; nor	particle	25
οὐδέ	nor; and not	adverb	25
πῶς	how	adverb	25
ὕδωρ	water	noun	25
χάρις	grace	noun	25
δεῖ	it is necessary	verb	26
δοκέω	think; suppose	verb	26
δύναμαι	be able; can	verb	26
θέλω	wish; want	verb	26
μέλλω	be about to; is going to	verb	26
ἁμαρτία	sin	noun	26
θέλημα	will	noun	26
ἱμάτιον	clothing; outer garment	noun	26
πλοῖον	boat; ship	noun	26
πρό	before; above; in front of; at	preposition	26
ὥστε	so that; therefore; so then	conjunction	26
ἀνίστημι	rise; get up; rise up	verb	27
δίδωμι	give; grant	verb	27
ἵστημι	stand; stand there	verb	27
παραδίδωμι	hand over; deliver; betray	verb	27
τίθημι	put; place; lay	verb	27
αἷμα	blood	noun	27
ἱερόν	temple	noun	27
πῦρ	fire	noun	27
τόπος	place; occasion	noun	27
τότε	then; at that time	adverb	27
ἀπόλλυμι	destroy; perish; lose	verb	28
ἀφίημι	leave; forgive	verb	28
κάθημαι	sit; be seated; sit down	verb	28
φημί	say	verb	28
δεξιός	right; ἐν δεξιᾷ (χειρί) on the right (hand)	adjective	28
διό	therefore; for this reason	conjunction	28
εἴτε	or; whether; if	conjunction	28
καθώς	as; just as	conjunction	28
μέσος	middle; ἐν μέσῳ in the midst	adjective	28
νῦν	now	adverb	28
οὔτε	nor; neither	particle	28
τέ	and; both	conjunction	28
ἀληθής	true; genuine	adjective	29
ἐκεῖ	there; in that place	adverb	29
ἔξω	outside	adverb	29
ἔτι	still; yet	adverb	29
μακάριος	blessed	adjective	29
μᾶλλον	rather; more; instead	adverb	29
μέγας	great; large	adjective	29
πάλιν	again	adverb	29
πολύς	much, many; often (adv.)	adjective	29
πρεσβύτερος	elder	noun	29
δύο	two	indeclinable	30
δώδεκα	twelve	indeclinable	30
εἷς	one	indeclinable	30
ἐλπίς	hope; expectation	noun	30
ἑπτά	seven	indeclinable	30
ἔσχατος	last, final	adjective	30
μηδείς	no one	adjective	30
μόνος	only, the single	adjective	30
ὅλος	whole, entire	adjective	30
οὐδείς	no one	adjective	30
πρῶτος	first	adverb	30
τρεῖς	three	indeclinable	30
