Result	Lemma	Gender	Case	Tense	Voice	Mood	Person	Number	Gloss	Part	Chapter	Adverb/particle Type	Reference	Sense	Pronoun Type
Αἰγύπτου	Αἴγυπτος	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 2:15,Ac 7:10,Ac 7:40,Ac 13:17,Heb 3:16,Heb 8:9,Heb 11:26,Jud 5	-	-
Αἰγύπτῳ	Αἴγυπτος	feminine	dative	-	-	-	-	singular	-	noun	-	-	Mt 2:19,Ac 7:17,Ac 7:34,Ac 7:36	-	-
Αἴγυπτον	Αἴγυπτος	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 2:13,Mt 2:14,Ac 2:10,Ac 7:9,Ac 7:10,Ac 7:11,Ac 7:12,Ac 7:15,Ac 7:18,Ac 7:34,Ac 7:39,Heb 11:27	-	-
Αἴγυπτος	Αἴγυπτος	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Re 11:8	-	-
Βαβυλὼν	Βαβυλών	feminine	vocative, nominative	-	-	-	-	singular	-	noun	-	-	Re 18:10	-	-
Βαβυλὼν	Βαβυλών	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Re 14:8,Re 16:19,Re 17:5,Re 18:2,Re 18:21	-	-
Βαβυλῶνι	Βαβυλών	feminine	dative	-	-	-	-	singular	-	noun	-	-	1 Pe 5:13	-	-
Βαβυλῶνος	Βαβυλών	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 1:11,Mt 1:12,Mt 1:17,Mt 1:17,Ac 7:43	-	-
Βαραββᾶν	Βαραββᾶς	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 27:16,Mt 27:17,Mt 27:20,Mt 27:21,Mt 27:26,Mk 15:11,Mk 15:15,Lk 23:18,Jn 18:40	-	-
Βαραββᾶς	Βαραββᾶς	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Mk 15:7,Jn 18:40	-	-
Βαρναβᾶ	Βαρναβᾶς	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Ac 11:30,Ac 15:12,Ga 2:1,Col 4:10	-	-
Βαρναβᾶν	Βαρναβᾶς	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Ac 11:22,Ac 13:2,Ac 13:7,Ac 13:50,Ac 14:12,Ac 15:2,Ac 15:36,Ac 15:39	-	-
Βαρναβᾶς	Βαρναβᾶς	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Ac 4:36,Ac 9:27,Ac 12:25,Ac 13:1,Ac 13:46,Ac 14:14,Ac 15:35,Ac 15:37,1 Co 9:6,Ga 2:13	-	-
Βαρναβᾷ	Βαρναβᾶς	masculine	dative	-	-	-	-	singular	-	noun	-	-	Ac 13:43,Ac 14:20,Ac 15:2,Ac 15:22,Ac 15:25,Ga 2:9	-	-
Βεελζεβοὺλ	Βεελζεβούλ	masculine	dative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 12:24,Mt 12:27,Lk 11:15,Lk 11:18,Lk 11:19	-	-
Βεελζεβοὺλ	Βεελζεβούλ	masculine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 10:25,Mk 3:22	-	-
Γαλιλαία	Γαλιλαία	feminine	vocative	-	-	-	-	singular	-	noun	-	-	Mt 4:15	-	-
Γαλιλαίαν	Γαλιλαία	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 4:12,Mt 26:32,Mt 28:7,Mt 28:10,Mt 28:16,Mk 1:14,Mk 1:39,Mk 14:28,Mk 16:7,Lk 2:39,Lk 4:14,Jn 1:43,Jn 4:3,Jn 4:43,Jn 4:45,Jn 4:47,Jn 4:54	-	-
Γαλιλαίας	Γαλιλαία	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Jn 7:52	believer ⇔ person from Galilee	-
Γαλιλαίας	Γαλιλαία	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 2:22,Mt 3:13,Mt 4:18,Mt 4:25,Mt 15:29,Mt 19:1,Mt 21:11,Mt 27:55,Mk 1:9,Mk 1:16,Mk 1:28,Mk 3:7,Mk 6:21,Mk 7:31,Mk 9:30,Lk 1:26,Lk 2:4,Lk 3:1,Lk 4:31,Lk 5:17,Lk 8:26,Lk 17:11,Lk 23:5,Lk 23:49,Lk 23:55,Jn 2:1,Jn 2:11,Jn 4:46,Jn 6:1,Jn 7:41,Jn 7:52,Jn 12:21,Jn 21:2,Ac 9:31,Ac 10:37,Ac 13:31	-	-
Γαλιλαίᾳ	Γαλιλαία	feminine	dative	-	-	-	-	singular	-	noun	-	-	Mt 4:23,Mt 17:22,Mk 15:41,Lk 24:6,Jn 7:1,Jn 7:9	-	-
Δαυίδ	Δαυίδ	masculine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 1:20,Mt 9:27,Mt 12:23,Mt 15:22,Mt 20:30,Mt 20:31,Mt 21:9,Mt 21:15,Mt 22:42,Mk 10:48,Mk 11:10,Mk 12:35,Lk 2:4,Lk 2:11,Lk 18:38,Lk 18:39,Ac 7:45,2 Ti 2:8,Heb 11:32,Re 3:7,Re 5:5,Re 22:16	-	-
Δαυὶδ	Δαυίδ	masculine	dative	-	-	-	-	singular	-	noun, indeclinable	-	-	Heb 4:7	-	-
Δαυὶδ	Δαυίδ	masculine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 1:1,Mt 1:17,Mt 1:17,Mk 10:47,Lk 1:27,Lk 1:32,Lk 1:69,Lk 2:4,Lk 3:31,Lk 20:41,Jn 7:42,Ac 1:16,Ac 2:29,Ac 4:25,Ac 13:34,Ac 15:16,Ro 1:3	-	-
